brain	heart	kidney	liver
MGP_PahariEiJ_G0008461	0.2631138	0	0	0
MGP_PahariEiJ_G0008463	1.494375	0.4639551	2.511359	0.7474519
MGP_PahariEiJ_G0008464	4.149284	2.733085	0	3.285661
MGP_PahariEiJ_G0008465	2.025546	0.8457373	1.885859	0.703697
MGP_PahariEiJ_G0008466	0.992664	0	0	0
MGP_PahariEiJ_G0008467	1.054828	0	0	0
MGP_PahariEiJ_G0008468	0.6706645	0	0	0
MGP_PahariEiJ_G0008469	2.111075	0	0	0
MGP_PahariEiJ_G0008470	0.323204	0.4427355	0	0
MGP_PahariEiJ_G0008471	1.066923	0	0	0
MGP_PahariEiJ_G0008472	0.9193469	0	0	0
MGP_PahariEiJ_G0008474	0.7679378	0	0	0
MGP_PahariEiJ_G0008479	1.352403	0.7018542	1.273253	0.1959699
MGP_PahariEiJ_G0008480	0	0.1312485	0	0
MGP_PahariEiJ_G0008485	0.9552756	0.7397807	1.141158	0
MGP_PahariEiJ_G0008495	0	0	0.7565323	0
MGP_PahariEiJ_G0008497	1.662424	0	2.072943	0
MGP_PahariEiJ_G0008498	0.5951838	0	0	0
MGP_PahariEiJ_G0008499	5.886772	4.922041	5.888205	5.384844
MGP_PahariEiJ_G0008503	0.8537203	0.3640546	0.6010004	0
MGP_PahariEiJ_G0008508	1.184337	0	0	0
MGP_PahariEiJ_G0008509	2.066451	1.681868	2.638053	0.6532013
MGP_PahariEiJ_G0008512	0	0	2.15205	0.6549277
MGP_PahariEiJ_G0008514	0	0.1534201	0	0
MGP_PahariEiJ_G0008515	0.3828686	0.3985583	0.4643776	0.2530368
MGP_PahariEiJ_G0008516	0.3886051	0	0	0
MGP_PahariEiJ_G0008517	1.571051	0	0	0.7361147
MGP_PahariEiJ_G0008518	0	1.543337	2.479761	1.470198
MGP_PahariEiJ_G0008521	0.3265753	0	0	0
MGP_PahariEiJ_G0008524	0.0002790552	0	0	0.02381387
MGP_PahariEiJ_G0008525	7.07782	6.942127	6.600161	6.798997
MGP_PahariEiJ_G0008526	0.8159311	0.6292848	0.5775879	0
MGP_PahariEiJ_G0008527	1.097456	0.2621012	1.662069	0
MGP_PahariEiJ_G0008528	1.229434	0.9921267	0	0.5301247
MGP_PahariEiJ_G0008532	0	2.207365e-06	0	0
MGP_PahariEiJ_G0008533	0	0.7856217	0	0
MGP_PahariEiJ_G0008534	0	0	0.4034368	0
MGP_PahariEiJ_G0008537	2.763454	0.8792901	0	0
MGP_PahariEiJ_G0008542	5.169111	4.962123	5.341459	4.604718
MGP_PahariEiJ_G0008543	1.792539	0.5172918	0.853998	0
MGP_PahariEiJ_G0008545	0.6173972	0	0	0
MGP_PahariEiJ_G0008547	1.657699	0.1607963	0.7721661	0.150067
MGP_PahariEiJ_G0008548	0	0	2.617602	4.349938
MGP_PahariEiJ_G0008549	5.409113	3.394972	5.416059	4.822113
MGP_PahariEiJ_G0008550	2.042949	1.314882	2.278023	0.9063226
MGP_PahariEiJ_G0008552	1.481624	0.4842506	3.22718	1.12403
MGP_PahariEiJ_G0008553	2.04017	0.7159469	2.315169	1.122626
MGP_PahariEiJ_G0008554	0	0	0.8177477	0
MGP_PahariEiJ_G0008555	1.140628	1.276449	1.572186	0
MGP_PahariEiJ_G0008557	0	0	0.2499356	0
MGP_PahariEiJ_G0008558	0	0	0.3076745	0
MGP_PahariEiJ_G0008560	1.801324	1.680131	2.331605	1.74977
MGP_PahariEiJ_G0008561	0.8204461	0.3418264	0	0.319515
MGP_PahariEiJ_G0008562	1.705204	0.4862603	1.969797	0.6253743
MGP_PahariEiJ_G0008563	4.37545	3.353136	3.941379	3.691054
MGP_PahariEiJ_G0008565	0.6536755	0.2509482	0.9781817	0
MGP_PahariEiJ_G0008566	3.319319	3.288843	4.20194	2.129616
MGP_PahariEiJ_G0008567	0	5.541886e-06	0	0
MGP_PahariEiJ_G0008568	0.2708566	0.3269365	0	0.1602451
MGP_PahariEiJ_G0008577	0.3524817	0.260328	0.4407556	0
MGP_PahariEiJ_G0008578	0	0	0.48084	0
MGP_PahariEiJ_G0008580	0.3622241	0.5847134	0	0.1280411
MGP_PahariEiJ_G0008583	1.342128	0.6172364	0.9768299	0
MGP_PahariEiJ_G0008585	1.964022	0	0.8716071	0.4762852
