kidney	liver	ovary	testis
ENSTRUG00000000101	5.8630595	3.3010818845	0.7202268	0.1254416
ENSTRUG00000000102	7.0967555	2.550759539	4.358818	1.141394
ENSTRUG00000000103	0.17831245	0	0	0.1893767
ENSTRUG00000000104	0.03418407	0.0299711025	0	1.703898
ENSTRUG00000000105	7.152812	4.8267555375	7.280706	6.506913
ENSTRUG00000000106	0.5560246	0.311039736	0.1025318	0
ENSTRUG00000000107	2.339333	0.625720627	1.295065	0.1074395
ENSTRUG00000000108	6.1359815	4.2226817935	5.342242	4.351013
ENSTRUG00000000109	2.515504	1.4724409285	2.551024	0.9641628
ENSTRUG00000000110	4.5864395	2.0124547495	1.942751	1.202656
ENSTRUG00000000111	1.239118	2.8076251665	1.414785	0
ENSTRUG00000000112	9.1394495	4.3427968415	4.182597	2.604503
ENSTRUG00000000113	4.21938	1.7784517945	2.28049	0.1006141
ENSTRUG00000000114	3.1382105	0.2377827325	1.791369	0.09834665
ENSTRUG00000000115	6.3397165	3.338879145	0.9203495	0
ENSTRUG00000000116	1.687096	0.8832813985	2.22853	0.5064804
ENSTRUG00000000117	0.86139395	0.149764746	2.995981	0.04578739
ENSTRUG00000000118	6.369076	5.780782245	7.715811	4.987539
ENSTRUG00000000119	0.11274535	0	0.2670287	0.2238822
ENSTRUG00000000120	1.1452594	0.3593653445	0.1735982	0
ENSTRUG00000000121	5.2550305	2.397666012	5.106918	3.812087
ENSTRUG00000000122	0	0	0.7105986	0
ENSTRUG00000000123	0	0.397487285	0.9669169	0
ENSTRUG00000000124	0.086835005	0.1644871475	0	0
ENSTRUG00000000125	2.164883	0.4130465675	1.050119	0
ENSTRUG00000000126	2.009911	0.476074407	0.8500841	0.01156046
ENSTRUG00000000127	2.8254415	0.7425253235	3.743364	0.7376625
ENSTRUG00000000128	0.0849279	0.0490313145	0	0.5425245
ENSTRUG00000000129	0.51402015	0.2113189	1.101629	0.4696277
ENSTRUG00000000131	3.2931965	2.2042952605	3.319137	0.5027155
ENSTRUG00000000132	0.355331	0.086386091	0.6596944	0.06221955
ENSTRUG00000000133	1.9396545	0	0	0
ENSTRUG00000000134	2.2293455	0.9803076125	0.62906	0.3385282
ENSTRUG00000000135	0	0	0.3668565	0.1931207
ENSTRUG00000000136	0.083965335	0.0477831195	0.3542838	0.06514959
ENSTRUG00000000137	5.338742	3.2970279535	4.14067	4.039927
ENSTRUG00000000138	8.853606	3.8402224385	0	0
ENSTRUG00000000139	4.819687	2.6713608845	3.664676	0.2410091
ENSTRUG00000000140	0.1594042	3.1838785275	0	0.02121064
ENSTRUG00000000141	1.1097005	0	0	0
ENSTRUG00000000142	0.03213227	0.041741364	1.088971	0.1075687
ENSTRUG00000000143	0	0	0.1090684	0
ENSTRUG00000000144	11.00406	9.238482528	10.19161	9.668089
ENSTRUG00000000145	0.1075597	0.2694565705	0.1236637	0.07160851
ENSTRUG00000000146	0.2283671	0	0.1707301	0.2277398
ENSTRUG00000000147	4.8383105	1.787058771	3.458029	1.422814
ENSTRUG00000000148	0.23694675	0.222086955	2.282612	0.1609718
ENSTRUG00000000149	2.5934365	0.8984993665	2.852618	0.8888792
ENSTRUG00000000150	3.036394	1.4034937995	2.537659	0.3331821
ENSTRUG00000000151	1.489155	0.202616953	1.813964	0.2257895
ENSTRUG00000000152	2.4981375	0.7381491045	3.327623	0
ENSTRUG00000000153	5.514237	1.871301446	2.207184	0
ENSTRUG00000000154	3.2869315	1.816536347	4.639742	1.796691
ENSTRUG00000000155	2.820133	1.4650954885	4.428779	0.5388937
ENSTRUG00000000156	1.0766065	0.6570739715	2.762294	0.1645157
ENSTRUG00000000157	1.6807445	0.1216306495	0.7582955	0.1659608
ENSTRUG00000000158	7.3851875	4.6469732605	7.873383	6.212151
ENSTRUG00000000159	5.6411645	2.603301894	3.967232	1.556984
ENSTRUG00000000160	6.196904	4.3495650405	5.887311	5.131947
ENSTRUG00000000161	9.084601	8.1516148585	8.038184	5.648483
ENSTRUG00000000162	0.79591035	0.064076278	1.407184	0.8427745
ENSTRUG00000000163	8.1048315	6.1469071175	8.303899	3.345614
ENSTRUG00000000164	6.50687	3.92907329	5.445157	2.044726
ENSTRUG00000000165	0.16324395	0	0.3418856	0
ENSTRUG00000000166	3.0726455	1.4663022145	2.248681	1.636524
ENSTRUG00000000167	6.9122415	5.0960797105	7.658754	3.782513
ENSTRUG00000000168	0.14603746	2.20412136	0.233231	0.01701034
ENSTRUG00000000169	3.026824	2.2873274865	3.864047	0.1405012
ENSTRUG00000000170	0.016414	0	0.1998539	2.109357
ENSTRUG00000000171	0.0906051	0.1464779475	0.4037903	0.1559784
ENSTRUG00000000172	1.14849845	0.646260626	2.264383	0.09041785
ENSTRUG00000000173	0.15582447	0.607698524	0.1720137	0.02717585
ENSTRUG00000000174	0.097099	0	0	0.02497704
ENSTRUG00000000175	2.455505	0.881330217	0.5828884	0.1330872
ENSTRUG00000000176	5.525952	2.036882983	4.080053	1.153561
ENSTRUG00000000177	2.549225	0.9636970095	1.934581	0.05854218
ENSTRUG00000000178	2.8986605	1.290571356	2.40012	0.1295148
ENSTRUG00000000179	2.410031	2.061018826	2.100107	0.264871
ENSTRUG00000000180	2.3436675	1.551955142	2.418894	0.0993818
ENSTRUG00000000181	1.00561745	0.578944576	1.527924	2.083474
ENSTRUG00000000182	0	0.0106457625	0.02574238	5.274008
ENSTRUG00000000183	0.89486935	1.16551722	2.369179	0.2081551
ENSTRUG00000000184	12.241135	10.062696384	11.77789	11.29617
ENSTRUG00000000185	0.3444365	0	3.148612	0.1859558
ENSTRUG00000000186	0.1558632	0	0.5404009	1.135048
ENSTRUG00000000187	0.11272826	0.053235787	0.8531557	1.642897
ENSTRUG00000000188	6.2448365	4.971823845	3.008655	1.476472
ENSTRUG00000000189	3.7612445	1.634630845	4.868065	1.426915
ENSTRUG00000000190	1.1504424	2.729445133	1.004194	0.03838982
ENSTRUG00000000191	0.745301	0.0269401915	0	0.1701763
ENSTRUG00000000192	2.822365	1.186157324	3.882721	0.8223867
ENSTRUG00000000193	0.2502722	0.0126924615	0.1111817	0.03702384
ENSTRUG00000000194	0	0	0	0.03063864
ENSTRUG00000000195	1.9693275	0.594074751	2.951625	0.169045
ENSTRUG00000000196	3.185218	0.479889731	2.538121	0.4485439
ENSTRUG00000000197	0.62047665	1.495476694	3.019249	0.2228345
ENSTRUG00000000198	3.5030175	0.5351049795	0	1.240833
