brain	liver	ovary
ENSAPLG00000000568	5.60603687222427	5.69730104310646	6.28821146374969
ENSAPLG00000000569	5.65056992436257	5.44154603520012	6.05413822937266
ENSAPLG00000000570	4.6017850811233	6.06094400836852	5.93825941224241
ENSAPLG00000000571	3.78859783705315	0.418296157888258	5.74113380488129
ENSAPLG00000000572	1.49292789186596	1.5983437702295	4.07520686773002
ENSAPLG00000000573	0.622338975111503	0.115261421446245	0.310650424755593
ENSAPLG00000000574	0.0639855412353326	0.0551280546605908	0.90079947597293
ENSAPLG00000000575	0.0658391488215248	0.279238240719744	0.351993370756924
ENSAPLG00000000576	3.51726090784063	4.32154757524216	4.24760389320892
ENSAPLG00000000577	5.32329737922755	4.60651904086152	5.58150892873904
ENSAPLG00000000578	4.33014621493029	2.25720834942616	5.3148823806593
ENSAPLG00000000579	4.80055476785471	4.588528686727	4.93996764923687
ENSAPLG00000000580	3.48861170445746	0.609313824151047	6.248917092455
ENSAPLG00000000581	5.49656287777517	7.48122541726129	4.75507673584822
ENSAPLG00000000582	3.31141970019231	0.696090813996307	1.411948451142
ENSAPLG00000000583	5.07097250743971	6.93126807477579	6.5105616335418
ENSAPLG00000000584	1.32331120081586	0.818210068188734	3.05737908498655
ENSAPLG00000000585	3.99670188181931	4.17128320005187	4.06860995575971
ENSAPLG00000000586	0.112247783989567	0.495263969562347	2.77196817871038
ENSAPLG00000000587	4.18449352906237	8.22934930185906	5.55104234243814
ENSAPLG00000000588	7.24710107565329	3.59314368097508	4.49008489027429
ENSAPLG00000000589	4.82137855829285	7.08604344692885	4.98992015409349
ENSAPLG00000000590	0.0465687700589457	3.96860941664896	0.46307059519225
ENSAPLG00000000591	0.00043480553472727	-0.00104367078172501	3.858529362641
ENSAPLG00000000592	4.50824577759306	5.15220841545487	4.00764678315809
ENSAPLG00000000593	0.0236042642007467	0.0110508788535251	0.300690928592825
ENSAPLG00000000594	6.88413556619998	7.63730143245451	7.48917300305766
ENSAPLG00000000595	4.06188261637792	3.97328759469161	4.30398238972047
ENSAPLG00000000596	-0.0072138838520602	0.0198810271298506	-0.00669244028435785
ENSAPLG00000000597	5.99835257535722	6.55235564120445	7.43779787769822
ENSAPLG00000000598	1.92516748326868	2.28552471920115	2.98707120371959
ENSAPLG00000000599	0.000717463245862296	-0.0044073505801073	3.53632992061924
ENSAPLG00000000600	1.12517990620876	2.14770009184018	3.66394226961818
ENSAPLG00000000601	0.737896416909621	0.463948197136761	1.20778970724154
ENSAPLG00000000603	0.998666178783889	1.66585612561986	1.62761796546296
ENSAPLG00000000604	11.3547547261435	10.6018161689472	11.2229784520817
ENSAPLG00000000606	4.00476923733786	0.518319317917443	3.00798342094214
ENSAPLG00000000607	1.65783673321915	1.89254661248341	2.47589312932998
ENSAPLG00000000608	0.0237687402889304	-0.000242600988369413	0.0287505129285838
ENSAPLG00000000609	2.63424377394035	5.44152520641043	5.80782757768908
ENSAPLG00000000610	2.98322685090887	1.84169035920226	3.14795009294399
ENSAPLG00000000612	5.94141110442215	6.2259408615017	5.43983952342625
ENSAPLG00000000613	3.70133765481198	4.5455595862889	3.76544846845353
ENSAPLG00000000614	3.4699065067551	4.93150731705619	5.16476824309511
ENSAPLG00000000615	1.25530848774701	2.14724833774914	5.71175195837722
ENSAPLG00000000616	6.12023457854635	5.56500863550953	5.91258138055655
ENSAPLG00000000617	6.30494471653379	0.318636363214334	4.98946753714903
ENSAPLG00000000618	6.1669740024016	2.59671763725763	7.52460310741782
ENSAPLG00000000619	1.72958624037646	3.66866619121195	2.71706778218003
ENSAPLG00000000620	4.68115890584314	1.69464763603235	7.46682045329479
ENSAPLG00000000621	0.0658580890262771	0.0124588216840655	0.178329631294156
ENSAPLG00000000622	4.87923374808588	5.31714340615483	5.31100095367602
ENSAPLG00000000623	0.00780757674019114	-0.0066094358035444	1.02761588065039
ENSAPLG00000000624	0.001864077145259	0.171587421017695	0.0751302117737328
ENSAPLG00000000625	0.0687893181174129	0.0691846955929494	1.17172574979453
ENSAPLG00000000626	4.59876631480534	4.75725318627917	4.73079875230744
ENSAPLG00000000627	0.975929281501167	0.00584472221225964	1.07712233182529
ENSAPLG00000000628	4.72520842156002	3.28839628476112	4.47492859238441
ENSAPLG00000000629	3.46860425543307	2.56378257975982	3.95988777974152
ENSAPLG00000000630	10.5859104393994	3.27734941352543	10.2192510805492
ENSAPLG00000000631	0.598880768419639	0.997324587301286	3.06722182382749
ENSAPLG00000000632	5.50863905104252	1.95390895236644	7.77252652459337
ENSAPLG00000000633	1.3715497781783	0.020747323237374	0.731932481328869
ENSAPLG00000000634	0.586939108105364	0.0643135163215723	0.918343799339295
ENSAPLG00000000635	3.05036458664186	0.790664670326894	2.54411132807257
ENSAPLG00000000636	7.70628944947851	1.91426304062261	8.22275369767502
ENSAPLG00000000637	2.08365239595149	0.172248827315593	4.2018866098769
ENSAPLG00000000638	6.70234650098131	2.73350872945152	4.91606275493341
ENSAPLG00000000639	5.29996305110044	6.05270845934539	5.77701905245914
ENSAPLG00000000640	0.0400461451489673	0.044382380631478	0.0387614228788826
ENSAPLG00000000641	0.614072864058396	2.55948343130188	4.7010986158865
ENSAPLG00000000642	8.79703219383474	3.03786895203411	9.13922585295932
ENSAPLG00000000643	5.83476538151131	2.18968859159141	6.41473155239863
ENSAPLG00000000644	6.9154285131593	3.37328050618231	7.05685318027549
ENSAPLG00000000645	0.618647952892943	0.00196600270609552	0.159093785772319
ENSAPLG00000000646	-0.00200277954976972	-0.00131346999341723	0.600733248745129
ENSAPLG00000000647	9.19391976812624	2.69357708504162	8.78516810522906
ENSAPLG00000000648	-0.0337578930902127	0.10142446786633	2.24161159561571
ENSAPLG00000000649	1.04527117087066	1.73577056503964	3.34079703310893
ENSAPLG00000000650	8.12531758347076	2.75517316565383	4.76605185528055
