liver	ovary	testis
ENSAMEG00000002825	NA	0.1569415	0.1839895
ENSAMEG00000002826	NA	3.622356	2.628041
ENSAMEG00000002827	NA	5.042714	4.566961
ENSAMEG00000002828	NA	5.092609	4.803553
ENSAMEG00000002829	NA	1.685806	0.6782549
ENSAMEG00000002831	NA	1.900965	2.350494
ENSAMEG00000002832	NA	1.67371	0.5222818
ENSAMEG00000002833	NA	3.071744	1.48655
ENSAMEG00000002834	NA	2.2786	0.4927618
ENSAMEG00000002835	NA	3.741693	2.945576
ENSAMEG00000002836	NA	4.327077	1.733537
ENSAMEG00000002837	NA	4.147136	1.240015
ENSAMEG00000002838	NA	6.519122	1.820657
ENSAMEG00000002839	NA	2.340955	0.9676526
ENSAMEG00000002840	NA	3.163753	3.136636
ENSAMEG00000002841	NA	2.933659	1.548022
ENSAMEG00000002842	NA	2.988806	0.9392454
ENSAMEG00000002843	NA	3.664995	3.133532
ENSAMEG00000002844	NA	7.005793	4.66204
ENSAMEG00000002845	NA	7.73064	7.659382
ENSAMEG00000002846	NA	0.7728214	4.97101
ENSAMEG00000002847	NA	4.616816	4.945734
ENSAMEG00000002848	NA	4.190702	4.085663
ENSAMEG00000002849	NA	0	0.4613924
ENSAMEG00000002850	NA	2.273217	1.652918
ENSAMEG00000002851	NA	6.170352	2.289749
ENSAMEG00000002852	NA	3.975128	4.372146
ENSAMEG00000002853	NA	2.716831	2.006875
ENSAMEG00000002854	NA	1.734551	0.2907995
ENSAMEG00000002855	NA	3.603324	1.260574
ENSAMEG00000002856	NA	3.014282	0.720218
ENSAMEG00000002857	NA	5.752237	3.075543
ENSAMEG00000002858	NA	0	4.271082
ENSAMEG00000002859	NA	2.701797	2.224451
ENSAMEG00000002860	NA	1.170233	4.166105
ENSAMEG00000002861	NA	4.043467	1.124824
ENSAMEG00000002862	NA	0.09295701	0
ENSAMEG00000002864	NA	3.962271	1.089695
ENSAMEG00000002865	NA	5.780528	5.628298
ENSAMEG00000002866	NA	3.979788	5.823706
ENSAMEG00000002867	NA	6.748085	5.175904
ENSAMEG00000002868	NA	6.183433	2.780129
ENSAMEG00000002869	NA	1.050453	0.344766
ENSAMEG00000002870	NA	0.2983615	0.136048
ENSAMEG00000002871	NA	2.26423	2.425333
ENSAMEG00000002872	NA	1.945192	1.34551
ENSAMEG00000002873	NA	3.030129	1.30628
ENSAMEG00000002874	NA	1.241218	6.272411
ENSAMEG00000002875	NA	1.820195	1.105128
ENSAMEG00000002876	NA	1.576551	0.4907036
ENSAMEG00000002877	NA	2.968294	2.24051
ENSAMEG00000002878	NA	0.8176969	0
ENSAMEG00000002880	NA	3.322182	1.023206
ENSAMEG00000002881	NA	4.889649	3.374642
ENSAMEG00000002882	NA	4.315842	3.298946
ENSAMEG00000002883	NA	2.647526	0.8382426
ENSAMEG00000002884	NA	0	0.344099
ENSAMEG00000002885	NA	0	0.3096814
ENSAMEG00000002886	NA	2.772935	0.6392442
ENSAMEG00000002887	NA	2.899616	2.172238
ENSAMEG00000002888	NA	0.6550651	0.08030619
ENSAMEG00000002889	NA	4.542407	0.5424314
ENSAMEG00000002890	NA	0.5025353	0.8594313
ENSAMEG00000002892	NA	6.048267	2.330773
ENSAMEG00000002894	NA	3.160759	1.705186
ENSAMEG00000002895	NA	10.53118	11.88653
ENSAMEG00000002896	NA	0.09654618	0.01522379
ENSAMEG00000002897	NA	2.903	5.310071
ENSAMEG00000002898	NA	3.234694	2.952747
ENSAMEG00000002899	NA	4.671395	3.384651
ENSAMEG00000002901	NA	3.962753	4.140689
ENSAMEG00000002902	NA	6.796637	2.55983
ENSAMEG00000002903	NA	0.9168099	0.6941742
ENSAMEG00000002904	NA	0.3940729	0
ENSAMEG00000002905	NA	5.065917	2.947139
ENSAMEG00000002906	NA	0.3778767	1.257795
ENSAMEG00000002907	NA	0.9240079	0.1435475
ENSAMEG00000002908	NA	5.434742	5.886823
ENSAMEG00000002909	NA	0.07397101	0.1099115
ENSAMEG00000002910	NA	3.507896	1.594367
ENSAMEG00000002911	NA	4.503419	1.298359
ENSAMEG00000002912	NA	5.678024	5.501984
ENSAMEG00000002913	NA	4.936548	4.286164
ENSAMEG00000002914	NA	0.564344	0
ENSAMEG00000002915	NA	1.967169	2.375096
ENSAMEG00000002916	NA	3.67975	2.816893
ENSAMEG00000002917	NA	2.006273	0.3370351
ENSAMEG00000002918	NA	7.173687	6.654542
ENSAMEG00000002919	NA	0.4408821	0.8105459
ENSAMEG00000002920	NA	2.942325	1.806493
ENSAMEG00000002921	NA	5.74376	4.114325
ENSAMEG00000002922	NA	3.105054	2.828751
ENSAMEG00000002923	NA	5.053237	3.991336
ENSAMEG00000002924	NA	3.211093	2.487618
ENSAMEG00000002925	NA	11.15617	10.83774
ENSAMEG00000002926	NA	2.879429	2.229016
ENSAMEG00000002927	NA	2.445049	2.097948
ENSAMEG00000002928	NA	3.944596	3.793615
ENSAMEG00000002929	NA	4.275208	2.174307
ENSAMEG00000002930	NA	3.807396	1.65261
ENSAMEG00000002931	NA	5.161154	3.331764
ENSAMEG00000002932	NA	0.2824683	1.859294
ENSAMEG00000002933	NA	2.890022	4.319986
ENSAMEG00000002934	NA	0.7419596	0.03625785
ENSAMEG00000002935	NA	4.391458	3.809908
ENSAMEG00000002936	NA	0.4988687	0
ENSAMEG00000002937	NA	0.1383741	0.03620523
ENSAMEG00000002938	NA	0.32077	0.05874969
ENSAMEG00000002939	NA	4.267873	4.890714
ENSAMEG00000002940	NA	0.3523698	2.783855
ENSAMEG00000002942	NA	0.5265116	0.1874815
ENSAMEG00000002943	NA	2.224562	0.08428174
ENSAMEG00000002944	NA	4.597811	2.47805
ENSAMEG00000002945	NA	8.619776	4.557802
ENSAMEG00000002946	NA	0.2148161	0.198049
ENSAMEG00000002947	NA	0	0.4651972
ENSAMEG00000002948	NA	0.02338467	0.003690091
ENSAMEG00000002949	NA	0.0519325	0
ENSAMEG00000002950	NA	0.2302633	0.4013978
ENSAMEG00000002951	NA	0.6697806	2.998261
ENSAMEG00000002953	NA	1.821155	2.522474
ENSAMEG00000002954	NA	4.060263	2.380558
ENSAMEG00000002956	NA	4.003278	5.933889
ENSAMEG00000002957	NA	0	0.06751633
ENSAMEG00000002958	NA	4.833877	4.852523
ENSAMEG00000002959	NA	4.659845	3.554994
ENSAMEG00000002960	NA	4.9813	3.420713
ENSAMEG00000002961	NA	6.536177	3.544176
ENSAMEG00000002962	NA	6.534406	2.941166
ENSAMEG00000002963	NA	5.142413	3.687374
ENSAMEG00000002964	NA	5.5091	3.193172
ENSAMEG00000002965	NA	0.935284	2.325363
ENSAMEG00000002966	NA	2.442118	3.705569
ENSAMEG00000002967	NA	4.694624	2.457169
ENSAMEG00000002968	NA	1.222385	0.6612482
ENSAMEG00000002969	NA	4.182128	2.932105
ENSAMEG00000002970	NA	2.076552	1.484164
ENSAMEG00000002971	NA	1.785153	5.151485
ENSAMEG00000002972	NA	6.618011	5.681837
ENSAMEG00000002973	NA	7.168332	5.428265
ENSAMEG00000002974	NA	4.228734	3.914976
ENSAMEG00000002975	NA	3.20348	2.509465
ENSAMEG00000002976	NA	5.05523	2.863764
ENSAMEG00000002977	NA	1.251052	0.1188786
ENSAMEG00000002978	NA	4.647257	1.394712
ENSAMEG00000002979	NA	2.303524	4.061422
ENSAMEG00000002980	NA	0.2242614	1.635977
ENSAMEG00000002981	NA	5.151989	3.25841
ENSAMEG00000002982	NA	4.543688	5.542651
ENSAMEG00000002983	NA	3.991136	1.713955
ENSAMEG00000002984	NA	2.538853	1.517034
ENSAMEG00000002985	NA	3.953349	2.472345
ENSAMEG00000002986	NA	1.911689	0.5415337
ENSAMEG00000002987	NA	6.211633	5.004488
ENSAMEG00000002988	NA	2.923153	0.7746062
ENSAMEG00000002989	NA	3.631733	2.572293
ENSAMEG00000002990	NA	1.646453	1.930957
ENSAMEG00000002991	NA	3.134778	1.188382
ENSAMEG00000002993	NA	3.451939	0.8962881
ENSAMEG00000002994	NA	3.478143	1.865297
ENSAMEG00000002995	NA	2.969723	0.385536
ENSAMEG00000002996	NA	4.461987	3.712067
ENSAMEG00000002997	NA	5.671186	8.604842
ENSAMEG00000002998	NA	0.07823736	0.01123036
ENSAMEG00000002999	NA	3.869625	3.016259
ENSAMEG00000003000	NA	5.917398	4.937368
ENSAMEG00000003001	NA	5.16674	2.4658
ENSAMEG00000003002	NA	3.063513	3.513832
ENSAMEG00000003003	NA	2.944956	3.70371
ENSAMEG00000003004	NA	4.699818	3.506577
ENSAMEG00000003005	NA	1.250464	0.05378796
ENSAMEG00000003007	NA	5.924252	2.413153
ENSAMEG00000003008	NA	0.9905948	0.5736731
ENSAMEG00000003009	NA	2.731924	1.023965
ENSAMEG00000003010	NA	1.54892	7.897676
ENSAMEG00000003011	NA	0.6456731	0.03611561
ENSAMEG00000003012	NA	0.1429087	1.29928
ENSAMEG00000003013	NA	0.823363	0.5402703
ENSAMEG00000003014	NA	6.389319	5.305952
ENSAMEG00000003015	NA	9.717757	9.997857
ENSAMEG00000003016	NA	8.505768	8.815153
ENSAMEG00000003017	NA	1.028406	0.7232405
ENSAMEG00000003018	NA	3.098519	5.7091
ENSAMEG00000003019	NA	0.9270697	0.09887792
ENSAMEG00000003020	NA	3.529234	2.108675
ENSAMEG00000003021	NA	0.6668593	0.2879569
ENSAMEG00000003022	NA	2.93256	2.409714
ENSAMEG00000003023	NA	2.535817	1.352301
ENSAMEG00000003024	NA	6.445195	3.957942
ENSAMEG00000003025	NA	5.604154	3.60362
ENSAMEG00000003026	NA	0.1321875	0.4335129
ENSAMEG00000003027	NA	4.515359	3.336341
ENSAMEG00000003028	NA	0	0.1753565
ENSAMEG00000003029	NA	0.1397406	0.681631
ENSAMEG00000003030	NA	3.733506	3.460638
ENSAMEG00000003031	NA	0.1913668	0.1950363
ENSAMEG00000003032	NA	0.6665276	0.4837307
ENSAMEG00000003033	NA	2.425782	2.715737
ENSAMEG00000003034	NA	0.8241487	1.492494
ENSAMEG00000003035	NA	4.75246	3.132022
ENSAMEG00000003036	NA	0.9537755	0.3630051
ENSAMEG00000003038	NA	6.068277	0.2219402
ENSAMEG00000003039	NA	5.896466	4.259453
ENSAMEG00000003040	NA	2.129567	2.962245
ENSAMEG00000003041	NA	4.222179	1.977485
ENSAMEG00000003042	NA	3.530108	3.491083
ENSAMEG00000003043	NA	4.144218	1.494713
ENSAMEG00000003044	NA	4.83061	3.241244
ENSAMEG00000003045	NA	2.67763	4.273755
ENSAMEG00000003046	NA	2.468781	2.299312
ENSAMEG00000003047	NA	5.718405	3.262786
ENSAMEG00000003048	NA	7.537172	5.626816
ENSAMEG00000003049	NA	6.057955	4.631849
ENSAMEG00000003050	NA	2.995636	1.756742
ENSAMEG00000003051	NA	1.464935	0.191569
ENSAMEG00000003052	NA	1.828579	3.814981
ENSAMEG00000003053	NA	4.518812	3.801562
ENSAMEG00000003054	NA	2.404887	1.158479
ENSAMEG00000003055	NA	0.7994405	0.1616439
ENSAMEG00000003056	NA	3.416903	3.122719
ENSAMEG00000003057	NA	0	0.8192398
ENSAMEG00000003058	NA	3.225662	2.069682
ENSAMEG00000003059	NA	2.673029	1.771091
ENSAMEG00000003060	NA	3.940834	5.083294
ENSAMEG00000003061	NA	4.896267	3.3979
ENSAMEG00000003062	NA	5.899451	4.300131
ENSAMEG00000003063	NA	3.982035	1.974603
ENSAMEG00000003064	NA	0.5787523	0.1152063
ENSAMEG00000003065	NA	3.559002	3.615004
ENSAMEG00000003066	NA	3.16749	2.658518
ENSAMEG00000003067	NA	0.4421749	0.01871962
ENSAMEG00000003068	NA	4.704108	4.784588
ENSAMEG00000003069	NA	3.437629	0.2558246
ENSAMEG00000003070	NA	2.887092	1.000137
ENSAMEG00000003071	NA	4.466255	1.320069
ENSAMEG00000003072	NA	3.504659	1.85267
ENSAMEG00000003073	NA	4.146476	2.584809
ENSAMEG00000003074	NA	3.314164	1.757267
ENSAMEG00000003075	NA	0.322858	0.07675336
ENSAMEG00000003076	NA	0	0.04074798
ENSAMEG00000003077	NA	2.505741	1.208499
ENSAMEG00000003078	NA	2.109404	2.013709
ENSAMEG00000003079	NA	5.592065	4.898223
ENSAMEG00000003080	NA	0.06564276	2.191875
ENSAMEG00000003081	NA	1.703602	1.45152
ENSAMEG00000003082	NA	2.17177	1.915334
ENSAMEG00000003083	NA	2.101536	5.494928
ENSAMEG00000003084	NA	4.956354	2.193696
ENSAMEG00000003085	NA	0.3134247	2.406656
ENSAMEG00000003086	NA	5.279468	2.490331
ENSAMEG00000003087	NA	0.1017443	0.902326
ENSAMEG00000003088	NA	0.8696985	0.8049655
ENSAMEG00000003089	NA	3.195292	2.770444
ENSAMEG00000003090	NA	7.654922	7.755208
ENSAMEG00000003091	NA	4.583014	3.359227
ENSAMEG00000003092	NA	6.361293	4.633826
ENSAMEG00000003093	NA	3.264445	6.25682
ENSAMEG00000003094	NA	4.999919	4.630924
ENSAMEG00000003095	NA	3.385136	3.545832
ENSAMEG00000003096	NA	9.007896	5.827037
ENSAMEG00000003097	NA	0.8307259	0.1893438
ENSAMEG00000003098	NA	0.2271422	0.5628691
ENSAMEG00000003099	NA	1.59288	4.516431
ENSAMEG00000003100	NA	2.069953	0.9549467
ENSAMEG00000003101	NA	4.859085	5.014364
ENSAMEG00000003102	NA	6.192956	4.708364
ENSAMEG00000003103	NA	5.400504	4.600056
ENSAMEG00000003104	NA	3.408969	4.190512
ENSAMEG00000003105	NA	4.715289	5.510003
ENSAMEG00000003106	NA	5.270286	4.394459
ENSAMEG00000003107	NA	0	0.5257822
ENSAMEG00000003108	NA	1.363429	8.893529
ENSAMEG00000003110	NA	9.356126	7.524816
ENSAMEG00000003111	NA	0.2050584	0.7120956
ENSAMEG00000003112	NA	7.949955	4.037321
ENSAMEG00000003113	NA	0.3614832	0.8067381
ENSAMEG00000003114	NA	1.142191	0.1855418
ENSAMEG00000003115	NA	1.561409	0.5972012
ENSAMEG00000003116	NA	2.252951	0.1154099
ENSAMEG00000003117	NA	1.137156	2.201443
ENSAMEG00000003118	NA	2.658947	3.279468
ENSAMEG00000003119	NA	5.344267	5.503924
ENSAMEG00000003120	NA	5.616843	5.355027
ENSAMEG00000003121	NA	2.841959	0.9676954
ENSAMEG00000003122	NA	6.324895	6.035602
ENSAMEG00000003123	NA	4.803341	5.342811
ENSAMEG00000003124	NA	3.827433	2.656
ENSAMEG00000003125	NA	7.508547	6.72773
ENSAMEG00000003126	NA	5.471005	3.568482
ENSAMEG00000003127	NA	3.065086	0.9676106
ENSAMEG00000003128	NA	3.205272	1.631398
ENSAMEG00000003129	NA	5.853831	6.97198
ENSAMEG00000003130	NA	3.994634	3.970587
ENSAMEG00000003131	NA	1.481275	0.4530529
ENSAMEG00000003132	NA	0.05013541	0.0414286
ENSAMEG00000003133	NA	2.398041	0
ENSAMEG00000003134	NA	3.819055	5.504411
ENSAMEG00000003135	NA	2.537465	2.197447
ENSAMEG00000003136	NA	3.778093	1.823607
ENSAMEG00000003137	NA	3.601863	2.317408
ENSAMEG00000003138	NA	3.687665	2.687027
ENSAMEG00000003139	NA	0.5494533	0.9293077
ENSAMEG00000003140	NA	0.3481882	0.1356856
ENSAMEG00000003141	NA	0.9431997	0.06198808
ENSAMEG00000003142	NA	4.02479	4.025755
ENSAMEG00000003143	NA	3.960419	3.439382
ENSAMEG00000003144	NA	1.83444	0.9840067
ENSAMEG00000003145	NA	2.009465	0.7587466
ENSAMEG00000003146	NA	0.01402062	0.02190366
ENSAMEG00000003147	NA	0.2014018	1.067542
ENSAMEG00000003148	NA	3.844034	2.564383
ENSAMEG00000003149	NA	4.108013	2.989755
ENSAMEG00000003150	NA	6.669211	4.895724
ENSAMEG00000003151	NA	5.572065	3.088461
ENSAMEG00000003152	NA	5.536625	3.059881
ENSAMEG00000003153	NA	0.3721074	0.2940566
ENSAMEG00000003154	NA	2.882933	2.093317
ENSAMEG00000003155	NA	3.521704	2.965201
ENSAMEG00000003156	NA	2.785295	1.718671
ENSAMEG00000003157	NA	2.342458	2.611852
ENSAMEG00000003158	NA	1.135036	0.9911254
ENSAMEG00000003159	NA	5.474903	4.646647
ENSAMEG00000003160	NA	0	5.60109
ENSAMEG00000003161	NA	6.359133	7.019224
ENSAMEG00000003163	NA	3.693732	3.641188
ENSAMEG00000003164	NA	2.774374	0.1158021
ENSAMEG00000003165	NA	0	3.843502
ENSAMEG00000003166	NA	4.177615	2.357307
ENSAMEG00000003167	NA	0.02065509	0.6521854
ENSAMEG00000003168	NA	3.861419	3.785383
ENSAMEG00000003169	NA	2.840761	3.119268
ENSAMEG00000003170	NA	0.3593255	0.2213611
ENSAMEG00000003171	NA	0.446396	1.363771
ENSAMEG00000003172	NA	4.241711	3.890836
ENSAMEG00000003173	NA	4.640349	3.062579
ENSAMEG00000003174	NA	3.979564	3.041408
ENSAMEG00000003175	NA	1.945024	0.6196652
ENSAMEG00000003176	NA	0.04859012	0.1003021
ENSAMEG00000003178	NA	6.282023	4.292075
ENSAMEG00000003179	NA	4.447639	3.02044
ENSAMEG00000003180	NA	4.423195	1.8049
ENSAMEG00000003181	NA	1.243748	1.090386
ENSAMEG00000003182	NA	1.347796	0.2363493
ENSAMEG00000003183	NA	3.898044	2.781267
ENSAMEG00000003184	NA	4.06823	2.041957
ENSAMEG00000003185	NA	0	0.438724
ENSAMEG00000003186	NA	5.511591	1.994819
ENSAMEG00000003187	NA	10.56257	8.617456
ENSAMEG00000003188	NA	0	0.08777647
ENSAMEG00000003189	NA	3.61973	1.382313
ENSAMEG00000003190	NA	3.61286	2.182791
ENSAMEG00000003191	NA	3.219683	3.825725
ENSAMEG00000003192	NA	0.5227056	0.7155095
ENSAMEG00000003193	NA	5.902469	2.994002
ENSAMEG00000003194	NA	4.466555	1.895031
ENSAMEG00000003195	NA	3.114004	2.899649
ENSAMEG00000003196	NA	5.799046	4.898934
ENSAMEG00000003197	NA	5.81246	7.038447
ENSAMEG00000003198	NA	1.363429	0
ENSAMEG00000003199	NA	2.045509	0.4183616
ENSAMEG00000003200	NA	6.102662	5.351183
ENSAMEG00000003201	NA	2.206118	3.229937
ENSAMEG00000003202	NA	3.639302	1.241419
ENSAMEG00000003204	NA	1.691364	0.6923567
ENSAMEG00000003206	NA	4.334668	1.575874
ENSAMEG00000003208	NA	2.108722	1.500134
ENSAMEG00000003209	NA	3.104914	2.289005
ENSAMEG00000003210	NA	6.48535	3.948405
ENSAMEG00000003212	NA	0.06002192	0.6936123
ENSAMEG00000003213	NA	1.359746	0.2690439
ENSAMEG00000003215	NA	3.712662	3.838155
ENSAMEG00000003216	NA	3.738238	3.81577
ENSAMEG00000003217	NA	4.131211	2.311756
ENSAMEG00000003218	NA	4.991517	3.156507
ENSAMEG00000003219	NA	0.1766483	0.2594955
ENSAMEG00000003220	NA	3.14534	1.661608
ENSAMEG00000003221	NA	4.999084	3.084119
ENSAMEG00000003222	NA	7.773621	8.631195
ENSAMEG00000003223	NA	4.747318	6.08585
ENSAMEG00000003224	NA	0	0.7019518
ENSAMEG00000003225	NA	0.08892896	0
ENSAMEG00000003226	NA	3.698963	2.746343
ENSAMEG00000003227	NA	1.100231	1.514471
ENSAMEG00000003228	NA	3.51248	1.286503
ENSAMEG00000003229	NA	0.04971203	1.727193
ENSAMEG00000003230	NA	5.143398	5.620513
ENSAMEG00000003231	NA	0.6193257	0.3339847
ENSAMEG00000003232	NA	3.710514	3.644791
ENSAMEG00000003233	NA	6.45559	5.118081
ENSAMEG00000003234	NA	3.155472	2.923625
ENSAMEG00000003235	NA	6.93807	6.048189
ENSAMEG00000003236	NA	4.685671	4.717803
ENSAMEG00000003237	NA	0	0.2722024
ENSAMEG00000003238	NA	2.365804	1.182146
ENSAMEG00000003239	NA	0.6998981	0.09708823
ENSAMEG00000003240	NA	6.385633	4.910071
ENSAMEG00000003241	NA	5.403179	1.233661
ENSAMEG00000003242	NA	0.1439746	0.28701
ENSAMEG00000003243	NA	4.875829	1.930612
ENSAMEG00000003244	NA	5.719539	3.826599
ENSAMEG00000003246	NA	0.02758538	0.01115594
ENSAMEG00000003247	NA	0.5841447	0.5078931
ENSAMEG00000003248	NA	1.220497	0.4946378
ENSAMEG00000003249	NA	6.590746	5.908234
ENSAMEG00000003250	NA	6.613655	7.342653
ENSAMEG00000003251	NA	2.132228	1.594983
ENSAMEG00000003252	NA	3.644998	2.017248
ENSAMEG00000003253	NA	3.965773	2.677639
ENSAMEG00000003254	NA	0.2157767	3.892993
ENSAMEG00000003255	NA	4.87306	4.40324
ENSAMEG00000003256	NA	4.477256	3.825623
ENSAMEG00000003257	NA	5.488239	6.042839
ENSAMEG00000003258	NA	6.494385	9.487955
ENSAMEG00000003259	NA	0.04684989	0.07369152
ENSAMEG00000003260	NA	11.32231	12.83087
ENSAMEG00000003261	NA	3.894963	2.477631
ENSAMEG00000003262	NA	3.39419	0.7205044
ENSAMEG00000003263	NA	8.031958	5.903501
ENSAMEG00000003264	NA	0.768977	2.143459
ENSAMEG00000003267	NA	0.3599248	0.7860426
ENSAMEG00000003268	NA	4.495561	2.308373
ENSAMEG00000003269	NA	4.42511	3.244791
ENSAMEG00000003270	NA	1.14276	1.036714
ENSAMEG00000003271	NA	3.309708	0.681183
ENSAMEG00000003272	NA	1.658641	0.5082988
ENSAMEG00000003273	NA	2.582566	2.691932
ENSAMEG00000003274	NA	0	0.08703343
ENSAMEG00000003275	NA	0.5352816	0
ENSAMEG00000003277	NA	7.608499	6.606991
ENSAMEG00000003278	NA	8.825226	6.011491
ENSAMEG00000003279	NA	3.884207	1.286798
ENSAMEG00000003280	NA	4.203992	2.881191
ENSAMEG00000003281	NA	4.879858	1.747026
ENSAMEG00000003282	NA	1.275287	0.8091263
ENSAMEG00000003283	NA	4.841862	5.547623
ENSAMEG00000003284	NA	1.097388	1.169194
ENSAMEG00000003286	NA	6.312583	2.842001
ENSAMEG00000003287	NA	5.25558	2.699321
ENSAMEG00000003288	NA	2.749277	2.175981
ENSAMEG00000003289	NA	2.783268	2.087038
ENSAMEG00000003290	NA	5.099901	3.272961
ENSAMEG00000003291	NA	1.996125	0.9591677
ENSAMEG00000003292	NA	0	0.4547255
ENSAMEG00000003293	NA	3.735186	1.034061
ENSAMEG00000003294	NA	5.081392	3.379158
ENSAMEG00000003295	NA	3.962919	4.108951
ENSAMEG00000003297	NA	0	0.02804233
ENSAMEG00000003299	NA	5.577604	4.332393
ENSAMEG00000003300	NA	0.9257435	0.4079759
ENSAMEG00000003301	NA	5.90372	4.343031
ENSAMEG00000003302	NA	2.332035	0.9485672
ENSAMEG00000003304	NA	5.861869	3.04047
ENSAMEG00000003305	NA	2.59579	0.1266819
ENSAMEG00000003306	NA	1.155795	0.435763
ENSAMEG00000003307	NA	0.2864435	0.3784217
ENSAMEG00000003309	NA	4.937627	3.53203
ENSAMEG00000003310	NA	3.091141	3.298242
ENSAMEG00000003311	NA	3.680482	4.288137
ENSAMEG00000003312	NA	2.507658	0.1444745
ENSAMEG00000003313	NA	1.155678	0.6146005
ENSAMEG00000003314	NA	3.66421	1.341661
ENSAMEG00000003315	NA	3.577828	2.126243
ENSAMEG00000003316	NA	4.266817	5.290159
ENSAMEG00000003317	NA	0.3729855	0.2302055
ENSAMEG00000003318	NA	5.054582	2.962149
ENSAMEG00000003319	NA	4.802333	1.760779
ENSAMEG00000003320	NA	0.206872	0
ENSAMEG00000003321	NA	0.7439259	0.2975753
ENSAMEG00000003322	NA	2.344451	1.204097
ENSAMEG00000003323	NA	2.900527	1.945529
ENSAMEG00000003324	NA	1.352685	2.837253
ENSAMEG00000003325	NA	0.3975839	0.1784074
ENSAMEG00000003326	NA	6.566247	5.067148
ENSAMEG00000003327	NA	6.595513	4.73602
ENSAMEG00000003328	NA	2.773152	0.9786452
ENSAMEG00000003329	NA	0.5224365	1.850823
ENSAMEG00000003330	NA	4.128895	3.233828
ENSAMEG00000003331	NA	0.6224328	0.1950275
ENSAMEG00000003333	NA	0.9167243	0.1959523
ENSAMEG00000003334	NA	2.424393	0.08658786
ENSAMEG00000003335	NA	6.975963	6.286297
ENSAMEG00000003336	NA	2.414344	1.336175
ENSAMEG00000003337	NA	5.740783	3.423219
ENSAMEG00000003338	NA	0	0.8799896
ENSAMEG00000003339	NA	3.025683	1.488345
ENSAMEG00000003340	NA	8.684479	8.824927
ENSAMEG00000003341	NA	2.567799	0.9183313
ENSAMEG00000003342	NA	3.784221	2.415726
ENSAMEG00000003343	NA	3.864404	3.746356
ENSAMEG00000003344	NA	4.165848	6.805731
ENSAMEG00000003345	NA	3.517825	3.910157
ENSAMEG00000003346	NA	5.138532	3.482784
ENSAMEG00000003347	NA	3.62889	2.505241
ENSAMEG00000003348	NA	5.775912	3.477133
ENSAMEG00000003349	NA	4.317485	3.728356
ENSAMEG00000003350	NA	6.531023	6.299512
ENSAMEG00000003351	NA	4.584776	1.808859
ENSAMEG00000003352	NA	2.227402	1.57584
ENSAMEG00000003353	NA	0	1.471999
ENSAMEG00000003354	NA	0.3159754	0.03712859
ENSAMEG00000003355	NA	2.897508	2.563075
ENSAMEG00000003356	NA	0	9.425812
ENSAMEG00000003357	NA	9.846981	5.48053
ENSAMEG00000003358	NA	0	0.09207819
ENSAMEG00000003359	NA	3.162283	1.375657
ENSAMEG00000003360	NA	3.469352	3.045078
ENSAMEG00000003361	NA	0.1535771	0.03791295
ENSAMEG00000003362	NA	2.776824	1.836478
ENSAMEG00000003363	NA	4.114034	2.317582
ENSAMEG00000003364	NA	5.741966	5.294852
ENSAMEG00000003365	NA	3.93479	2.077927
ENSAMEG00000003366	NA	1.636302	1.544555
ENSAMEG00000003368	NA	5.534323	2.742866
ENSAMEG00000003369	NA	1.619004	0.5888573
ENSAMEG00000003370	NA	5.94591	2.900423
ENSAMEG00000003371	NA	0	0.5420589
ENSAMEG00000003372	NA	5.120798	2.116903
ENSAMEG00000003374	NA	4.569139	5.646344
ENSAMEG00000003375	NA	2.443052	3.04014
ENSAMEG00000003376	NA	0.2597268	0.1742632
ENSAMEG00000003377	NA	12.97838	9.900053
ENSAMEG00000003378	NA	4.768073	1.779159
ENSAMEG00000003379	NA	3.914536	2.074008
ENSAMEG00000003380	NA	6.35183	7.393365
ENSAMEG00000003381	NA	2.730679	2.169722
ENSAMEG00000003382	NA	0.8910871	0.6631506
ENSAMEG00000003383	NA	3.939038	1.503145
ENSAMEG00000003384	NA	3.546894	2.569139
ENSAMEG00000003385	NA	3.251701	1.666548
ENSAMEG00000003386	NA	4.062856	2.667304
ENSAMEG00000003388	NA	4.217432	1.967416
ENSAMEG00000003389	NA	3.942665	4.225252
ENSAMEG00000003390	NA	2.198975	1.347484
ENSAMEG00000003391	NA	1.200831	0.6999016
ENSAMEG00000003392	NA	4.626498	4.138176
ENSAMEG00000003393	NA	3.533526	1.555512
ENSAMEG00000003394	NA	2.49556	0.4549213
ENSAMEG00000003395	NA	0	0.6754149
ENSAMEG00000003396	NA	4.15164	3.443939
ENSAMEG00000003397	NA	6.196338	3.999333
ENSAMEG00000003398	NA	3.731455	3.034531
ENSAMEG00000003400	NA	4.522966	2.759394
ENSAMEG00000003401	NA	1.646453	0
ENSAMEG00000003402	NA	0.3023319	0.1759027
ENSAMEG00000003403	NA	0	0.04826074
ENSAMEG00000003404	NA	2.98899	4.754022
ENSAMEG00000003405	NA	1.927927	0.2583284
ENSAMEG00000003406	NA	1.918837	2.600372
ENSAMEG00000003407	NA	0.8507642	0.1152197
ENSAMEG00000003408	NA	1.673023	1.331969
ENSAMEG00000003409	NA	5.902966	2.162497
ENSAMEG00000003410	NA	0	0.1417964
ENSAMEG00000003411	NA	4.620229	3.857792
ENSAMEG00000003412	NA	2.280746	0.7772568
ENSAMEG00000003413	NA	4.088362	1.955436
