liver	ovary	testis
ENSAMEG00000000134	NA	3.619988	2.244863
ENSAMEG00000000135	NA	1.163859	4.155612
ENSAMEG00000000136	NA	0.3446557	0.5174038
ENSAMEG00000000137	NA	0.8276004	2.104078
ENSAMEG00000000138	NA	2.937759	5.471139
ENSAMEG00000000139	NA	5.038243	5.172432
ENSAMEG00000000140	NA	4.799704	5.52349
ENSAMEG00000000141	NA	8.94056	10.44354
ENSAMEG00000000143	NA	4.661579	4.235995
ENSAMEG00000000144	NA	3.81838	3.104192
ENSAMEG00000000145	NA	5.991422	5.083728
ENSAMEG00000000146	NA	3.188676	2.386381
ENSAMEG00000000147	NA	0.1095767	0.2560988
ENSAMEG00000000149	NA	5.134537	1.948006
ENSAMEG00000000150	NA	1.076155	0.7667639
ENSAMEG00000000151	NA	2.866688	1.038998
ENSAMEG00000000152	NA	1.355033	3.19516
ENSAMEG00000000153	NA	1.828798	0
ENSAMEG00000000154	NA	0	0.2452255
ENSAMEG00000000155	NA	3.109416	3.049415
ENSAMEG00000000156	NA	3.391898	1.978149
ENSAMEG00000000157	NA	1.938632	1.02303
ENSAMEG00000000158	NA	4.509538	2.500078
ENSAMEG00000000159	NA	4.561937	3.051939
ENSAMEG00000000160	NA	6.085947	4.868855
ENSAMEG00000000161	NA	0.7034294	0.4366704
ENSAMEG00000000162	NA	0.5842217	0.05292235
ENSAMEG00000000163	NA	4.315391	4.940284
ENSAMEG00000000164	NA	0.05011437	0
ENSAMEG00000000166	NA	3.200062	4.558641
ENSAMEG00000000167	NA	4.695632	4.446759
ENSAMEG00000000168	NA	0.7812506	0.03519695
ENSAMEG00000000169	NA	6.957009	6.964768
ENSAMEG00000000170	NA	5.747073	6.46671
ENSAMEG00000000171	NA	1.009928	1.357062
ENSAMEG00000000172	NA	1.961794	2.691
ENSAMEG00000000173	NA	3.227941	1.658691
ENSAMEG00000000174	NA	2.650613	0.9127709
ENSAMEG00000000175	NA	5.750652	2.675565
ENSAMEG00000000176	NA	1.545152	1.103719
ENSAMEG00000000177	NA	0.2792359	0.328655
ENSAMEG00000000178	NA	2.2974	1.690994
ENSAMEG00000000179	NA	4.096161	2.948956
ENSAMEG00000000180	NA	4.387073	3.304479
ENSAMEG00000000181	NA	0	0.2165505
ENSAMEG00000000182	NA	0.7653786	1.987252
ENSAMEG00000000183	NA	1.790672	1.295106
ENSAMEG00000000184	NA	4.362975	3.88577
ENSAMEG00000000185	NA	0.2255279	0.03841975
ENSAMEG00000000186	NA	2.984562	2.399469
ENSAMEG00000000187	NA	6.515963	3.730368
ENSAMEG00000000188	NA	0.6114463	0.6982203
ENSAMEG00000000189	NA	1.048627	1.621032
ENSAMEG00000000190	NA	4.691891	3.680561
ENSAMEG00000000191	NA	0.4032775	0.1533047
ENSAMEG00000000192	NA	3.653208	1.75529
ENSAMEG00000000193	NA	1.12303	1.946634
ENSAMEG00000000194	NA	1.579422	3.136738
ENSAMEG00000000195	NA	4.424452	3.806293
ENSAMEG00000000196	NA	4.104571	2.109414
ENSAMEG00000000197	NA	1.388156	0.4291992
ENSAMEG00000000198	NA	0	0.4032928
ENSAMEG00000000199	NA	5.997929	4.600633
ENSAMEG00000000200	NA	11.12295	8.803195
ENSAMEG00000000201	NA	5.773511	6.636906
ENSAMEG00000000202	NA	4.245214	3.036289
ENSAMEG00000000203	NA	0.05847541	2.912516
ENSAMEG00000000204	NA	0.5975274	0.3313372
ENSAMEG00000000205	NA	5.04896	4.125329
ENSAMEG00000000206	NA	1.736808	1.801411
ENSAMEG00000000207	NA	5.160255	0.8832008
ENSAMEG00000000208	NA	0.1225019	1.850999
ENSAMEG00000000209	NA	0	0.6537039
ENSAMEG00000000210	NA	3.607461	4.199602
ENSAMEG00000000211	NA	5.277475	6.953905
ENSAMEG00000000212	NA	11.24398	10.23932
ENSAMEG00000000213	NA	4.534585	3.483532
ENSAMEG00000000214	NA	0.1181795	0.1035143
ENSAMEG00000000215	NA	2.672876	2.413854
ENSAMEG00000000216	NA	3.85594	1.028357
ENSAMEG00000000217	NA	4.642228	6.482532
ENSAMEG00000000218	NA	0	4.331254
ENSAMEG00000000220	NA	0.2152362	0.2337421
ENSAMEG00000000221	NA	3.987757	5.260459
ENSAMEG00000000222	NA	0	0.137733
ENSAMEG00000000223	NA	5.923358	3.488939
ENSAMEG00000000224	NA	1.056833	2.659324
ENSAMEG00000000225	NA	0.1965554	0.3399651
ENSAMEG00000000227	NA	11.68586	8.650319
ENSAMEG00000000228	NA	3.420268	4.774123
ENSAMEG00000000229	NA	4.974685	3.417666
ENSAMEG00000000230	NA	6.078892	3.290931
ENSAMEG00000000231	NA	4.057	5.832518
ENSAMEG00000000232	NA	0.1495794	0
ENSAMEG00000000234	NA	3.868103	0.83442
ENSAMEG00000000235	NA	6.022701	5.899386
ENSAMEG00000000236	NA	3.031374	3.749341
ENSAMEG00000000237	NA	1.550537	4.439428
ENSAMEG00000000238	NA	5.469414	4.26836
ENSAMEG00000000239	NA	5.987473	3.833902
ENSAMEG00000000240	NA	3.580893	2.810287
ENSAMEG00000000241	NA	3.199231	2.580616
ENSAMEG00000000242	NA	3.129044	2.11224
ENSAMEG00000000243	NA	3.325392	2.370993
ENSAMEG00000000244	NA	0	3.074437
ENSAMEG00000000245	NA	0	0.06786144
ENSAMEG00000000246	NA	0.1411241	0
ENSAMEG00000000247	NA	2.0048	0.2609602
ENSAMEG00000000248	NA	10.78899	7.524988
ENSAMEG00000000249	NA	3.615546	2.565536
ENSAMEG00000000251	NA	0	0.5885513
ENSAMEG00000000252	NA	2.141786	1.498654
ENSAMEG00000000253	NA	0	2.816475
ENSAMEG00000000254	NA	2.758133	2.779602
ENSAMEG00000000255	NA	5.375853	6.720224
ENSAMEG00000000257	NA	0	0.0105148
ENSAMEG00000000258	NA	4.073375	3.28689
ENSAMEG00000000259	NA	5.841757	4.369446
ENSAMEG00000000260	NA	3.504353	0.156082
ENSAMEG00000000261	NA	3.306883	2.11934
ENSAMEG00000000262	NA	4.891448	5.383079
ENSAMEG00000000263	NA	3.970752	1.78831
ENSAMEG00000000264	NA	0.05176549	0.3162906
ENSAMEG00000000265	NA	7.248459	6.683584
ENSAMEG00000000266	NA	5.969054	3.394015
ENSAMEG00000000267	NA	1.240471	1.334256
ENSAMEG00000000268	NA	8.815825	6.723832
ENSAMEG00000000269	NA	0.2535512	0.3621298
ENSAMEG00000000270	NA	2.934239	3.049139
ENSAMEG00000000271	NA	1.374244	0.8475616
ENSAMEG00000000272	NA	2.101181	1.166746
ENSAMEG00000000273	NA	6.274793	4.897168
ENSAMEG00000000274	NA	4.650127	3.698896
ENSAMEG00000000275	NA	8.517268	6.33061
ENSAMEG00000000276	NA	3.303785	3.139468
ENSAMEG00000000277	NA	4.09611	2.953152
ENSAMEG00000000278	NA	1.228357	1.229594
ENSAMEG00000000279	NA	0	0.8616172
ENSAMEG00000000280	NA	2.649248	2.631302
ENSAMEG00000000281	NA	3.77272	0.5470174
ENSAMEG00000000282	NA	3.222832	2.38779
ENSAMEG00000000283	NA	0.3662713	0.07844862
ENSAMEG00000000284	NA	0.5557396	1.393164
ENSAMEG00000000285	NA	1.042441	3.991563
ENSAMEG00000000286	NA	0.138496	0
ENSAMEG00000000287	NA	5.686201	6.599108
ENSAMEG00000000288	NA	0.5796822	2.500394
ENSAMEG00000000289	NA	0.1051654	0.1575273
ENSAMEG00000000290	NA	0.5834305	0.2882262
ENSAMEG00000000291	NA	0.4095593	0.3932811
ENSAMEG00000000292	NA	4.769915	0
ENSAMEG00000000293	NA	1.487363	1.583052
ENSAMEG00000000294	NA	2.003685	2.054164
ENSAMEG00000000295	NA	4.876576	4.811245
ENSAMEG00000000296	NA	6.705895	5.034154
ENSAMEG00000000298	NA	0.2029079	0.06804517
ENSAMEG00000000299	NA	3.60585	3.310855
ENSAMEG00000000300	NA	3.970568	2.757981
ENSAMEG00000000301	NA	1.925445	2.049307
ENSAMEG00000000302	NA	4.673138	3.982123
ENSAMEG00000000303	NA	2.401404	2.927246
ENSAMEG00000000304	NA	0.171039	0
ENSAMEG00000000305	NA	0.1995775	0.2697765
ENSAMEG00000000307	NA	1.17122	0.9315416
ENSAMEG00000000309	NA	4.601203	3.465387
ENSAMEG00000000310	NA	0.9281603	0.393013
ENSAMEG00000000311	NA	0.8859351	0.5153865
ENSAMEG00000000312	NA	4.588073	3.24394
ENSAMEG00000000314	NA	1.709432	0.6597027
ENSAMEG00000000315	NA	1.395984	0.5143586
ENSAMEG00000000316	NA	0.07209167	0.1381277
ENSAMEG00000000317	NA	1.012797	0.05218772
ENSAMEG00000000318	NA	0.1451674	0.332339
ENSAMEG00000000319	NA	4.504144	2.941499
ENSAMEG00000000320	NA	2.731274	0
ENSAMEG00000000321	NA	2.908611	1.642544
ENSAMEG00000000322	NA	2.94433	2.509354
