brain	heart	ovary	testis
FBgn0000008	3.11587640107459	2.12138528681832	3.50417192251871	1.9436014380308
FBgn0000014	0.482676074874011	2.68071783300199	1.15349078526088	3.44176320293728
FBgn0000015	0.418978758094146	1.11043390753389	0.198733819229086	2.23607427273692
FBgn0000017	5.52303046969078	3.21384935243727	4.57958946551412	3.628906632001
FBgn0000018	2.68607368652399	2.91835057235856	4.12776145882681	3.7646906066205
FBgn0000022	0.390348514991242	0.0637446556492439	0.0462980730652205	0.175073353593644
FBgn0000024	6.86023005493477	1.98050451453338	0.570588081166855	0.829529485814329
FBgn0000028	3.95168463521781	0.856082297909219	0.211888253613718	2.84198720737063
FBgn0000032	4.12303520987777	3.85624910448324	6.460533434943	4.78024741728149
FBgn0000036	4.57858908454222	1.21350873960021	0.037323704021523	1.26108607667577
FBgn0000037	5.47324519862869	1.18037292702909	0.140566127026232	0.0575654765517866
FBgn0000038	7.9801418721549	0.955663262940456	0.580555894213367	1.91646629407465
FBgn0000039	5.86679496783637	0.408891069389481	-0.0151158985455511	0.0289391764543362
FBgn0000042	10.4095859409752	9.4876508953586	10.7996549153641	9.24264413108836
FBgn0000043	6.23293251821495	6.07756037034067	8.11344665137765	8.98715865254092
FBgn0000044	4.49114817320364	9.48744551501336	5.92734208469121	6.49832858143408
FBgn0000045	3.90064369897618	1.88996252356629	0.543641096769843	1.40205817991535
FBgn0000046	2.57415253136884	6.17654455280555	2.57505266660456	8.79699301228049
FBgn0000047	1.49927751024685	0.0431292445427984	0.411356123457863	0.35464318689213
FBgn0000052	3.43968819206631	7.14866946560635	5.53228552263993	3.14626181366556
FBgn0000053	3.901375840342	6.12012983811162	6.16107286542881	2.8425487708388
FBgn0000055	9.45464052031534	12.9296906251937	9.59550699326652	4.57448832171814
FBgn0000056	4.33827564239168	7.22289903839365	2.83017177690452	0.346438601125062
FBgn0000057	4.1425323345738	3.90667471609183	4.5733336661718	5.16672380156083
FBgn0000061	0.267605075691137	0.43524652978549	0.0239558165502895	0.0943726590468624
FBgn0000063	2.46138703067833	1.12195919679443	4.22569769525101	3.83702353072928
FBgn0000064	8.81712654201892	9.61520702371795	7.63245820840046	8.36490011751747
FBgn0000071	2.67912307430486	-0.0831804311572959	-0.237902615714393	1.576865349192
FBgn0000075	0.894502269586449	0.495878381999677	3.23176289866214	1.53161384349941
FBgn0000077	3.98642130869574	3.78734250769337	4.57510109269083	1.40780559641392
FBgn0000078	2.27014357782789	4.63364849626558	0.763543139361696	3.3242328800252
FBgn0000079	2.09861278894424	5.21554837327825	1.05911916889514	4.58425456371846
FBgn0000083	7.39722853142453	8.06322711173015	7.19837237671945	6.05900734505365
FBgn0000084	6.69061322305986	5.84047964871162	5.96926236821725	5.07242650678372
FBgn0000092	1.15975972203793	0.883151341447227	0.332869278850235	0.333395808177977
FBgn0000094	0.971806148780484	5.71913934138614	0.330545356097398	6.16857376817267
FBgn0000097	4.378568468722	3.40385867616125	4.50059808293193	2.27730840226623
FBgn0000100	9.32652694438065	9.97527308163549	10.6104717014312	7.78771440156663
FBgn0000108	8.36108403176774	1.23938958143599	0.833896227829278	0.503184676519404
FBgn0000109	4.05192548683146	4.68953525480753	5.19846021555857	2.88320813714612
FBgn0000114	4.98325924137213	4.20793238848834	8.99302413181099	8.24890672232157
FBgn0000115	5.6440965056133	5.07429872252267	6.29385161298252	5.38075760629129
FBgn0000116	10.2139500414144	9.00768157567201	7.26067087749214	7.56767680703742
FBgn0000117	7.75900594706413	5.30945757101042	7.3170815066347	5.25147712602793
FBgn0000119	3.77582140204382	2.49552333332457	2.80064543438777	2.95718098948725
FBgn0000120	6.27677522460905	2.95421338106246	0.774715628965534	4.30683223434238
FBgn0000121	6.98241120412122	4.22190556675105	0.770606353947866	-0.468894123816116
FBgn0000137	1.38201942306696	0.186016545538035	-0.136725420179927	0.511944239430038
FBgn0000139	5.01162440624629	5.03062665994376	5.00818319423163	4.02672886081226
FBgn0000140	1.02809907802552	0.233440093305025	5.26094854297424	4.54425768167605
FBgn0000146	1.22128479393517	2.22059945852913	5.77452711545622	3.55218137134689
FBgn0000147	2.26353649080452	1.14429475553157	5.6150049644124	6.04786896312086
FBgn0000150	9.47537332942468	10.0445343229269	11.0995417519957	8.30235355889874
FBgn0000152	2.43870954275108	2.88590815714447	3.80566849696952	1.82878616249124
FBgn0000153	5.49659377321056	1.77216033778523	0.789672564595222	0.148955003892688
FBgn0000157	4.01789257059771	0.781239235041794	0.143578353652449	0.671685993702213
FBgn0000158	0.306139954364619	0.109056185204236	4.68670516143936	2.21774938146635
FBgn0000163	2.85451493877692	3.96341492241078	4.02903930553119	3.0590370893562
FBgn0000166	0.883369416158049	0.744027834224581	4.99419492890441	0.572482105796952
FBgn0000173	7.75800625777995	6.34270477765679	8.01079390984072	5.57577263972628
FBgn0000179	4.19393542595146	0.756714139763654	0.100024121572593	0.592167578458235
FBgn0000180	3.0023211466192	0.379912725431839	1.23464230144518	1.43624071475032
FBgn0000181	8.95224227097106	8.78266923413651	10.1554103457203	8.62942017179767
FBgn0000182	0.282726409443089	0.785089570964487	7.24951318319696	6.59434273922966
FBgn0000183	5.354020784633	5.76123655616889	6.11388468346552	3.80824157273073
FBgn0000206	2.36342861299219	0.552314766539038	0.321690777975404	1.41932105880336
FBgn0000212	5.07075274867444	2.59994476922409	4.53148410504763	2.21116254706791
FBgn0000216	1.34387009165548	0.0376985813691153	0.0817524119167781	0.665613084887271
FBgn0000221	2.8212350976782	2.2148265787043	3.66915892530005	3.00770574006788
FBgn0000227	0.0152961204483807	0.374329671773087	0.0137228782787153	0.172967059106111
FBgn0000228	4.86303518518834	3.61162428156854	5.06841454953989	2.04980901741665
FBgn0000229	8.04820764994767	5.2165380020011	4.60742110048505	4.79519810842464
FBgn0000233	1.08245467947521	0.102244195661524	-0.0345778366897016	0.759377940799794
FBgn0000239	5.73356082310644	5.8197087241446	6.6310765447772	5.92648494865607
FBgn0000241	1.17632597961772	0.571070340490136	0.64880842208555	1.49105149480795
FBgn0000244	4.32175963154759	5.63216644110861	3.45415382358945	2.41316919703648
FBgn0000246	2.82757140313174	1.38999577548949	5.29158302883089	2.42515443830056
FBgn0000247	4.06741684461885	3.21720825571041	3.94121087470896	3.27586649770959
FBgn0000250	5.92896562673616	6.42273553717182	7.36380187320504	4.75131925914124
FBgn0000251	0.898959166365234	1.28400581671646	6.11621015238643	4.54767490635101
FBgn0000253	10.8853709185028	8.81531086922237	9.76629572351605	8.98699231858258
FBgn0000256	4.54145269899187	4.44503278254108	3.68360747495214	7.14088329480852
FBgn0000257	4.05225000117927	3.64764892784182	4.42634297595642	2.62300201184198
FBgn0000259	7.50087937413663	5.77634075076083	7.99398327311543	5.96218453922513
FBgn0000261	6.08937262907265	9.73749250278627	5.73937863637658	7.23422467459615
FBgn0000273	7.72690390799093	4.92784524895222	5.45648104920179	3.22791077777366
FBgn0000274	0.00308249964283552	0.935176810430203	1.49190929871655	6.85266970745735
FBgn0000276	1.33035100233551	8.5073485403954	2.10097830738857	4.79158368245128
FBgn0000277	1.09423661958535	7.70986833745949	0.743631582552466	1.49230448849453
FBgn0000278	0.567659769994352	5.08973026401794	0.0988402826853973	0.469647096770623
FBgn0000279	1.33327291397214	6.51867269490721	0.382935112518275	1.04611333745977
FBgn0000280	-0.0031855982407352	0.0408922651581917	0.00421685331571349	0.0988563032501653
FBgn0000281	0.0515758594203173	0.968596894681829	0.0120486841521831	0.178128535826155
FBgn0000283	6.25166410224132	4.02491862807443	6.20893474189727	3.57801660599128
FBgn0000286	4.5987643575103	4.36368762416629	4.4141719346254	3.76186684669402
FBgn0000287	3.33585006185433	1.61638697487646	-0.0115637994963481	4.22888557867946
FBgn0000289	6.54854714564335	4.21514412271428	6.31943637116166	4.26790812025036
FBgn0000299	5.17659895342367	5.65692026408872	4.99696390832174	2.65918824160353
FBgn0000303	5.88488649658794	0.743591666634008	0.241040160072412	0.502540726248276
FBgn0000307	5.23799623030456	2.91560026369002	5.1217323764192	2.25598469423973
FBgn0000308	8.97246761495285	9.00406412863976	9.39041482072803	8.43817596857643
FBgn0000316	5.54837237118189	4.36989225054207	6.24282295115777	2.93886589667847
FBgn0000317	2.37574123544428	2.43634537551518	4.00822398800576	1.91097099790026
FBgn0000318	7.85145226828559	7.72450217308204	7.75970863021717	8.13536780028655
FBgn0000319	6.86539127924703	7.03934999697058	7.27877754235979	5.1541589208732
FBgn0000320	2.69619465570771	0.0699387364236149	3.21690408253499	4.11075794687097
FBgn0000326	3.78515270472149	3.78776126940571	4.01349917520747	3.11056310597669
FBgn0000330	5.10221839006111	3.64122717590585	4.86700658876473	2.98293931094775
FBgn0000337	0.329683805357839	0.783971403922976	1.19977768636898	1.01591759012655
FBgn0000339	6.58272033979001	6.8404778111446	6.5250511179491	6.11251600135702
FBgn0000346	7.69286408407447	1.41286612614436	2.82853016567403	4.44024194268293
FBgn0000351	1.20202953231281	1.77996102528673	5.37614824287311	1.31987757460842
FBgn0000352	4.48449360145113	1.71810375723012	4.41622409267113	1.97612179908
FBgn0000355	0.594520450370063	0.675688846182494	12.0272524710364	3.86130141637002
FBgn0000356	0.210243281164878	0.570785372585483	9.67584488415683	0.208698619831349
FBgn0000357	1.41640376991659	1.16051612160594	9.95058336484782	1.85547926476118
FBgn0000358	0.298574481982729	0.451536753635604	10.060897995404	0.382259368442178
FBgn0000359	0.389084042392173	0.513884429686912	10.3092916745402	0.346810882582435
FBgn0000360	0.459814498759099	0.443376589538293	10.4082370708773	0.448895019351442
FBgn0000370	9.01713937781507	9.15679956382754	8.35721982664066	7.67860483700492
FBgn0000376	3.89971294841828	2.09702960014904	4.72217228003615	1.19058024617249
FBgn0000377	4.62630545849094	3.01378495765769	4.79098609495424	2.39663238446583
FBgn0000382	6.57437817570458	4.94346015478517	5.51911765105026	2.83493896088275
FBgn0000384	5.54536729522007	4.32027827395496	6.49353829531317	3.35407725279222
FBgn0000392	0.730478500811973	1.69119005528453	6.31244947658718	6.46676748153309
