heart	kidney	liver	ovary
ENSANAG00000001178	0	2.180823	2.877195	2.525212
ENSANAG00000001190	2.675166	3.402632	1.795692	3.371562
ENSANAG00000001213	0	8.287652	0.03815155	0.956705
ENSANAG00000001214	8.287426	7.01537	6.559655	6.630947
ENSANAG00000001224	0.1376111	1.004142	0	0.6600223
ENSANAG00000001240	0	1.534958	0	0
ENSANAG00000001245	6.666723	6.451354	7.269917	7.171914
ENSANAG00000001264	5.578225	6.430009	7.083582	6.762366
ENSANAG00000001270	4.645275	4.45129	3.811666	4.695398
ENSANAG00000001281	0.6600661	2.223036	0.8801056	1.207937
ENSANAG00000001314	0	1.656849	0	0.3813919
ENSANAG00000001347	0	0.1277748	0.1071112	0.304268
ENSANAG00000001365	0.3856917	0.4517033	0.5284343	1.019403
ENSANAG00000001372	0.1672474	0.1842574	0.4174297	0.1486413
ENSANAG00000001376	1.193994	0	2.164255	1.780129
ENSANAG00000001396	4.289221	5.366749	7.059515	4.483809
ENSANAG00000001399	8.925311	8.767003	8.619662	9.593412
ENSANAG00000001403	0.3437751	3.558255	2.016896	0.5860182
ENSANAG00000001414	0.2925391	0.3256455	0.2635645	0
ENSANAG00000001421	3.414038	2.314398	1.480875	3.144662
ENSANAG00000001422	4.462537	4.630382	3.934837	5.060291
ENSANAG00000001423	2.157079	3.170028	8.191291	3.272141
ENSANAG00000001439	2.956588	3.339019	2.572865	3.672652
ENSANAG00000001462	1.887412	3.985187	2.433051	3.492724
ENSANAG00000001463	1.218589	1.467874	0	0.2209057
ENSANAG00000001465	1.593621	2.612294	1.781406	2.724006
ENSANAG00000001502	0.4198991	0	0	0
ENSANAG00000001518	3.164006	4.181198	2.911619	4.83931
ENSANAG00000001522	6.600159	6.733096	5.578457	7.26353
ENSANAG00000001537	0.2165952	0.2607303	0.1097545	0.1955681
ENSANAG00000001540	0.2781596	0.2497827	0	0.4751119
ENSANAG00000001542	5.864206	2.78826	2.917115	3.911883
ENSANAG00000001545	0	0.8720518	0.556087	0.7156826
ENSANAG00000001572	0	0	0	1.108056
ENSANAG00000001573	4.452604	4.626679	4.487596	3.628853
ENSANAG00000001578	0	0	0.5511665	0
ENSANAG00000001590	0	1.812917	0	0.7114835
ENSANAG00000001595	2.544814	1.762468	0.1966838	2.118602
ENSANAG00000001612	2.486563	2.563217	3.045467	3.147372
ENSANAG00000001615	0.1193819	2.271506	0.3198526	0
ENSANAG00000001616	0	0	11.66755	2.416199
ENSANAG00000001618	2.028342	2.364669	1.847009	2.873019
ENSANAG00000001631	2.623086	2.512842	2.200093	4.219106
ENSANAG00000001637	0.05240379	0.1961298	0.2038051	0.3855614
ENSANAG00000001638	5.975867	5.977681	5.353703	6.652234
ENSANAG00000001640	2.910771	2.95263	0.3973046	2.493944
ENSANAG00000001642	3.751739	3.915725	2.784623	3.472057
ENSANAG00000001657	1.107105	1.422814	1.003832	0.3466347
ENSANAG00000001676	0.09036649	1.041487	0.6829355	0.7035633
ENSANAG00000001701	6.127549	5.171571	4.24298	5.691227
ENSANAG00000001717	3.952598	3.709295	3.693866	4.799212
ENSANAG00000001718	3.048831	4.689353	6.090682	7.149253
ENSANAG00000001719	3.977976	3.976564	3.079644	4.405658
ENSANAG00000001727	5.986502	5.341991	5.682941	4.281118
ENSANAG00000001734	1.240837	2.265858	1.823164	2.000758
ENSANAG00000001737	9.768862	6.22783	6.24226	7.005363
ENSANAG00000001745	0	1.747847	0.9748266	2.192819
ENSANAG00000001754	1.011073	0.4823837	2.131501	3.11268
ENSANAG00000001756	4.25267	3.724591	0.7181613	3.089642
ENSANAG00000001762	6.248186	5.582157	5.069591	4.598885
ENSANAG00000001763	3.792892	4.791176	4.162216	4.647384
ENSANAG00000001769	0.1322294	0.01427887	0	0
ENSANAG00000001773	2.768341	4.482413	3.802483	4.485297
ENSANAG00000001805	4.858263	5.30932	4.789128	6.080792
ENSANAG00000001806	0.1400417	1.48997	0.07067111	3.990631
ENSANAG00000001807	0.3999717	2.374892	2.216942	3.061944
ENSANAG00000001808	3.946466	4.854466	5.173619	4.842474
ENSANAG00000001809	5.283648	4.13151	4.151606	4.809469
ENSANAG00000001811	3.618528	2.955551	0.9341662	3.017117
ENSANAG00000001819	3.350642	3.604578	3.122376	4.754785
ENSANAG00000001820	5.755209	4.470733	2.243891	4.378933
ENSANAG00000001841	0	0.07101903	0	0.103136
ENSANAG00000001842	2.368867	3.591504	1.944431	4.556857
ENSANAG00000001843	1.875285	2.67463	2.065207	3.228468
ENSANAG00000001851	3.454235	4.083475	3.126933	4.244574
ENSANAG00000001883	1.280452	2.185159	1.683184	2.487221
ENSANAG00000001887	5.599851	4.576936	4.244306	4.854867
ENSANAG00000001893	1.501894	1.883242	0.7756237	0.3735057
ENSANAG00000001897	6.923244	6.030689	6.084028	5.755264
ENSANAG00000001909	1.565695	2.061863	1.011975	1.237423
ENSANAG00000001962	0.1291961	0	0.07915921	0
ENSANAG00000001994	4.340334	5.220972	5.078584	5.017713
ENSANAG00000002010	0.1138686	0.03077648	0	0
ENSANAG00000002026	4.450235	5.619034	5.37144	5.480352
ENSANAG00000002038	3.727433	4.000424	2.535891	4.157872
ENSANAG00000002046	0	0	0	0.2462877
ENSANAG00000002047	4.819055	5.959047	7.115585	5.499957
ENSANAG00000002054	1.03785	0.8067381	0.4899891	1.611219
ENSANAG00000002073	6.192729	4.816538	3.091955	5.814898
ENSANAG00000002099	4.588356	4.508143	2.701112	5.122305
ENSANAG00000002125	8.28894	8.972579	8.63912	8.868239
ENSANAG00000002213	2.837314	4.760897	6.779562	5.01039
ENSANAG00000002241	0.1293863	0.2005772	0	0
ENSANAG00000002242	2.050108	6.210338	3.456194	1.800484
ENSANAG00000002300	0.336593	0	0	0
ENSANAG00000002363	1.793047	2.045485	2.049303	2.878431
ENSANAG00000002364	1.52088	1.283199	0.4370445	2.891341
ENSANAG00000002365	5.364912	4.65408	4.03263	5.937173
ENSANAG00000002408	0.7926788	0.7029048	0.236026	1.695223
ENSANAG00000002410	0.880481	1.562372	1.122971	1.125016
ENSANAG00000002444	0.1994607	0.6375398	0.07235226	0.6135929
ENSANAG00000002448	0	0.674993	0	0
ENSANAG00000002457	0.9494953	1.199958	0	0
ENSANAG00000002491	1.812141	1.741307	2.849099	2.192829
ENSANAG00000002506	9.377738	10.04483	9.450193	8.696578
ENSANAG00000002536	0	0.1043831	0	0
ENSANAG00000002566	0.7500988	1.30841	0.05199836	0.814411
ENSANAG00000002571	6.239747	7.582103	8.606451	6.938021
ENSANAG00000002590	6.132663	6.481684	6.741709	7.291967
ENSANAG00000002597	3.104003	4.67502	4.158103	4.31106
ENSANAG00000002659	4.776254	2.705854	1.285619	3.563284
ENSANAG00000002683	0.1803172	0.1665458	0	0
ENSANAG00000002693	4.2499	5.14668	4.368217	6.157391
ENSANAG00000002703	5.453929	5.410782	6.411777	6.030599
ENSANAG00000002706	1.850167	7.303169	0	0
ENSANAG00000002736	1.723419	2.846269	2.090687	3.20931
ENSANAG00000002737	2.733673	2.88842	2.584662	3.690026
ENSANAG00000002759	0.5373249	0.5201315	0	0.8704594
ENSANAG00000002760	0.7127842	0.5048745	1.018141	0.6672812
ENSANAG00000002761	7.313908	7.777584	6.818403	8.204126
ENSANAG00000002807	3.964814	4.408922	3.594811	4.704734
ENSANAG00000002837	3.365604	3.712584	3.630488	4.069428
ENSANAG00000002866	0	0.1571369	0	0.9265718
ENSANAG00000002881	0	0.1222042	0	0
ENSANAG00000002902	0	1.661325	0	1.188027
ENSANAG00000002903	0	0	0	0.6012277
ENSANAG00000002931	8.088285	8.828974	8.007347	9.645857
ENSANAG00000002932	0	0	0.190448	0
ENSANAG00000002961	5.914875	0	5.151867	0.5186862
ENSANAG00000002967	2.227125	1.503583	1.279572	1.541748
ENSANAG00000002979	0.1788268	0.5586203	0.4530603	0.5753026
ENSANAG00000002987	0.3716291	0	0	0
ENSANAG00000002999	0.6645529	0	0	0
ENSANAG00000003022	1.514014	4.491182	3.629542	3.836255
ENSANAG00000003023	0	0.2332488	0	0
ENSANAG00000003028	0	1.549457	6.389276	0.107588
ENSANAG00000003030	0.4752374	0.2893045	0	0
ENSANAG00000003036	1.53528	0.7428729	6.833691	1.274244
ENSANAG00000003041	2.122149	2.791247	1.667202	3.243177
ENSANAG00000003057	0	0	0.5544415	1.435495
ENSANAG00000003063	0.6480549	1.919355	0.9589436	1.37754
ENSANAG00000003065	0	0.618124	0.06920886	0.09819234
ENSANAG00000003067	0.06526637	0	0	0
ENSANAG00000003079	3.916534	3.356193	3.75955	4.455649
ENSANAG00000003080	6.341164	6.549433	5.752915	7.658123
ENSANAG00000003109	2.056091	2.62197	1.422335	2.388349
ENSANAG00000003110	1.526955	4.24139	2.501102	2.165777
ENSANAG00000003158	0.1384174	0	0	0.06540342
ENSANAG00000003183	4.520566	3.391102	4.566457	3.148993
