heart	kidney	liver	ovary
ENSANAG00000022510	3.358378	4.411013	3.468583	4.863066
ENSANAG00000022511	0.04551566	0.5274738	11.55421	1.867774
ENSANAG00000022512	2.125959	2.849665	2.412226	3.353829
ENSANAG00000022513	4.122656	4.337918	4.339857	5.872639
ENSANAG00000022514	3.76619	3.231747	2.550209	4.775865
ENSANAG00000022515	4.033538	4.354704	3.942082	5.453204
ENSANAG00000022516	1.028504	2.093461	0.8563767	0.7825956
ENSANAG00000022517	0.1048892	0.08526732	0	0.143639
ENSANAG00000022518	3.621635	4.457031	2.917326	3.934431
ENSANAG00000022519	1.621043	1.440289	0.8409731	1.39549
ENSANAG00000022520	0.7963884	0.6105508	0.136267	0.4248447
ENSANAG00000022521	3.020458	3.460458	2.747545	5.315388
ENSANAG00000022522	4.338518	4.450154	3.804893	4.689362
ENSANAG00000022523	5.94107	5.012711	2.81636	6.423796
ENSANAG00000022524	5.817127	5.974339	5.173771	6.294163
ENSANAG00000022525	6.517817	5.79445	4.882721	6.818505
ENSANAG00000022526	4.320932	3.325132	3.335242	4.015479
ENSANAG00000022527	5.359562	5.767547	4.988229	5.916513
ENSANAG00000022528	2.613093	3.182962	1.998874	3.550654
ENSANAG00000022529	1.845736	1.181234	0.1154275	0.2326337
ENSANAG00000022530	0.2806124	4.00537	0.1280534	4.584475
ENSANAG00000022531	2.906994	2.966966	2.966794	3.872858
ENSANAG00000022532	8.049854	6.72733	6.10814	7.505393
ENSANAG00000022533	2.271411	0.5767253	1.518057	1.501276
ENSANAG00000022534	5.174038	4.587616	3.965886	4.079301
ENSANAG00000022536	5.389173	5.209672	5.134044	5.638265
ENSANAG00000022537	1.214921	1.967951	1.477822	1.516182
ENSANAG00000022539	5.417558	5.826304	5.999743	6.392171
ENSANAG00000022540	4.504467	5.374886	4.432561	7.325749
ENSANAG00000022542	2.632738	3.770789	1.586398	3.463833
ENSANAG00000022543	3.223968	5.076888	5.381353	4.738141
ENSANAG00000022544	4.155667	4.336316	3.861758	6.120549
ENSANAG00000022545	0.3369437	0.5794418	0.6777486	0
ENSANAG00000022546	1.870949	1.28733	0	2.405726
ENSANAG00000022547	0	0.6047707	1.446754	0
ENSANAG00000022548	6.480808	7.009526	5.833877	7.277083
ENSANAG00000022549	0.01670497	3.288493	1.345259	0.04938553
ENSANAG00000022550	0	0.5656683	0	0
ENSANAG00000022551	3.324753	4.479234	2.714534	4.365959
ENSANAG00000022552	1.665083	2.011394	1.643591	2.114119
ENSANAG00000022554	4.617434	4.529684	3.394926	4.940868
ENSANAG00000022556	0.1705686	5.544374	0.4950443	0.2896386
ENSANAG00000022557	0.2161879	0.2591194	0	0.204316
ENSANAG00000022558	0	0	0	0.3733052
ENSANAG00000022559	4.096199	4.746172	3.713603	5.009915
ENSANAG00000022560	0.5640025	0.5398755	0.1732951	1.906702
ENSANAG00000022562	2.323788	1.591541	2.026804	3.527783
ENSANAG00000022563	5.804059	6.257399	5.57963	5.786168
ENSANAG00000022564	4.221189	4.550002	2.041993	6.2212
ENSANAG00000022565	0.1864562	0.7086843	1.048055	0.7171462
ENSANAG00000022566	5.983812	4.962086	4.584241	6.362749
ENSANAG00000022568	0	0	1.515359	0.7098094
ENSANAG00000022570	0	0.2768432	0	0
ENSANAG00000022571	2.056129	0.09333355	0	0.05833603
ENSANAG00000022572	3.694626	3.870504	5.16069	4.67084
ENSANAG00000022573	2.028877	2.59996	2.491676	2.706303
ENSANAG00000022574	1.844685	3.208143	2.347545	2.939383
ENSANAG00000022575	6.426614	5.154065	5.427911	8.56984
ENSANAG00000022576	3.187784	7.079879	6.447584	3.440477
ENSANAG00000022577	2.532255	3.12305	3.284211	3.790668
ENSANAG00000022578	3.23877	4.322995	3.563329	4.274709
ENSANAG00000022579	0.3945317	0.5828537	0.09552318	0.5459209
ENSANAG00000022580	1.82223	1.882467	6.851166	2.783647
ENSANAG00000022582	2.939464	3.724738	2.649942	3.792907
ENSANAG00000022583	5.020378	0	2.142619	3.866245
ENSANAG00000022584	6.009392	5.77885	5.333828	6.21211
ENSANAG00000022585	4.958106	5.276958	4.927074	5.492555
ENSANAG00000022586	0.2127947	0.4586581	0.1628404	0.3042902
ENSANAG00000022587	0.7031503	0.6459912	0.6849201	1.929015
ENSANAG00000022588	3.942904	4.601559	4.004518	4.567247
ENSANAG00000022589	0.4729026	2.427376	0.2884826	0.125972
ENSANAG00000022590	0	0	0.1488313	0
ENSANAG00000022591	0	0.8758178	0.4256838	0
ENSANAG00000022592	1.553203	0.06138581	0.07451612	4.15168
ENSANAG00000022594	10.10588	9.127301	8.579063	9.073202
ENSANAG00000022595	6.332953	5.447926	5.917216	5.92741
ENSANAG00000022597	4.829952	6.174261	7.879792	5.798388
ENSANAG00000022598	3.292947	3.764081	0.4590927	0.8454684
ENSANAG00000022599	1.377126	2.471604	1.954204	2.300454
ENSANAG00000022600	5.910796	6.276175	6.220425	6.57688
ENSANAG00000022601	3.954861	3.661715	2.857922	3.851042
ENSANAG00000022602	0.06311343	0.8760473	0	1.534749
ENSANAG00000022603	0.3117449	2.476737	1.38819	0.6218217
ENSANAG00000022604	2.781855	1.790013	2.528974	1.740049
ENSANAG00000022605	3.621442	1.311968	0.6909194	2.26499
ENSANAG00000022607	0.7168206	0.4188344	0.5688046	0.8205474
ENSANAG00000022608	6.025104	6.957648	5.527264	5.511202
ENSANAG00000022609	1.794241	2.149513	2.512002	3.030845
ENSANAG00000022610	1.353927	2.528294	2.598279	3.022889
ENSANAG00000022611	7.799055	7.658811	7.004513	8.555187
ENSANAG00000022612	0	1.119044	0.1462433	0
ENSANAG00000022613	0	0	0.1107687	0
ENSANAG00000022614	0	0	0	0.485908
ENSANAG00000022615	0.1680926	0.193575	0.1156623	0.4502944
ENSANAG00000022617	8.062489	9.27956	7.546933	8.17864
ENSANAG00000022618	0.573008	1.562562	0.3392275	0.7712534
ENSANAG00000022619	0	0.1997521	0	1.185105
ENSANAG00000022620	1.913742	4.089117	3.11913	1.044772
ENSANAG00000022621	5.220679	4.665649	4.585472	6.865017
ENSANAG00000022622	0.1615859	0	0.4912836	0
ENSANAG00000022623	0.2200476	2.411114	0.3326655	0.1460008
ENSANAG00000022624	0	2.76459	0	0.1629138
ENSANAG00000022626	9.380094	9.279372	9.035514	10.23526
ENSANAG00000022627	2.826286	2.091243	3.246954	7.616144
ENSANAG00000022628	2.263922	2.066363	0.7277271	2.736988
ENSANAG00000022629	0.1395965	1.168527	0.2660693	0.3037433
ENSANAG00000022630	0.04684067	0.599772	0.2114882	0.2663188
ENSANAG00000022631	0	0	1.870933	0
ENSANAG00000022632	4.161011	4.227542	3.2286	4.613351
ENSANAG00000022634	0.2542469	0.4401581	2.393713	0.2585889
ENSANAG00000022635	0.9520428	0.4771136	0.4401964	1.168578
ENSANAG00000022636	3.368163	5.179274	6.312179	2.029008
ENSANAG00000022637	0	0	0.08279332	0
ENSANAG00000022638	4.140591	4.798713	4.068989	5.201097
ENSANAG00000022639	2.715959	4.264264	3.900592	3.189995
ENSANAG00000022640	3.346031	3.199536	2.851349	4.27371
ENSANAG00000022641	1.199072	0.4448971	0.7410493	0.2628757
ENSANAG00000022642	0	0.3291626	0.2719216	0
ENSANAG00000022643	0.08636565	0.2580678	0.5008235	0.5784186
ENSANAG00000022644	4.965736	5.305458	4.645817	5.024523
ENSANAG00000022645	0	0	0	0.5009601
ENSANAG00000022646	4.123306	4.109274	3.609026	4.422134
ENSANAG00000022647	4.581984	5.425429	2.986268	4.460549
ENSANAG00000022648	2.340146	0.07334862	0	2.222267
ENSANAG00000022649	3.931675	1.950741	0.7833737	2.513254
ENSANAG00000022650	0	0	0.1844758	0.3995496
ENSANAG00000022651	0.6594067	1.93332	1.875823	2.032588
ENSANAG00000022652	0.2689924	0	0	0.5082451
ENSANAG00000022653	4.386018	5.928875	6.906013	4.12475
ENSANAG00000022654	3.025459	4.556104	3.346686	4.56805
ENSANAG00000022655	0.7945173	3.352014	6.979836	1.099551
ENSANAG00000022656	0.1181966	0.7151053	0.4963202	3.648212
ENSANAG00000022657	0	0.0789243	0.03043327	0
ENSANAG00000022658	0.4295335	1.024575	1.41328	2.489484
ENSANAG00000022659	0.9760505	0.5764254	0.4528653	0.7566741
ENSANAG00000022660	2.797239	2.032071	1.666007	2.443232
ENSANAG00000022661	3.797957	1.426243	0.709932	2.246518
ENSANAG00000022662	1.762544	6.23301	8.388887	4.145319
ENSANAG00000022663	3.747289	3.505368	3.152192	3.734517
ENSANAG00000022664	6.125213	0.799583	0.02756217	0.1702379
ENSANAG00000022665	1.029432	0	0.3638316	0.4144614
ENSANAG00000022667	5.371518	5.25541	3.744559	6.531118
ENSANAG00000022668	0.3090201	2.266562	1.739209	0.1008961
ENSANAG00000022669	0.06682422	0.05300259	0.01449913	0.3417171
ENSANAG00000022670	0	0.9229749	0	0
ENSANAG00000022671	5.008263	4.590692	4.080078	6.732798
ENSANAG00000022672	3.127216	3.399045	2.482675	3.436316
ENSANAG00000022673	3.53305	3.263692	3.281384	3.751999
ENSANAG00000022674	0.4861717	0.06635652	0.05307699	0.2521153
ENSANAG00000022676	0	0.09654996	0.1770082	0
ENSANAG00000022677	0.6035881	4.017877	0.05320575	3.925942
ENSANAG00000022678	2.240458	2.998242	0.7777988	2.469756
ENSANAG00000022679	6.396783	5.599913	5.768039	6.063591
ENSANAG00000022680	4.936264	8.772765	7.109032	5.972508
ENSANAG00000022681	0.03722308	5.775359	0.02833264	0.3845395
ENSANAG00000022682	0	0	0	0.1884212
ENSANAG00000022683	1.683139	2.365163	2.000523	2.116152
ENSANAG00000022684	3.445727	3.567375	3.966477	3.597329
ENSANAG00000022685	3.054287	3.207888	2.372479	2.862116
ENSANAG00000022686	0.9221933	1.597021	1.374533	1.917229
ENSANAG00000022687	0.6791355	1.298969	0.5327967	1.106027
ENSANAG00000022689	4.420644	6.363995	5.111833	6.795415
ENSANAG00000022690	2.515031	3.038009	2.711763	2.294874
ENSANAG00000022691	2.785346	4.627045	3.877458	5.982593
ENSANAG00000022692	2.80198	4.091158	2.552229	3.830823
ENSANAG00000022693	2.319349	0.7611576	0.08598762	1.509265
ENSANAG00000022694	1.638205	1.803496	1.353926	2.453039
ENSANAG00000022695	5.800152	5.665779	5.235241	6.150826
ENSANAG00000022697	8.716007	7.559063	7.05423	6.886099
ENSANAG00000022699	3.462288	5.202273	3.212949	1.761953
ENSANAG00000022700	3.470198	2.639582	0	1.783264
ENSANAG00000022701	1.991779	1.842078	1.322188	1.387269
ENSANAG00000022702	5.664113	6.033386	4.15037	7.031781
ENSANAG00000022703	1.033074	6.448914	5.520064	2.041313
ENSANAG00000022704	0.2783143	0.4825664	0.2329173	0.5327778
ENSANAG00000022706	3.918333	3.723937	3.005908	4.63128
ENSANAG00000022707	5.147038	5.27913	5.177073	6.80165
ENSANAG00000022708	0.9718073	4.13506	0.08006041	1.805265
ENSANAG00000022709	0	0	8.769078	0.2689577
ENSANAG00000022710	13.20685	3.878951	2.601744	4.326811
ENSANAG00000022711	4.993718	5.125795	4.829849	4.688808
ENSANAG00000022712	2.927326	2.249479	3.838168	1.895353
ENSANAG00000022714	2.373016	3.014191	2.580917	2.821506
ENSANAG00000022715	0.2643916	1.011317	0.3196052	1.170074
ENSANAG00000022716	6.780853	7.457312	6.958885	7.043908
ENSANAG00000022717	0.4958296	1.050997	0.8592606	0.3813098
ENSANAG00000022718	6.837528	5.90566	5.80051	6.373838
ENSANAG00000022719	1.492991	1.834485	1.386512	1.991996
ENSANAG00000022720	8.377512	7.570387	6.961526	6.792933
ENSANAG00000022721	2.211006	3.095231	1.790201	2.436996
ENSANAG00000022722	0.5837251	0.760743	1.718053	1.294107
ENSANAG00000022723	0.3817452	0.648146	0	0.6385771
ENSANAG00000022724	2.736146	1.942511	2.411898	3.405257
ENSANAG00000022725	0.04894452	9.197249	7.118549	2.014291
ENSANAG00000022726	5.179523	4.554601	3.234573	5.223701
ENSANAG00000022727	3.125025	2.718871	2.317326	3.717669
ENSANAG00000022728	2.234238	2.165767	1.524771	1.655562
ENSANAG00000022729	3.388381	3.707269	1.411221	3.39988
ENSANAG00000022730	2.074971	2.673731	1.760551	3.201046
ENSANAG00000022731	4.814314	4.888037	4.772092	5.642366
ENSANAG00000022732	4.399421	4.822691	4.060285	5.820179
ENSANAG00000022733	0	0.2248849	0	0
ENSANAG00000022734	7.507425	8.715525	7.782746	9.399333
ENSANAG00000022736	0	0	0.850477	2.018214
ENSANAG00000022738	3.093251	2.814261	3.125725	4.068757
ENSANAG00000022739	1.005838	0.7878052	0.2448834	1.935353
ENSANAG00000022740	0	2.379491	14.15811	4.316428
ENSANAG00000022741	0	0.5794418	0.6777491	0
ENSANAG00000022742	2.24216	3.633254	1.675956	2.804189
ENSANAG00000022743	0.6051586	0.4870984	0.4538494	0.8296799
ENSANAG00000022744	1.911066	1.643778	1.697267	2.205289
ENSANAG00000022745	0.4722164	0.444419	0.6702802	0.7778569
ENSANAG00000022746	1.951252	0.6607744	0.5044567	0.3233067
ENSANAG00000022747	2.105703	2.47566	2.07724	2.808075
ENSANAG00000022749	2.178339	4.841626	3.770607	4.1152
ENSANAG00000022750	3.696929	5.957539	4.755822	5.139512
ENSANAG00000022752	5.39694	5.102965	4.764872	5.803261
ENSANAG00000022753	4.177049	3.17604	1.077722	3.931172
ENSANAG00000022754	0.07109072	0	0	0
ENSANAG00000022755	3.338981	3.135976	1.792109	2.487137
ENSANAG00000022756	5.570244	4.441643	2.62419	2.770501
ENSANAG00000022757	5.812473	6.566193	6.149404	7.49971
ENSANAG00000022758	2.275844	0.05801704	0.02377105	0.03192827
ENSANAG00000022759	9.179808	10.10193	10.07818	10.13113
ENSANAG00000022760	2.853749	3.356857	2.828894	4.523333
ENSANAG00000022761	0.4872801	0.8525239	0.1833658	0.7092077
ENSANAG00000022762	5.729281	2.953641	2.939469	2.84855
ENSANAG00000022763	1.428083	4.233581	1.495322	2.811985
ENSANAG00000022764	0	0.8098589	0	0
ENSANAG00000022765	3.818647	3.928733	2.95559	4.154778
ENSANAG00000022766	0	2.377704	2.775283	0.7261912
ENSANAG00000022767	3.571714	4.461252	4.454324	4.077886
ENSANAG00000022768	0.4282185	1.555674	0.3047657	0.5624031
ENSANAG00000022769	0	0.7977136	0.4206139	0.03383668
ENSANAG00000022771	1.733752	0.1080714	0.2531446	0.9513588
ENSANAG00000022772	1.34083	6.037165	0.5619292	0.6220607
ENSANAG00000022773	0.1480111	0.5675693	0.1105352	0.2865382
ENSANAG00000022774	0.4198991	0	0	0.3914246
ENSANAG00000022775	4.957325	4.343379	4.690669	4.89948
ENSANAG00000022776	0.9421699	2.1794	1.860852	3.007423
ENSANAG00000022778	1.670029	4.383898	0	2.625993
ENSANAG00000022779	3.900896	4.344672	4.116564	4.235395
ENSANAG00000022780	0.6114557	0.9798746	0.4520981	1.87169
ENSANAG00000022781	3.578208	3.094292	2.769883	4.044188
ENSANAG00000022782	3.467296	4.10004	3.39662	4.423322
ENSANAG00000022783	0.09851105	0.5107756	0.06986588	1.726308
ENSANAG00000022784	4.839703	5.51143	7.401776	5.666004
ENSANAG00000022785	8.661237	7.576062	7.137914	8.108739
ENSANAG00000022786	0.3384199	0	0	0.6385771
ENSANAG00000022787	3.354832	3.039696	4.239108	3.3561
ENSANAG00000022788	6.541905	5.551824	4.576063	4.309757
ENSANAG00000022789	2.285094	1.140321	0	1.148765
ENSANAG00000022790	1.57759	2.862511	2.620873	3.214678
ENSANAG00000022791	1.708655	2.567874	1.949834	2.439679
ENSANAG00000022792	4.137851	4.78932	4.047214	4.620044
ENSANAG00000022793	10.30809	9.499284	8.972222	9.420341
ENSANAG00000022794	0.03561392	1.129837	0.04415963	0.6368654
ENSANAG00000022795	8.115718	5.773806	5.106732	7.169725
ENSANAG00000022796	5.977255	5.866553	6.385372	6.834349
ENSANAG00000022797	0.1110922	0	0.07402487	0.09712505
ENSANAG00000022798	0.5194664	1.044128	0	0.07112052
ENSANAG00000022799	1.179269	1.566338	0.8319883	1.026276
ENSANAG00000022800	3.358561	4.126725	3.746614	4.9123
ENSANAG00000022801	5.448382	5.325944	4.256974	5.621413
ENSANAG00000022802	3.497196	4.290868	4.134651	4.9057
ENSANAG00000022803	3.128543	4.948507	1.609875	4.005174
ENSANAG00000022804	0.6082122	0.1502542	0	0
ENSANAG00000022805	0.9264716	2.585244	1.59641	3.578758
ENSANAG00000022806	3.477079	4.062649	2.527799	4.09924
ENSANAG00000022809	6.144014	5.494123	4.628286	6.478082
ENSANAG00000022810	2.667399	3.411997	2.624838	3.470869
ENSANAG00000022811	1.712607	0.4378807	0.4047299	0.8101387
ENSANAG00000022813	4.348962	4.628162	3.93762	4.969699
ENSANAG00000022814	3.943787	4.171337	4.809963	3.270823
ENSANAG00000022816	3.591809	3.809037	3.114432	4.802404
ENSANAG00000022817	2.693696	3.28432	2.976227	3.476238
ENSANAG00000022818	9.196166	7.40241	7.625848	7.527009
ENSANAG00000022819	4.402593	5.225808	4.135264	5.129927
ENSANAG00000022820	2.046853	2.303401	0.404405	3.836491
ENSANAG00000022821	0	0.08646517	0.5158749	0.3400797
ENSANAG00000022822	5.570029	4.964492	5.141582	6.900622
ENSANAG00000022823	0	0.08163005	0.2907476	0.2718129
ENSANAG00000022824	0.8558885	2.46206	1.054932	2.552045
ENSANAG00000022825	6.797636	4.009446	4.85712	5.016871
ENSANAG00000022826	0.02919079	0	0.03030048	0.1719395
ENSANAG00000022827	3.49752	5.081647	3.507625	4.603334
ENSANAG00000022828	0.2995459	0	0.1498785	0.2753456
ENSANAG00000022830	3.784544	0.3026595	0.7423538	0.6025633
ENSANAG00000022831	3.328271	3.359666	3.128788	4.297662
ENSANAG00000022832	0	0	0	0.7888753
ENSANAG00000022833	3.950599	4.191247	2.237634	2.777857
ENSANAG00000022834	0.6012315	10.74651	10.60899	1.956086
ENSANAG00000022835	2.702609	1.015134	0	0.08750018
ENSANAG00000022836	3.821169	5.389949	6.676803	8.659818
ENSANAG00000022837	3.557055	3.989571	3.443955	4.489406
ENSANAG00000022838	4.875426	4.561577	3.9592	4.293025
ENSANAG00000022839	8.058762	7.364251	7.032776	8.076567
ENSANAG00000022840	4.7009	3.191973	3.153063	4.754358
ENSANAG00000022841	0.9412551	0	0	0
ENSANAG00000022842	1.71977	1.477989	1.137712	2.141056
ENSANAG00000022843	0.7947777	0.1659762	5.160214	9.027195
ENSANAG00000022844	1.323203	0.8603518	0.5879266	1.897542
ENSANAG00000022846	2.762241	4.08329	6.654906	1.794478
ENSANAG00000022847	2.208705	0.5705387	0.3636264	0.8936278
ENSANAG00000022848	2.409244	5.570642	6.200287	5.072063
ENSANAG00000022849	3.892129	3.561978	3.494793	4.969773
ENSANAG00000022850	0	3.667824	0	0.768767
ENSANAG00000022851	2.886421	1.903524	0.1733283	1.18449
ENSANAG00000022852	1.022041	2.1048	0.08936187	1.544352
ENSANAG00000022853	5.623343	4.898537	4.945683	6.372087
ENSANAG00000022854	7.115252	5.297969	6.116015	5.712942
ENSANAG00000022855	4.867694	5.497743	5.338011	5.315635
ENSANAG00000022856	2.387539	2.352558	0.376906	3.558684
ENSANAG00000022857	0	0.2573209	0	0.2784356
ENSANAG00000022858	0.5175448	0.09718561	0	0.459503
ENSANAG00000022859	2.781519	4.030992	3.429094	4.141802
ENSANAG00000022860	0	0.04403804	9.008574	0.4591357
ENSANAG00000022861	0	2.010325	3.992587	0.7311963
ENSANAG00000022862	3.912889	2.929687	2.806147	3.209223
ENSANAG00000022863	1.59611	1.853852	0.9220144	4.221739
ENSANAG00000022864	2.085078	2.295247	4.962602	4.714083
ENSANAG00000022865	3.485878	2.49482	0.854085	2.964395
ENSANAG00000022866	1.599465	3.800641	1.449329	2.042882
ENSANAG00000022868	2.136002	2.215274	0.7742199	1.709258
ENSANAG00000022869	0.5659364	0.7241875	0.8233295	1.015973
ENSANAG00000022870	4.852079	4.520517	4.099371	5.271336
ENSANAG00000022871	1.343135	3.701294	2.349074	3.881253
ENSANAG00000022872	5.436801	4.385725	3.562908	5.307487
ENSANAG00000022873	3.487293	4.543038	5.514091	1.882886
ENSANAG00000022874	2.047435	6.717133	4.64348	1.021237
ENSANAG00000022875	0.1060313	0.1837148	3.084418	0.04938528
ENSANAG00000022876	0.1543564	1.656638	0.1497835	0.5089296
ENSANAG00000022878	2.099286	1.761592	1.331327	2.727607
ENSANAG00000022879	4.704955	5.122743	4.207018	5.663097
ENSANAG00000022880	3.264988	2.863292	4.26807	5.572399
ENSANAG00000022881	3.618027	3.967289	3.445884	4.742168
ENSANAG00000022882	3.493809	4.003495	3.273223	4.264509
ENSANAG00000022883	4.154547	5.233329	4.238416	4.256962
ENSANAG00000022884	4.897206	4.74117	5.497649	5.075982
ENSANAG00000022885	1.321906	2.917006	1.683664	1.267612
ENSANAG00000022886	2.432903	2.437212	1.803252	3.552992
ENSANAG00000022887	4.115508	3.587293	3.843559	4.037879
ENSANAG00000022888	2.852071	2.97361	1.897095	3.061317
ENSANAG00000022890	0.2571313	0.3657295	0.2470001	0.7257368
ENSANAG00000022891	0.1388669	0.4551223	0.4303741	0.8098663
ENSANAG00000022892	2.628949	3.951923	3.57889	4.516387
ENSANAG00000022893	3.863069	3.446031	2.540079	3.418695
ENSANAG00000022894	2.690562	4.445366	3.861183	5.180803
ENSANAG00000022895	3.461881	2.241954	2.106333	3.301413
ENSANAG00000022896	5.201155	5.139359	4.465729	6.208671
ENSANAG00000022897	8.293335	7.88988	7.052918	6.44366
ENSANAG00000022898	8.507303	9.773876	8.56551	9.805989
ENSANAG00000022899	1.987033	2.769865	0.7116922	1.772688
ENSANAG00000022900	0	0.05275239	0.1271182	0.1153088
ENSANAG00000022901	0.2182455	0.07548307	0.05952404	0.3773215
ENSANAG00000022902	5.643469	4.785938	3.40958	3.586993
ENSANAG00000022903	0.9031424	2.268922	2.029734	1.78222
ENSANAG00000022904	0.7956065	1.139614	0.6476626	1.585222
ENSANAG00000022905	4.036316	5.257311	5.928288	5.467151
ENSANAG00000022906	3.483589	4.397609	3.527249	4.62323
ENSANAG00000022908	5.351699	0.8067662	0.2862396	1.245544
ENSANAG00000022909	4.584956	4.772831	0.4424191	1.424798
ENSANAG00000022910	0.05461735	0	0	0.3595302
ENSANAG00000022911	4.396763	5.357052	4.785718	6.021413
ENSANAG00000022912	0.5323958	1.579011	1.042623	1.414834
ENSANAG00000022913	4.205135	5.255353	3.814817	5.856437
ENSANAG00000022914	3.515824	3.497681	2.865402	4.152289
ENSANAG00000022915	5.096511	4.634059	4.348749	6.056007
ENSANAG00000022916	3.20616	5.802291	5.110326	5.736562
ENSANAG00000022917	2.01769	3.274995	2.949658	3.540672
ENSANAG00000022918	2.402109	2.87443	2.218189	2.758909
ENSANAG00000022919	3.476174	4.093763	3.895235	3.731183
ENSANAG00000022920	5.864912	6.337442	3.728835	6.050156
ENSANAG00000022921	5.595612	5.808504	5.532571	5.686065
ENSANAG00000022922	0.9759896	0.7219247	0.4911512	1.45116
ENSANAG00000022923	1.254962	2.398011	1.281627	1.891051
ENSANAG00000022924	0.7641712	0	1.04728	1.204235
ENSANAG00000022925	0.05921446	0	0	0.1455183
ENSANAG00000022926	0.5662969	0.4744797	0.1458144	0.6659566
ENSANAG00000022927	2.064086	2.537045	2.246901	2.365491
ENSANAG00000022928	5.201144	6.061286	5.262136	6.256237
ENSANAG00000022929	4.685488	3.603165	3.010008	3.824365
ENSANAG00000022930	0	0.1633506	0.1289921	0.1214359
ENSANAG00000022931	3.576098	3.540836	2.18631	3.139103
ENSANAG00000022933	0.4172028	2.21015	0.9133846	0.5848894
ENSANAG00000022934	4.706149	4.669015	3.553274	5.24615
ENSANAG00000022935	6.984965	6.490974	6.028989	7.378
ENSANAG00000022936	5.8484	5.931756	5.4475	6.454837
ENSANAG00000022937	0.09028179	0	0.0583758	0
ENSANAG00000022938	4.415467	6.401205	4.789661	3.643387
ENSANAG00000022940	1.062567	6.09874	1.412009	4.286619
ENSANAG00000022941	2.062199	2.580934	1.086206	2.474213
ENSANAG00000022942	7.965002	7.711536	7.130852	8.409231
ENSANAG00000022943	3.46197	3.212613	2.56654	3.620979
ENSANAG00000022944	0.670459	1.885189	0.1366878	0.7617831
ENSANAG00000022945	3.518763	4.057453	1.271398	4.097554
ENSANAG00000022946	0.353688	0.302801	0.5518241	0.1743655
ENSANAG00000022947	5.209984	4.835186	4.397488	5.923805
ENSANAG00000022948	1.84205	2.20569	0.4033364	1.903304
ENSANAG00000022949	0.581412	1.246408	0.814082	1.004825
ENSANAG00000022950	0.3417399	0.4456949	0.228522	1.028817
ENSANAG00000022951	7.734837	7.819374	7.167094	8.694509
ENSANAG00000022952	0.08062588	3.61731	1.431676	0.431087
ENSANAG00000022953	2.149319	0.4758595	0	1.156876
ENSANAG00000022954	0	0	0.9572029	0.2840379
ENSANAG00000022955	9.112973	9.885305	9.049993	10.47482
ENSANAG00000022956	0.2750237	0	0	0.523584
ENSANAG00000022957	0.1945019	0.148571	0.0390776	0.2688164
ENSANAG00000022958	3.392074	0.9352146	0.7477861	1.863847
ENSANAG00000022959	4.645153	4.205192	4.13429	5.153551
ENSANAG00000022960	0.5945849	0.8183941	0.8003404	1.201533
ENSANAG00000022962	5.677982	6.31876	9.681435	7.328424
ENSANAG00000022963	1.097537	2.151294	1.720475	1.934267
ENSANAG00000022964	3.745904	2.445528	1.182533	0.3306284
ENSANAG00000022965	4.528759	4.156212	2.761204	4.339353
ENSANAG00000022966	3.563085	3.902646	4.519304	3.522199
ENSANAG00000022967	4.581109	1.265035	0.7661516	1.631308
ENSANAG00000022968	10.80855	9.487997	8.165116	9.494238
ENSANAG00000022970	4.926275	7.244035	7.023193	5.789077
ENSANAG00000022971	1.80151	1.952855	1.820682	2.055645
ENSANAG00000022973	2.509007	3.153361	2.000249	3.655022
ENSANAG00000022974	5.305971	4.456412	4.028145	4.671786
ENSANAG00000022975	0	0.9083941	0	0.9044116
ENSANAG00000022976	1.873483	0	1.015448	1.165513
ENSANAG00000022977	0.9416795	0	0.5524577	0.8851643
ENSANAG00000022978	5.742615	6.376247	6.487454	5.502076
ENSANAG00000022979	5.139612	5.256167	5.956514	5.513243
ENSANAG00000022980	2.270296	1.514647	0.4178595	2.188629
ENSANAG00000022982	6.072867	6.178157	5.779536	6.682208
ENSANAG00000022983	0	0	0	0.443212
ENSANAG00000022984	6.729689	7.337558	7.30879	6.266475
ENSANAG00000022985	3.559269	3.846383	3.993187	3.948275
ENSANAG00000022986	3.073974	3.569775	2.607924	4.655399
ENSANAG00000022987	4.279293	3.841691	3.552094	4.169997
ENSANAG00000022989	0.459014	0.4283536	0.8879775	1.249245
ENSANAG00000022990	1.466303	3.614097	1.321253	1.252712
ENSANAG00000022991	0	0	0.08147435	0.06480078
ENSANAG00000022992	5.085858	5.1126	2.71771	4.418707
ENSANAG00000022993	3.062186	2.078562	1.675671	3.253068
ENSANAG00000022994	0.2420708	0	0	0
ENSANAG00000022995	5.846077	6.356258	5.452709	7.585669
ENSANAG00000022996	5.618603	5.278156	4.7731	5.807151
ENSANAG00000022997	0	0.245503	1.988797	0.6213791
ENSANAG00000022998	8.027541	8.283299	7.249767	8.480583
ENSANAG00000022999	0.9895489	2.744556	0.967356	2.317213
ENSANAG00000023000	0.9104426	2.359594	1.270873	2.15685
ENSANAG00000023002	5.389471	5.847744	5.00424	6.502546
ENSANAG00000023003	1.034068	1.703628	0.03502841	0.660444
ENSANAG00000023004	0.3221782	6.362084	0.5564055	0.4064679
ENSANAG00000023005	2.976879	2.989215	2.225531	2.907329
ENSANAG00000023006	1.616598	5.239562	2.130246	3.289588
ENSANAG00000023007	3.340944	4.437428	3.02552	4.660732
