brain	kidney	liver	testis
ENSECAG00000000001	3.94612015232476	4.12736348949375	3.35725375879567	3.80537059009644
ENSECAG00000000002	5.84768330836376	5.71481650490894	4.69328469721671	4.64636095537911
ENSECAG00000000003	5.98531912673638	5.54161065119246	5.3530705775516	3.55912361205901
ENSECAG00000000004	5.00148302664103	5.00597797607922	4.48939028041987	3.81139523544413
ENSECAG00000000005	-0.0145058888965901	3.51538705038651	3.34834556517334	0.0902684222227241
ENSECAG00000000006	5.84250754179975	0.191347751904267	0.119775352156886	2.49826747484341
ENSECAG00000000007	5.52035740671481	5.92919729608085	4.73483285723394	5.1107933453252
ENSECAG00000000008	10.423918083631	10.8134782311891	11.0238426689588	10.3422002264589
ENSECAG00000000009	2.75192067295734	2.63112320887266	1.04445840151242	3.42986270458602
ENSECAG00000000010	5.3422343060593	5.09163908805663	5.8921616640142	2.66373482633379
ENSECAG00000000011	3.60103343394517	3.65515468215243	2.63318874711522	0.955720548861344
ENSECAG00000000012	1.76778226780276	3.29636367375957	1.56302044463209	3.5212652218439
ENSECAG00000000013	2.00438049673395	1.26456351196064	0.000329812547926087	1.43298844660128
ENSECAG00000000014	5.42292504106121	6.20592949449387	2.02034418397464	4.62703477649441
ENSECAG00000000015	4.81741126483236	3.81978894753625	3.32928499350617	3.09865252944161
ENSECAG00000000016	4.48792797294838	4.51547885297933	3.28623228942278	4.85144812537939
ENSECAG00000000017	5.61321741693069	3.79658186117877	1.98243924800142	5.35820696771961
ENSECAG00000000018	3.50105265978347	4.80020602316988	3.00581250602707	4.47150761856844
ENSECAG00000000019	5.76874575649993	6.7725329729321	5.61166489545211	6.5104555763695
ENSECAG00000000020	3.44793550665302	3.75219211004567	2.70362269755891	4.90583611277605
ENSECAG00000000021	3.29965330747879	2.34056227900517	2.04425444970196	0.639708239784209
ENSECAG00000000022	4.66326586172239	3.06161430609713	1.78658525533072	2.62838771845433
ENSECAG00000000023	6.42675332396283	5.71735024487224	4.64053499919449	3.97999732397483
ENSECAG00000000024	0.499600145753515	2.84620747489906	0.0805383222609683	0.0442388334025789
ENSECAG00000000025	3.4326964763954	1.83045770899373	0.657486905406321	0.490786640801809
ENSECAG00000000026	1.29303039326053	2.41090705393183	2.23347756249755	0.848409612838162
ENSECAG00000000027	0.169638387435778	0.138175280513052	0.0925532496662525	0.0318162269181059
ENSECAG00000000028	0.528440497948023	-0.0204173729772577	0.71172131747913	0.136671054119667
ENSECAG00000000029	5.16463469177154	5.34182617965807	5.00084353971585	4.69896789166704
ENSECAG00000000030	4.96883161956052	4.3897061914583	3.87685110315631	5.51833317540703
ENSECAG00000000031	6.97171457711492	3.75344726033988	2.87825405067437	1.54973278254548
ENSECAG00000000032	0.846970196909756	1.08152794685088	0.830246561804102	0.0549156160431099
ENSECAG00000000033	1.83836393589969	0.89089293957872	0.72518241038586	0.723347415661377
ENSECAG00000000034	4.44883655780268	0.155890465151426	0.0105506772518763	1.24058025143695
ENSECAG00000000035	4.77370357978836	4.54119776499348	3.82264726928308	2.29922314751872
ENSECAG00000000036	6.74804553934483	7.01403354682465	4.41731898758381	4.46290006361699
ENSECAG00000000037	7.06806085425087	8.14024727885875	7.07068244882641	6.22664642168856
ENSECAG00000000039	0.0831855693837696	0.123431265401115	4.5668871337343	0.123329282765245
ENSECAG00000000040	1.716406494942	1.31271580888256	0.417093868550147	0.603297955563577
ENSECAG00000000041	1.12219088272543	1.77535880126814	2.05790745491933	4.92963509319735
ENSECAG00000000042	5.91925985716009	5.87200320578115	5.04467805289624	4.86501750192953
ENSECAG00000000043	0.857365530264382	1.57566170843436	0.000386557534118831	0.0555249043131583
ENSECAG00000000044	0.32628405303424	0.218661635042855	0.0868181641552708	0.316258539267428
ENSECAG00000000045	0.263868241659038	0.0933270201780244	0.0954903212510117	0.552492000478963
ENSECAG00000000046	4.66825930490151	3.35268286814115	1.30466823571093	0.79189095572815
ENSECAG00000000047	6.02803260500469	7.36058009267044	6.27521293388954	6.76238214206214
ENSECAG00000000048	5.22226016790883	4.68973568197868	3.80038017986258	6.96880361573171
ENSECAG00000000049	0.51537179707539	0.566105837193509	0.0829121876447604	0.0228728062668823
ENSECAG00000000050	6.20589045880078	4.34323149003281	4.46636556034878	1.97141138625074
ENSECAG00000000051	1.83429492730243	0.757586214781077	1.26349729863591	0.186178669028834
ENSECAG00000000052	0.142327793746735	1.00425896998418	0.110166824092271	0.0810568860554337
ENSECAG00000000053	5.43269767195839	5.31466412252541	4.45641335006082	5.73900384766491
ENSECAG00000000054	1.30395690953515	1.81325603517594	0.876555829731936	0.232856497241215
ENSECAG00000000055	0.591670241883966	0.304690972095217	0.207484979098699	0.0634385525300636
ENSECAG00000000056	3.61375321194862	0.0173883590974569	0.000158599379412157	0.0198914961344323
ENSECAG00000000057	3.66582038974366	4.34993894789026	3.33294248817333	3.66495498246439
ENSECAG00000000058	2.53033885893622	-0.0546351979130638	0.282942510430199	0.766665348915229
ENSECAG00000000059	3.64704495994382	1.16473310475119	1.21937480464224	0.130080030386413
ENSECAG00000000060	5.43075903927315	4.79991173008483	4.04928474642195	6.75523969838668
ENSECAG00000000061	0.648068567063622	0.806007922415024	1.59759026782322	0.138318559031606
ENSECAG00000000063	0.157014856647667	0.274620128258458	0.300029966735604	4.3257218603445
ENSECAG00000000064	6.43268427116031	6.33040080877443	5.21074088719861	7.13099467395205
ENSECAG00000000065	3.56036668944222	-0.0277177119056754	-0.00187593662122443	0.350730633339253
ENSECAG00000000066	7.67560875030024	7.06964839800011	6.77673440300202	6.98084961927863
ENSECAG00000000067	2.29691566472248	0.000183896817829067	1.24461491001191e-05	-0.00017447166914917
ENSECAG00000000068	-0.000186551951256661	0.027437377820314	0.0324203068883251	0.000229753955319225
ENSECAG00000000069	-0.0118422382400133	-0.0153725634032333	-0.00104041613349459	0.097734903018042
ENSECAG00000000070	0.409724547139541	0.129334196828902	0.181640044185899	0.0500329605353029
ENSECAG00000000072	6.79237824802537	0.568135674846165	0.0393175553032398	2.45458788870021
ENSECAG00000000073	-0.128315438534344	-0.166567938805517	-0.0112733293927901	6.28237333633272
ENSECAG00000000074	3.74827149048813	4.78606030397458	2.56926372872414	1.94573598418552
ENSECAG00000000075	0.323924546470854	-0.000794839170860824	-5.37947689793317e-05	0.000754101775562702
ENSECAG00000000076	4.11707225805212	0.0582278426325191	0.0039408643376104	4.89263387259707
ENSECAG00000000077	4.14925104596609	3.03633296263445	2.28060844771961	4.01931653540113
ENSECAG00000000078	5.88216401335929	5.01443828301425	4.42386766575381	5.10246402539545
ENSECAG00000000079	2.14599005923214	0.989133464057655	1.84343718960084	0.292753244112042
ENSECAG00000000080	3.69377988907758	5.00985447209842	3.75884014704394	2.21435147288355
ENSECAG00000000081	1.23798633805753	6.39909787331347	0.711490204045065	1.36722485836187
ENSECAG00000000083	0.201227825899602	-0.000493768564422632	-3.34182899209717e-05	0.000468461752765519
ENSECAG00000000084	4.9048083986934	5.04554605342529	4.35750557078829	5.53833626599449
ENSECAG00000000085	4.15686660653399	5.933149591453	5.07530609097332	4.92546694793062
ENSECAG00000000086	0.240772738102961	0.000230204896770342	0.0367770469496895	-0.000218406349060192
ENSECAG00000000087	3.05318654335588	0.0297799060535772	-0.000116537673449724	0.00843575362957342
ENSECAG00000000088	0.0973278509211325	0.126342548499841	0.00855087224934844	4.23948780718203
ENSECAG00000000089	0.199846898032968	0.140011408586672	-0.000295623699031142	0.0269913498542282
ENSECAG00000000090	1.22420625541059	2.26793571649937	1.28458298680957	0.822756955850399
ENSECAG00000000091	3.9365337396755	7.5274208942536	6.10023737284585	2.20514154387013
ENSECAG00000000092	0.0702665592618406	0.00423192530712722	0.14325031699174	0.0898948309159437
ENSECAG00000000093	-0.0519674594636624	2.84516016531618	0.0232995206837127	3.02216836818553
ENSECAG00000000094	0.0640851064733979	-0.0260877142093809	-0.00176561826661435	1.48210205689624
ENSECAG00000000095	7.97010428761416	6.67585671041756	8.59820838014342	5.57837123061775
ENSECAG00000000096	5.08225013904236	3.46853418188678	3.26072646743436	2.09342735479037
ENSECAG00000000097	1.74887896731335	6.94269009701748	5.09504791068515	0.60123184845308
ENSECAG00000000098	0.817924171619761	0.649636909694807	0.859199376473449	0.150437939651143
ENSECAG00000000099	9.53983812747332	6.50397330905346	0.957010907323078	4.44468779918475
ENSECAG00000000100	0.952461047054272	0.662914092812192	1.20527081967746	0.3488564536845
ENSECAG00000000101	3.39623943017502	3.33932961045941	2.97770229010568	4.19367068759094
ENSECAG00000000102	5.7932722411716	5.50211441447251	4.99981673644276	5.5674424129822
ENSECAG00000000103	6.26400462259327	5.91674370829575	4.13439609379185	8.49292266971013
