heart	kidney	liver
ENSDNOG00000000319	4.199421	6.228147	4.723378
ENSDNOG00000000320	0.9986606	2.727947	1.785676
ENSDNOG00000000321	0.3149563	4.920851	4.559535
ENSDNOG00000000330	1.036264	1.583726	4.439962
ENSDNOG00000000332	3.121161	3.953032	4.940529
ENSDNOG00000000334	1.152956	0	1.06953
ENSDNOG00000000335	1.015362	0.4174848	1.083002
ENSDNOG00000000337	0.5023703	1.788828	2.208683
ENSDNOG00000000340	0.9613892	2.60617	1.849654
ENSDNOG00000000342	0.659794	1.643242	1.553365
ENSDNOG00000000343	1.676053	2.294006	1.815253
ENSDNOG00000000347	3.747484	7.89543	7.825639
ENSDNOG00000000361	0.2315263	1.760991	0.8018225
ENSDNOG00000000365	0.09931352	0.345754	0.2631029
ENSDNOG00000000366	0.6553143	2.308792	1.637814
ENSDNOG00000000367	0	0.04031538	0
ENSDNOG00000000368	0.5708932	2.146665	0.7542983
ENSDNOG00000000369	2.333258	2.932033	3.621313
ENSDNOG00000000370	1.837067	2.148479	3.407792
ENSDNOG00000000371	0.4820211	1.418438	0.8276061
ENSDNOG00000000373	1.067852	3.921579	3.953442
ENSDNOG00000000374	0	3.776851	3.743493
ENSDNOG00000000375	0.2811059	7.206712	4.362
ENSDNOG00000000376	0.1463672	1.017872	0.7544985
ENSDNOG00000000377	2.382894	1.931036	1.808595
ENSDNOG00000000381	6.079306	9.591173	7.745863
ENSDNOG00000000382	1.23298	2.212837	1.894449
ENSDNOG00000000388	1.072449	3.75971	2.81149
ENSDNOG00000000391	1.41328	1.551329	0.4295592
ENSDNOG00000000393	1.042959	1.590703	1.752457
ENSDNOG00000000394	0.7790193	0.1586679	0.7366655
ENSDNOG00000000395	0.3550185	3.693297	6.628116
ENSDNOG00000000396	1.269099	1.373164	0.7903308
ENSDNOG00000000399	1.254905	5.308017	2.550219
ENSDNOG00000000404	0.2606534	0.6908846	2.467418
ENSDNOG00000000413	0	0.8132168	6.3738
ENSDNOG00000000415	3.313625	5.495874	5.110205
ENSDNOG00000000417	0.3616246	0.556809	1.137176
ENSDNOG00000000419	0.573199	1.038478	1.017993
ENSDNOG00000000420	0.6652618	1.968699	1.188882
ENSDNOG00000000421	5.235539	6.006365	7.055315
ENSDNOG00000000424	0.3990387	1.35255	0.6650671
ENSDNOG00000000425	0	0.1867439	0.197888
ENSDNOG00000000426	2.236673	2.799415	2.836245
ENSDNOG00000000427	1.718921	3.576546	4.118534
ENSDNOG00000000428	0.8713682	2.178253	2.233922
ENSDNOG00000000432	0	0.6265849	0.51895
ENSDNOG00000000434	1.76483	2.701432	2.26496
ENSDNOG00000000439	2.581872	3.94468	5.932798
ENSDNOG00000000440	0.3140329	1.561961	1.306636
