heart	kidney	liver
ENSDNOG00000015985	0.04363861	0	0
ENSDNOG00000015986	0	2.24701	3.484009
ENSDNOG00000015987	0.3107566	0.9632832	0.6927968
ENSDNOG00000015988	0	0.3169011	0.08705897
ENSDNOG00000015992	1.726831	1.183899	1.673981
ENSDNOG00000015993	0.9934222	1.534853	1.830994
ENSDNOG00000015995	0	3.273023	3.175213
ENSDNOG00000015996	0	0.1015293	0
ENSDNOG00000015998	1.828213	3.053714	3.689591
ENSDNOG00000015999	0.3014238	0	0.2001528
ENSDNOG00000016006	0.1539013	0.845311	0
ENSDNOG00000016009	1.77695	3.689243	4.326171
ENSDNOG00000016011	1.210607	1.791001	1.759492
ENSDNOG00000016016	0.02040093	0.2579532	0.2322002
ENSDNOG00000016017	4.99193	5.669877	6.126161
ENSDNOG00000016020	0.1708711	0	2.514332
ENSDNOG00000016023	0	0.05874415	0.09726168
ENSDNOG00000016024	0.06501498	0.1035877	0.1623119
ENSDNOG00000016032	2.665011	3.905197	3.513491
ENSDNOG00000016034	0.2805395	1.596076	1.091253
ENSDNOG00000016035	0.04284308	0.1921386	0.371783
ENSDNOG00000016036	0	0	0.1876841
ENSDNOG00000016038	0.2069195	0.7266429	0.3414063
ENSDNOG00000016039	0	0.2704488	0.1444119
ENSDNOG00000016045	0.7378996	1.89236	2.006844
ENSDNOG00000016052	0.2072282	0.1561714	0.126526
ENSDNOG00000016054	0.1665985	0.3556647	0
ENSDNOG00000016056	1.316331	2.668539	2.415859
ENSDNOG00000016057	10.42111	9.69639	9.236447
ENSDNOG00000016060	0	0	2.097081
ENSDNOG00000016062	4.000775	5.411287	5.661054
ENSDNOG00000016063	0	0.1861798	0.1427833
ENSDNOG00000016067	1.461874	2.965136	3.845099
ENSDNOG00000016069	0	0.04827581	0.03544078
ENSDNOG00000016072	0	0.1335113	0
ENSDNOG00000016074	0.1389599	0.9381043	2.015729
ENSDNOG00000016075	4.490198	6.376777	6.636107
ENSDNOG00000016077	0.191838	0.2192968	4.319943
ENSDNOG00000016079	3.304437	4.030963	2.41531
ENSDNOG00000016081	4.465152	5.775388	5.477596
ENSDNOG00000016083	0.2115966	0	1.906194
ENSDNOG00000016087	8.571813	10.609	10.1974
ENSDNOG00000016100	0.9596271	1.609626	1.909724
ENSDNOG00000016103	0.2693037	3.761328	3.035914
ENSDNOG00000016105	0.0743217	1.025171	0.180158
ENSDNOG00000016109	0.04619222	0.6027828	0.4264848
ENSDNOG00000016110	1.877864	2.734642	2.683167
ENSDNOG00000016111	0.656554	2.375312	2.079692
ENSDNOG00000016114	0.5704561	1.526515	1.152015
ENSDNOG00000016115	0.839005	5.311234	5.75666
ENSDNOG00000016117	0.8639448	2.944791	1.028159
ENSDNOG00000016118	1.052715	1.774751	2.505192
ENSDNOG00000016121	2.505294	4.283514	2.977439
ENSDNOG00000016122	0.8092671	1.839206	1.701123
ENSDNOG00000016124	0.7958085	2.857384	1.898947
ENSDNOG00000016125	0.9818278	0.7010398	0
ENSDNOG00000016129	1.582108	2.567665	2.641789
ENSDNOG00000016138	3.191076	4.134205	3.592469
ENSDNOG00000016140	4.850654	5.267603	3.405943
ENSDNOG00000016143	0.1632475	0.9365758	0.8108058
ENSDNOG00000016145	0.1249898	0.2057866	0.1857765
ENSDNOG00000016149	1.355546	3.062503	3.194762
ENSDNOG00000016150	0.1203442	0.2586371	0.08931482
ENSDNOG00000016154	2.453731	5.813207	7.128224
ENSDNOG00000016155	0.05702487	0.4622314	0
ENSDNOG00000016158	0.3587766	0.06534124	0.0587706
ENSDNOG00000016159	0.817462	2.242313	3.418328
ENSDNOG00000016160	3.429191	5.573011	5.062489
ENSDNOG00000016166	1.001991	0.7819883	8.381292
ENSDNOG00000016167	1.257608	2.138333	1.293011
ENSDNOG00000016168	0	0	1.103813
ENSDNOG00000016169	2.620694	5.287731	5.684089
ENSDNOG00000016171	4.241032	0	0
ENSDNOG00000016172	0.07647673	0	0.1505272
ENSDNOG00000016176	2.621845	4.901272	4.445958
ENSDNOG00000016183	1.916874	3.523876	2.118336
ENSDNOG00000016184	1.511766	2.617129	1.149858
ENSDNOG00000016194	0.8994564	2.754885	3.205228
ENSDNOG00000016195	0	0	0.3181201
ENSDNOG00000016197	0.1073456	0.2256217	0.1750174
ENSDNOG00000016198	0	0	0.7174885
ENSDNOG00000016199	2.132866	3.041798	2.248128
ENSDNOG00000016208	0.08267834	0.8093897	0.7515057
ENSDNOG00000016209	0	0.4372075	0.03107514
ENSDNOG00000016210	4.581399	5.961707	5.617225
ENSDNOG00000016211	0.5323459	0.4872332	0.5306741
ENSDNOG00000016212	1.55911	0	3.996895
ENSDNOG00000016213	3.110432	0.8476899	1.415369
ENSDNOG00000016216	2.33149	3.615687	3.35249
ENSDNOG00000016218	1.07582	2.535613	1.89555
ENSDNOG00000016220	0.06780019	1.917798	0.1730571
ENSDNOG00000016221	0.9710811	9.122095	8.426525
ENSDNOG00000016224	0.2350898	0.2412825	0.09504402
ENSDNOG00000016225	2.735585	4.050182	4.200295
ENSDNOG00000016226	1.056584	2.255186	2.352626
ENSDNOG00000016231	0.2906344	1.010597	0.2500927
ENSDNOG00000016236	0.2805989	2.211725	1.661735
ENSDNOG00000016245	0	5.039147	6.081182
ENSDNOG00000016248	0.3048439	1.731648	1.953664
ENSDNOG00000016254	1.064393	1.722479	2.188325
ENSDNOG00000016255	0.4887566	0.3884045	0.6265887
ENSDNOG00000016256	1.677991	2.427518	1.250107
ENSDNOG00000016261	0.7189451	0.8562933	1.378401
ENSDNOG00000016263	0.03683681	0	0
ENSDNOG00000016264	1.865937	2.924227	2.907103
ENSDNOG00000016265	0	0.1497146	0.1274395
ENSDNOG00000016274	0.7841346	4.463845	3.752631
ENSDNOG00000016275	2.063306	6.358591	2.817263
ENSDNOG00000016276	3.858777	5.2805	4.442486
ENSDNOG00000016277	1.214811	2.785435	2.670924
ENSDNOG00000016279	0.7299817	0.9725633	0.6327996
ENSDNOG00000016284	3.935922	5.787273	5.917888
ENSDNOG00000016285	0.6073526	2.459403	1.376652
ENSDNOG00000016290	1.002652	2.271949	2.258157
ENSDNOG00000016295	0.04432865	0.2520426	0.07480299
ENSDNOG00000016296	0.9784578	2.240577	1.428973
ENSDNOG00000016299	0.8163695	2.217535	1.944941
ENSDNOG00000016300	0.5169319	0.9342817	2.185061
ENSDNOG00000016301	2.824338	5.121343	1.441356
ENSDNOG00000016308	0	1.534555	0
ENSDNOG00000016309	1.631197	3.830691	3.990247
ENSDNOG00000016312	1.057215	2.186729	2.458665
ENSDNOG00000016313	0.2330076	3.026115	0.2614767
ENSDNOG00000016315	0.06622024	1.091253	3.850109
ENSDNOG00000016317	1.252288	3.75634	5.294694
ENSDNOG00000016318	2.686769	2.365306	1.418476
ENSDNOG00000016319	1.461953	2.480578	1.92235
ENSDNOG00000016322	1.310177	2.66309	2.509108
ENSDNOG00000016327	1.258537	5.083992	8.332381
ENSDNOG00000016331	1.905289	3.305018	2.803467
ENSDNOG00000016334	1.203389	2.290448	1.999011
ENSDNOG00000016337	2.259474	2.87669	1.975028
ENSDNOG00000016339	10.32224	5.701682	2.005741
ENSDNOG00000016340	2.426898	2.645914	1.329944
ENSDNOG00000016343	1.80639	3.400121	2.275642
ENSDNOG00000016345	0	0	0.07446351
ENSDNOG00000016352	0.5171698	1.737935	0.8164416
ENSDNOG00000016354	4.532074	7.666323	10.66788
ENSDNOG00000016356	2.394245	3.145004	2.974232
ENSDNOG00000016360	1.824532	3.080915	3.601459
ENSDNOG00000016362	0.1545145	0.1720368	1.850275
ENSDNOG00000016363	2.283201	2.470982	2.006229
ENSDNOG00000016365	1.107079	1.563524	1.065372
ENSDNOG00000016373	0.1667707	2.191499	2.873878
ENSDNOG00000016374	0.3370819	0.4840401	1.201631
ENSDNOG00000016377	0	0.8696756	0.4806581
ENSDNOG00000016378	1.64477	1.982364	3.414747
ENSDNOG00000016380	1.449376	2.180205	3.113137
ENSDNOG00000016383	0.1873839	0.1939849	0.1540245
ENSDNOG00000016384	0	0.484396	0.210733
ENSDNOG00000016385	2.473086	3.33545	3.852009
ENSDNOG00000016387	2.249691	3.22134	4.238764
ENSDNOG00000016388	0	1.731696	0.1462355
ENSDNOG00000016391	1.96509	3.515246	7.247396
ENSDNOG00000016392	4.019738	2.616161	0.6169034
ENSDNOG00000016400	1.910776	3.259973	2.662978
ENSDNOG00000016403	1.83653	2.531357	1.951125
ENSDNOG00000016407	0.04884258	0.4173886	0.2648162
ENSDNOG00000016409	4.103959	6.357015	5.050145
ENSDNOG00000016410	0	0.9251715	2.157991
ENSDNOG00000016412	3.921627	7.194284	7.529103
ENSDNOG00000016413	0.06369179	2.985672	3.681416
ENSDNOG00000016414	0.09427986	1.286769	2.513827
ENSDNOG00000016420	0	0.4906358	0.9428425
ENSDNOG00000016423	0.135424	0	0
ENSDNOG00000016428	0.5017031	0.2675825	2.132593
ENSDNOG00000016430	0.6231768	2.228026	1.755781
ENSDNOG00000016431	1.481087	3.241242	4.085731
ENSDNOG00000016432	1.290749	4.389002	7.205455
ENSDNOG00000016437	0.9710215	2.193945	2.307388
ENSDNOG00000016460	5.816858	5.83971	7.848642
ENSDNOG00000016462	0	0.6511661	0.2037274
ENSDNOG00000016466	1.479153	2.86674	2.630298
ENSDNOG00000016467	0.3361154	1.254806	2.809604
ENSDNOG00000016471	0.5698274	0.6493257	1.303979
ENSDNOG00000016476	0.08720727	0.1539117	0.3737317
ENSDNOG00000016477	2.68618	2.800161	1.521639
ENSDNOG00000016482	0.5074973	2.305559	3.094986
ENSDNOG00000016487	0.7539117	2.029156	1.505256
ENSDNOG00000016488	1.058102	2.308774	2.617522
ENSDNOG00000016489	1.065117	1.928359	1.871382
ENSDNOG00000016498	0.06851205	1.746928	0.7563111
ENSDNOG00000016500	1.192384	0	0
ENSDNOG00000016502	0.1666229	2.708269	1.93641
ENSDNOG00000016503	0.4582402	1.821531	1.74713
ENSDNOG00000016518	0.09771785	0.3195382	3.645739
ENSDNOG00000016532	0.04622729	2.198063	0.2762549
ENSDNOG00000016534	3.359927	4.828469	3.903752
ENSDNOG00000016541	0.2920172	0.215327	0.2951588
ENSDNOG00000016544	0	0.133515	0
ENSDNOG00000016546	0	2.351642	6.160194
ENSDNOG00000016550	1.527306	3.68155	2.679818
ENSDNOG00000016553	1.711394	2.322069	0.9993586
ENSDNOG00000016556	1.378989	0	0
ENSDNOG00000016557	0.07024986	5.01361	0.7200192
ENSDNOG00000016558	1.145743	2.439282	1.815846
ENSDNOG00000016562	0.9357132	3.222485	2.786074
ENSDNOG00000016563	2.206106	3.522872	3.089807
ENSDNOG00000016566	1.832262	4.351211	4.944038
ENSDNOG00000016570	0.6023086	1.244071	2.962758
ENSDNOG00000016571	1.491981	4.046046	4.997048
ENSDNOG00000016572	1.338259	2.721005	3.464668
ENSDNOG00000016573	0	1.807388	2.173873
ENSDNOG00000016575	6.181607	1.377757	5.790467
ENSDNOG00000016581	0.06762316	0.1483315	0
ENSDNOG00000016582	0	0.3612732	0.5151755
ENSDNOG00000016583	1.865052	3.008578	2.280164
ENSDNOG00000016588	2.897808	3.89475	3.579784
ENSDNOG00000016589	1.268141	3.045445	2.430489
ENSDNOG00000016591	0.3441843	1.793401	0.8378181
ENSDNOG00000016592	0.5773839	1.516847	1.087884
ENSDNOG00000016594	1.407508	2.103733	2.527861
ENSDNOG00000016598	0.2813422	0.8808501	1.942004
ENSDNOG00000016606	1.413949	2.64695	2.199802
ENSDNOG00000016609	0	2.303527	2.908006
ENSDNOG00000016612	1.741464	2.91802	5.563301
ENSDNOG00000016614	1.967456	5.059502	4.659194
ENSDNOG00000016617	5.608735	4.303993	1.901423
ENSDNOG00000016621	0.9566024	0.9079897	1.087368
ENSDNOG00000016625	1.862431	0.8038784	1.89038
ENSDNOG00000016628	1.624485	2.717173	4.102112
ENSDNOG00000016631	3.369578	3.477172	2.970997
ENSDNOG00000016641	1.488371	3.997437	4.252703
ENSDNOG00000016645	0.6062565	1.065167	0.4606532
ENSDNOG00000016647	1.851576	3.511553	2.957833
ENSDNOG00000016650	0.1634833	1.024206	1.311608
ENSDNOG00000016651	0	0.9184221	0.3774503
ENSDNOG00000016653	0.5397643	0	0
ENSDNOG00000016662	0.1389455	0.07914883	3.768011
ENSDNOG00000016663	1.529345	3.200237	2.38176
ENSDNOG00000016664	1.027289	1.963156	11.63099
ENSDNOG00000016666	1.771767	4.065624	4.022297
ENSDNOG00000016669	1.144183	1.578436	3.182619
ENSDNOG00000016670	0.743639	2.257466	2.539531
ENSDNOG00000016671	0.111326	0	0
ENSDNOG00000016674	0.3186721	2.902281	0.7278752
ENSDNOG00000016676	0.3185448	1.429295	1.135023
ENSDNOG00000016677	0.764966	1.758461	1.25405
ENSDNOG00000016678	1.023284	3.019848	2.62156
ENSDNOG00000016679	1.52198	2.852698	2.318349
ENSDNOG00000016680	1.041075	2.995501	0.4281831
ENSDNOG00000016681	1.798946	2.677594	2.813631
ENSDNOG00000016686	0.9314372	0	1.332943
ENSDNOG00000016693	0.9484274	1.543737	0.8754291
ENSDNOG00000016695	0	0.1786063	0
ENSDNOG00000016700	0.4815542	0.5725909	1.12258
ENSDNOG00000016705	6.763026	3.94988	1.00906
ENSDNOG00000016708	3.005314	4.882907	4.967565
ENSDNOG00000016709	3.079342	5.039248	5.296255
ENSDNOG00000016713	0.5839157	3.698352	2.02164
ENSDNOG00000016716	0.3005982	1.094027	0.5697331
ENSDNOG00000016718	2.420703	2.787855	3.11638
ENSDNOG00000016720	0.09658423	0.2807651	7.950387
ENSDNOG00000016721	0.1902672	1.097368	1.464527
ENSDNOG00000016728	5.603683	8.224363	7.492932
ENSDNOG00000016729	0.01478261	0	0.05383369
ENSDNOG00000016732	1.191127	1.893133	5.362677
ENSDNOG00000016737	2.398309	3.930066	2.968458
ENSDNOG00000016738	0.09031527	0.2309113	0.1680361
ENSDNOG00000016740	1.348941	1.016318	1.63729
ENSDNOG00000016743	0.06232843	0.1391813	0.2049795
ENSDNOG00000016744	2.077722	3.633234	3.22406
ENSDNOG00000016745	0.8778864	1.310468	0.9812492
ENSDNOG00000016747	0.5010518	1.365575	1.770901
ENSDNOG00000016748	2.370733	2.36656	2.921246
ENSDNOG00000016753	3.07847	2.474228	1.1578
ENSDNOG00000016755	1.565807	4.663328	3.811635
ENSDNOG00000016757	7.585579	1.795792	1.416429
ENSDNOG00000016758	0.12449	0	0.08082027
ENSDNOG00000016761	0.3825555	0.8988461	0.3413562
ENSDNOG00000016767	0.209391	2.730268	0.6861536
ENSDNOG00000016769	4.255712	7.35779	4.496929
ENSDNOG00000016771	0.1629293	0.3788001	0.5653359
ENSDNOG00000016774	1.414682	2.621288	2.929403
ENSDNOG00000016778	2.493921	3.855442	2.559235
ENSDNOG00000016782	0.1801453	0.8589852	0.9065212
ENSDNOG00000016787	1.585568	2.90144	2.787393
ENSDNOG00000016789	1.212794	3.845274	3.065796
ENSDNOG00000016791	0.8135189	2.096005	1.732343
ENSDNOG00000016795	0.5716885	5.3946	0.9781678
ENSDNOG00000016796	1.34522	2.51098	2.255827
ENSDNOG00000016797	2.283353	0.1949696	0.5058086
ENSDNOG00000016798	5.115393	3.24378	0
ENSDNOG00000016800	0	0.5777812	0
ENSDNOG00000016801	1.662534	2.745711	2.51161
ENSDNOG00000016807	0.6698876	0.8057531	1.414211
ENSDNOG00000016809	1.735518	3.805592	4.288824
ENSDNOG00000016811	0	2.624108	0
ENSDNOG00000016813	0	4.016184	0
ENSDNOG00000016814	0.603005	0.867838	0
ENSDNOG00000016816	1.260995	3.890476	2.009662
ENSDNOG00000016817	1.192819	3.687374	3.637819
ENSDNOG00000016824	0	0	0.1774892
ENSDNOG00000016827	1.832035	3.303642	3.332937
ENSDNOG00000016829	0.1019707	0.2979333	0.4711354
ENSDNOG00000016833	4.451013	8.13614	7.417979
ENSDNOG00000016834	3.033259	3.919712	3.438214
ENSDNOG00000016835	2.899839	3.313138	2.174304
ENSDNOG00000016838	0.2718201	1.745973	0.7686713
ENSDNOG00000016840	1.090176	1.647651	1.473802
ENSDNOG00000016842	1.937171	2.6397	3.554184
ENSDNOG00000016845	0.6706953	2.201706	1.370594
ENSDNOG00000016853	3.032327	4.31878	4.339565
ENSDNOG00000016858	1.98871	2.29465	3.210529
ENSDNOG00000016860	0.1692606	0.1079469	0.0785877
ENSDNOG00000016862	1.578031	3.385129	3.098514
ENSDNOG00000016864	0.7479476	3.065235	2.541312
ENSDNOG00000016865	0.3058667	1.980161	1.33391
ENSDNOG00000016868	1.803401	5.581134	6.103917
ENSDNOG00000016869	2.178702	4.764176	4.927109
ENSDNOG00000016873	1.31306	2.452519	3.027534
ENSDNOG00000016877	2.445176	4.016433	4.083605
ENSDNOG00000016879	0.639347	1.818098	2.43601
ENSDNOG00000016880	1.050738	2.626346	2.913267
ENSDNOG00000016885	2.020957	3.29359	3.187093
ENSDNOG00000016888	1.611326	0.128941	0
ENSDNOG00000016894	0.2002884	0.9988143	8.04001
ENSDNOG00000016895	0.09242992	4.01606	5.924087
ENSDNOG00000016897	1.152651	1.79166	4.724072
ENSDNOG00000016902	0.6918396	1.512181	1.132932
ENSDNOG00000016903	0	0.2451719	1.334019
ENSDNOG00000016906	0	0.06696539	0.5505018
ENSDNOG00000016913	2.25538	4.22241	4.089015
ENSDNOG00000016915	1.723318	2.816626	3.434379
ENSDNOG00000016917	2.587442	3.580893	5.993274
ENSDNOG00000016920	3.009095	2.752011	2.873971
ENSDNOG00000016923	0	1.663632	0
ENSDNOG00000016926	1.848598	2.236269	2.480141
ENSDNOG00000016928	1.702179	1.552254	1.698263
ENSDNOG00000016932	2.663495	4.044814	4.07691
ENSDNOG00000016935	0	0	0.426839
ENSDNOG00000016937	0.7372126	1.217249	3.073255
ENSDNOG00000016939	0.1520705	0.3005373	0.2499441
ENSDNOG00000016941	1.517508	3.815258	1.905463
ENSDNOG00000016942	0.3277081	4.698257	4.251946
ENSDNOG00000016946	1.464715	1.740634	1.792897
ENSDNOG00000016947	1.088993	2.16375	2.377145
ENSDNOG00000016948	0	0	0.1335946
ENSDNOG00000016949	0.8510594	2.091348	1.904634
ENSDNOG00000016950	1.576092	4.468466	3.840826
ENSDNOG00000016951	0.06270489	0	0.04956414
ENSDNOG00000016952	3.77569	5.935658	5.566292
ENSDNOG00000016953	0.3233216	0.1614079	0.0671217
ENSDNOG00000016954	0.5927637	1.48486	1.469808
ENSDNOG00000016955	2.693014	4.741138	4.285853
ENSDNOG00000016956	0.1655917	0.3455883	0.1580332
ENSDNOG00000016959	0	0.2265825	0.6806871
ENSDNOG00000016961	0.02920875	0	0.09747137
ENSDNOG00000016962	0.1782149	1.177293	1.964184
ENSDNOG00000016963	0.4867514	0.5967806	0.1487597
ENSDNOG00000016967	1.576377	3.152216	2.111629
ENSDNOG00000016968	1.303927	1.579349	1.670247
ENSDNOG00000016969	1.166773	2.083935	2.946053
ENSDNOG00000016971	0	0.216831	0.1789606
ENSDNOG00000016973	0.1898423	0	0
ENSDNOG00000016974	0.2858354	1.141962	0.4584335
ENSDNOG00000016976	0	0	0.9779913
ENSDNOG00000016977	0.5689758	1.441568	1.569306
ENSDNOG00000016981	0.5521596	1.793193	2.593712
ENSDNOG00000016984	0	0	0.4658909
ENSDNOG00000016987	3.010601	2.262475	2.23111
ENSDNOG00000016988	0.2337237	1.069633	1.639028
ENSDNOG00000016990	0.5831312	3.754893	1.583169
ENSDNOG00000016991	0.3075299	0.5848586	0.755244
ENSDNOG00000016992	1.535102	1.976389	2.593277
ENSDNOG00000016993	0.464593	0.526154	0.9908895
ENSDNOG00000016994	0.09381435	0	0
ENSDNOG00000016999	0.6526829	1.315421	1.296428
ENSDNOG00000017002	0	1.917963	0
ENSDNOG00000017007	1.046889	2.723685	2.406874
ENSDNOG00000017008	1.656835	3.411451	2.461741
ENSDNOG00000017009	3.434912	5.814444	6.677114
ENSDNOG00000017010	0.6073194	0.9389519	0.1588579
ENSDNOG00000017011	0.0548125	0.3700181	0.3122969
ENSDNOG00000017013	1.703695	4.233702	4.989532
ENSDNOG00000017020	0.6590797	2.280838	4.272135
ENSDNOG00000017022	0.1229983	7.391854	8.605913
ENSDNOG00000017027	0.5432088	0.7906228	0.371318
ENSDNOG00000017034	3.219128	1.049192	0.944189
ENSDNOG00000017038	2.138071	3.682933	4.228249
ENSDNOG00000017039	1.521141	2.076135	0.7162297
ENSDNOG00000017045	1.982368	4.036653	2.7109
ENSDNOG00000017046	0.03048031	1.644936	0.06158281
ENSDNOG00000017047	0	0	0.1975953
ENSDNOG00000017048	6.058587	2.11334	0.9485575
ENSDNOG00000017055	0.1332606	0.8275841	0.9936251
ENSDNOG00000017057	1.12644	2.189989	2.151761
ENSDNOG00000017059	0.2440711	1.368735	1.329548
ENSDNOG00000017062	3.633861	6.1404	5.468098
ENSDNOG00000017064	0.8373669	2.248395	1.357715
ENSDNOG00000017066	2.686532	4.314631	3.485375
ENSDNOG00000017067	1.520342	2.715263	2.281066
ENSDNOG00000017068	5.671248	7.828917	7.607641
ENSDNOG00000017069	2.387831	3.170683	2.802493
ENSDNOG00000017070	0.16418	0	0.1010128
ENSDNOG00000017077	0	0.4368612	3.097444
ENSDNOG00000017080	0.107522	0.4469454	0.04661734
ENSDNOG00000017081	3.541564	5.269871	4.391465
ENSDNOG00000017087	0.8587394	1.712274	1.940479
ENSDNOG00000017088	0.0222232	0.1768385	0
ENSDNOG00000017089	0.5470766	2.062909	0.8470821
ENSDNOG00000017091	3.933053	5.891925	5.964392
ENSDNOG00000017092	0	0.3415691	0.3920635
ENSDNOG00000017097	1.399313	0.3345854	0.1036433
ENSDNOG00000017103	0	0.8937699	0.7818154
ENSDNOG00000017107	0.1967946	0.9467496	0
ENSDNOG00000017110	2.704508	4.575318	3.450417
ENSDNOG00000017112	0	0.1307085	0
ENSDNOG00000017119	0.04846262	0.3179408	0.09973121
ENSDNOG00000017120	0	0	0.9724331
ENSDNOG00000017122	7.913901	7.686753	6.565299
ENSDNOG00000017128	4.896325	6.902242	7.574329
ENSDNOG00000017135	0.2720698	5.153368	0.8606339
ENSDNOG00000017136	2.815184	4.450419	4.597358
ENSDNOG00000017137	1.566713	3.884725	3.346808
ENSDNOG00000017139	0.1465914	2.453283	0.5295021
ENSDNOG00000017142	1.560793	1.332255	1.620075
ENSDNOG00000017144	0.1338138	0	0.7333587
ENSDNOG00000017145	4.863651	5.215434	4.185383
ENSDNOG00000017147	1.048727	2.187342	2.551383
ENSDNOG00000017150	3.168154	5.679683	5.44353
ENSDNOG00000017151	3.011853	4.482629	3.93413
ENSDNOG00000017153	0.5227849	3.545363	4.831072
ENSDNOG00000017158	0.4625993	1.742933	0.7655992
ENSDNOG00000017160	0.2033603	0.3850621	0.109929
ENSDNOG00000017162	0	0	0.1130673
ENSDNOG00000017165	2.03793	3.578709	2.847841
ENSDNOG00000017168	2.42265	4.339822	2.860371
ENSDNOG00000017170	0.6426609	2.926483	2.705206
ENSDNOG00000017173	0.0743206	4.264521	5.148353
ENSDNOG00000017177	1.606419	3.224454	3.360033
ENSDNOG00000017178	0.4532858	6.305896	0.1786739
ENSDNOG00000017179	0.6146156	1.878133	0
ENSDNOG00000017180	1.572274	3.330918	3.867541
ENSDNOG00000017186	0	0	0.06004434
ENSDNOG00000017188	0.1660251	0.6141812	1.44193
ENSDNOG00000017189	0.1263592	0	0.0786276
ENSDNOG00000017198	2.696465	4.557079	3.696147
ENSDNOG00000017199	4.166322	5.222928	5.407145
ENSDNOG00000017202	0.1676868	0.2018697	0.5080696
ENSDNOG00000017205	1.372674	1.427376	2.576679
ENSDNOG00000017212	4.951872	7.119346	6.051518
ENSDNOG00000017218	3.108136	4.129357	4.286208
ENSDNOG00000017220	3.049927	4.769169	4.072758
ENSDNOG00000017224	1.549191	2.655141	2.901819
ENSDNOG00000017225	0.5500742	0.4979444	0.5573572
ENSDNOG00000017226	0.4829204	2.345205	1.919335
ENSDNOG00000017227	2.212118	2.64763	1.746584
ENSDNOG00000017230	4.320051	6.091985	5.327407
ENSDNOG00000017231	3.604297	7.604813	8.428971
ENSDNOG00000017232	2.87532	6.359173	6.933254
ENSDNOG00000017235	3.105953	5.329891	6.4234
ENSDNOG00000017237	0.2479312	2.914825	1.542758
ENSDNOG00000017238	0.07852076	0.2059342	1.500914
ENSDNOG00000017240	3.072968	3.413247	1.496094
ENSDNOG00000017242	0.2656385	1.01457	0
ENSDNOG00000017243	1.994214	3.655856	2.749749
ENSDNOG00000017248	0.4473697	0	0.4570941
ENSDNOG00000017249	1.741159	3.099292	2.947086
ENSDNOG00000017252	1.274924	2.261519	1.99266
ENSDNOG00000017257	0.4160798	2.407777	1.502101
ENSDNOG00000017266	0.9722986	3.604902	2.530211
ENSDNOG00000017270	0	3.721974	0.5541202
ENSDNOG00000017271	1.536257	2.295441	2.202788
ENSDNOG00000017274	1.395129	2.748066	2.330441
ENSDNOG00000017275	2.729081	3.659845	4.514596
ENSDNOG00000017280	0.2374826	0.6415941	0.5152787
ENSDNOG00000017281	1.177248	2.57731	2.349272
ENSDNOG00000017282	0.7753759	1.865788	1.39481
ENSDNOG00000017283	0.07421769	2.704934	1.856209
ENSDNOG00000017286	0	3.581255	5.968042
ENSDNOG00000017287	1.210414	4.721679	6.568741
ENSDNOG00000017291	0.3290731	0.9874147	0.949124
ENSDNOG00000017295	1.277294	2.255969	2.678369
ENSDNOG00000017297	0.6025281	1.53318	1.226484
ENSDNOG00000017299	0.7985275	4.857832	1.448827
ENSDNOG00000017304	0	0	0.4353224
ENSDNOG00000017307	2.133587	2.433128	1.622804
ENSDNOG00000017308	0.07591744	0.1887339	0.2891368
ENSDNOG00000017309	1.541664	2.260646	2.085299
ENSDNOG00000017310	0	0.153852	0
ENSDNOG00000017311	0.5092499	1.529431	1.881618
ENSDNOG00000017312	8.295728	7.657483	7.629211
ENSDNOG00000017314	1.830089	4.02195	5.303941
ENSDNOG00000017317	0.1654219	0	0.3277104
ENSDNOG00000017324	1.513026	1.292028	4.004259
ENSDNOG00000017326	0.09858691	0.4548181	0.366062
ENSDNOG00000017327	0.9732483	1.796772	2.692059
ENSDNOG00000017330	0.4460466	0	0
ENSDNOG00000017334	0.3085554	1.296704	1.921353
ENSDNOG00000017336	8.506914	8.344802	8.195097
ENSDNOG00000017339	0.9225054	1.230234	1.298564
ENSDNOG00000017340	1.605837	2.539965	4.319064
ENSDNOG00000017343	1.92973	3.697663	3.573568
ENSDNOG00000017344	1.588805	2.290814	2.127617
ENSDNOG00000017346	0.9323893	1.37524	2.163479
ENSDNOG00000017353	0.7467333	4.269504	3.375869
ENSDNOG00000017355	0.1474044	2.681112	0.6086881
ENSDNOG00000017359	0.2987052	0.5900482	1.338641
ENSDNOG00000017360	0	0.08500402	0.07040211
ENSDNOG00000017361	0	0.06055795	0
ENSDNOG00000017376	0.1940744	0.2926864	0.8068066
ENSDNOG00000017379	2.881458	7.287795	4.348671
ENSDNOG00000017385	0	6.922245	0
ENSDNOG00000017386	0.6909069	1.159364	2.154078
ENSDNOG00000017389	1.927415	3.039767	2.15847
ENSDNOG00000017391	1.640547	2.488762	2.383024
ENSDNOG00000017392	2.204291	3.494684	3.514968
ENSDNOG00000017395	6.02148	5.358653	8.149381
ENSDNOG00000017396	0.5455592	0.4287845	0.6709581
ENSDNOG00000017397	1.242285	1.926045	2.038461
ENSDNOG00000017400	1.103162	2.774376	2.802024
ENSDNOG00000017401	0.2041057	0.5973252	0.5442668
ENSDNOG00000017403	1.188717	3.690182	3.431614
ENSDNOG00000017404	2.834816	4.023539	4.062631
ENSDNOG00000017406	3.256482	5.079835	5.875377
ENSDNOG00000017407	2.083326	3.089951	3.875957
ENSDNOG00000017408	1.928177	1.385845	2.464744
