brain	kidney	liver
ENSCSAG00000000140	0.149006135666667	0.410010218	0.595160105
ENSCSAG00000000141	2.03873662733333	1.109707805	0.04476623
ENSCSAG00000000142	8.28948374433333	11.528448053	8.061057005
ENSCSAG00000000143	0	0	0
ENSCSAG00000000144	0.126330435333333	1.0307219605	0.05852155
ENSCSAG00000000145	3.09892478833333	5.4163186805	3.219026472
ENSCSAG00000000146	2.14216798433333	1.8467460275	2.4991866635
ENSCSAG00000000147	9.46621776333333	11.973888838	8.2511133935
ENSCSAG00000000148	1.56451316533333	0.898764427	0.6234835835
ENSCSAG00000000149	3.68296329633333	7.400505778	5.554318577
ENSCSAG00000000150	0	0	0
ENSCSAG00000000151	2.43335720533333	0.0920716	0
ENSCSAG00000000152	2.55049884133333	5.4232712755	2.9574153185
ENSCSAG00000000153	2.36888431	0.2921555135	0
ENSCSAG00000000154	5.065051468	4.913702189	4.8588950145
ENSCSAG00000000155	3.23707248266667	1.332966829	2.8534850165
ENSCSAG00000000156	7.905378883	11.007325247	9.395386168
ENSCSAG00000000157	1.98770823266667	0.2055681355	1.7237920525
ENSCSAG00000000158	0	0	0
ENSCSAG00000000159	4.57620438666667	0	0.1848555
ENSCSAG00000000160	6.160906066	1.718257114	5.007710046
ENSCSAG00000000161	3.378950523	3.6917710145	3.975928744
ENSCSAG00000000162	0.894908353666667	0.7905974375	0.2748977795
ENSCSAG00000000163	9.69832388533333	12.8140055535	10.0164884985
ENSCSAG00000000164	4.34713405166667	1.9364825525	2.8175202705
ENSCSAG00000000165	2.70283110933333	0	0.20794205
ENSCSAG00000000166	0.224327013333333	0	0
ENSCSAG00000000167	0.230021941666667	0	0
ENSCSAG00000000168	5.754053501	0	0.042166795
ENSCSAG00000000169	2.01951182633333	0	0.78447693
ENSCSAG00000000170	2.658687233	8.860732586	5.67568045
ENSCSAG00000000171	0.414331525333333	7.142153041	1.885847184
ENSCSAG00000000172	0.275590033333333	0.23381085	0
ENSCSAG00000000173	0.848425030333333	0.2157355305	3.864240762
ENSCSAG00000000174	10.408846223	14.065329963	10.2175835225
ENSCSAG00000000175	2.2955331	0	1.2066863375
ENSCSAG00000000176	0.5218899	0	0.332949677
ENSCSAG00000000177	3.23628275033333	0.035625214	0.032076385
ENSCSAG00000000178	8.14446770233333	6.4239089235	5.1317793715
ENSCSAG00000000179	2.65902086433333	0	0
ENSCSAG00000000180	0.744019681666667	0.1377401585	1.645531792
ENSCSAG00000000181	0	0	0.3183167
ENSCSAG00000000182	0.754625322	0	0.467518625
ENSCSAG00000000183	2.82997188966667	1.128576	1.081827243
ENSCSAG00000000184	0.145851249	0	0.4628664885
ENSCSAG00000000185	0.250869966666667	0	0
ENSCSAG00000000186	3.61629519366667	6.52723683	5.7271162595
ENSCSAG00000000187	5.22607492966667	6.6734925465	5.140649717
ENSCSAG00000000188	0.530811288333333	0.6566064435	1.507765947
ENSCSAG00000000189	2.12579679166667	0.2015384025	1.543079543
ENSCSAG00000000190	3.92013509266667	2.5532083175	1.1540608145
ENSCSAG00000000191	4.80738850633333	0.2437076725	0
ENSCSAG00000000192	1.62319006466667	0	0.042398565
ENSCSAG00000000193	4.70273929266667	4.552873363	3.506709286
ENSCSAG00000000194	5.416186368	2.6444475225	0.2041100905
ENSCSAG00000000195	0.867211266666667	0.1112353685	0
ENSCSAG00000000196	1.86853068233333	0	0
ENSCSAG00000000197	0.2956881	0	0
ENSCSAG00000000198	1.20636653666667	2.8825802795	0.6957634065
ENSCSAG00000000199	4.42015185666667	5.275267582	3.833581611
ENSCSAG00000000200	2.48921665133333	0.094947694	0.5709838735
ENSCSAG00000000201	1.06735866666667	0	0.879053019
ENSCSAG00000000202	0.8101471	0	0
ENSCSAG00000000203	2.23532713233333	0	0
ENSCSAG00000000204	0	0	0
