brain	liver	ovary	testis
ENSMEUG00000000113	NA	4.123636976	NA	0.1527195
ENSMEUG00000000114	NA	4.086631094	NA	4.97436
ENSMEUG00000000115	NA	3.2065503885	NA	1.408826
ENSMEUG00000000116	NA	1.307195463	NA	0.3613843
ENSMEUG00000000117	NA	5.509639498	NA	8.108038
ENSMEUG00000000118	NA	0.8441265835	NA	5.288912
ENSMEUG00000000119	NA	5.3524225215	NA	3.684145
ENSMEUG00000000120	NA	4.8742033015	NA	4.118177
ENSMEUG00000000121	NA	3.9332750475	NA	4.918043
ENSMEUG00000000122	NA	4.687956846	NA	3.914593
ENSMEUG00000000123	NA	1.6140115885	NA	3.04717
ENSMEUG00000000124	NA	1.9203174915	NA	1.971052
ENSMEUG00000000125	NA	2.122613379	NA	2.196535
ENSMEUG00000000126	NA	0.1345044485	NA	0.3734099
ENSMEUG00000000127	NA	4.3197667325	NA	5.054623
ENSMEUG00000000128	NA	3.4894638305	NA	2.751271
ENSMEUG00000000129	NA	5.1019464785	NA	6.358103
ENSMEUG00000000130	NA	0	NA	0
ENSMEUG00000000131	NA	3.095287925	NA	1.480327
ENSMEUG00000000132	NA	1.832430628	NA	0.1789147
ENSMEUG00000000133	NA	2.584168717	NA	1.843381
ENSMEUG00000000134	NA	0	NA	2.061261
ENSMEUG00000000135	NA	4.7057415095	NA	6.631064
ENSMEUG00000000136	NA	0.720713261	NA	0.1895007
ENSMEUG00000000137	NA	1.6840221025	NA	4.072535
ENSMEUG00000000138	NA	5.261324123	NA	5.95044
ENSMEUG00000000139	NA	1.5508367645	NA	0.3422031
ENSMEUG00000000140	NA	0	NA	0
ENSMEUG00000000141	NA	2.830249056	NA	5.064732
ENSMEUG00000000142	NA	2.85426675	NA	3.202402
ENSMEUG00000000143	NA	0.8270162745	NA	0
ENSMEUG00000000144	NA	3.270521949	NA	8.247913
ENSMEUG00000000145	NA	0.11523985	NA	5.27672
ENSMEUG00000000146	NA	3.7041525065	NA	3.242131
ENSMEUG00000000147	NA	5.3383452235	NA	0.1594794
ENSMEUG00000000148	NA	0	NA	0.1243575
ENSMEUG00000000149	NA	0	NA	3.283245
ENSMEUG00000000150	NA	2.5440456665	NA	3.330269
ENSMEUG00000000151	NA	2.545066404	NA	0.3331924
ENSMEUG00000000152	NA	2.459441362	NA	0.351159
ENSMEUG00000000153	NA	0.182672514	NA	5.136606
ENSMEUG00000000154	NA	4.7401551755	NA	4.553391
ENSMEUG00000000155	NA	0.566064662	NA	1.666152
ENSMEUG00000000156	NA	0.9214623885	NA	1.864711
ENSMEUG00000000157	NA	1.8331073865	NA	2.469857
ENSMEUG00000000158	NA	1.068907038	NA	3.735176
ENSMEUG00000000159	NA	4.6972661615	NA	3.926702
ENSMEUG00000000160	NA	3.0681833455	NA	3.775019
ENSMEUG00000000161	NA	1.2623376555	NA	1.116744
ENSMEUG00000000162	NA	1.519828767	NA	6.93264
ENSMEUG00000000163	NA	1.3895304255	NA	1.528836
ENSMEUG00000000164	NA	0	NA	0.1441273
ENSMEUG00000000165	NA	3.384751207	NA	9.440358
ENSMEUG00000000166	NA	0	NA	0
ENSMEUG00000000167	NA	2.221194219	NA	2.738253
ENSMEUG00000000168	NA	0.192312946	NA	7.818026
ENSMEUG00000000169	NA	1.25211165	NA	0.8365115
ENSMEUG00000000170	NA	3.0378912405	NA	7.800505
ENSMEUG00000000171	NA	2.5995901165	NA	3.127323
ENSMEUG00000000172	NA	0	NA	0
ENSMEUG00000000173	NA	5.1320819005	NA	6.178916
ENSMEUG00000000174	NA	2.1662886875	NA	4.686545
ENSMEUG00000000175	NA	1.78069653	NA	4.465282
ENSMEUG00000000176	NA	3.0074643875	NA	0.8515336
ENSMEUG00000000177	NA	5.328251063	NA	2.160598
ENSMEUG00000000178	NA	3.9838895135	NA	8.504879
ENSMEUG00000000179	NA	0	NA	0.2879261
ENSMEUG00000000180	NA	0.008870325	NA	0.5084094
ENSMEUG00000000181	NA	0.12822455	NA	2.430582
ENSMEUG00000000182	NA	8.822943852	NA	0.5008173
ENSMEUG00000000183	NA	1.3775441575	NA	0.3459266
ENSMEUG00000000184	NA	0.446242142	NA	1.778495
ENSMEUG00000000185	NA	5.1409624295	NA	3.157581
ENSMEUG00000000186	NA	2.8280661575	NA	2.315149
ENSMEUG00000000187	NA	2.4656795015	NA	2.119526
ENSMEUG00000000188	NA	2.730175233	NA	1.761851
ENSMEUG00000000189	NA	0.1908712215	NA	0.2310022
ENSMEUG00000000190	NA	3.2737747835	NA	6.140875
ENSMEUG00000000191	NA	0	NA	0
ENSMEUG00000000192	NA	2.2933364315	NA	3.367241
ENSMEUG00000000193	NA	3.1228468695	NA	1.669644
ENSMEUG00000000194	NA	0	NA	0
ENSMEUG00000000195	NA	4.267578425	NA	4.330164
ENSMEUG00000000196	NA	0.26188625	NA	4.29329
ENSMEUG00000000197	NA	0	NA	0
ENSMEUG00000000198	NA	0.0510537	NA	1.430457
ENSMEUG00000000199	NA	0.049699585	NA	0.4080357
ENSMEUG00000000200	NA	0	NA	5.614842
ENSMEUG00000000201	NA	1.374753248	NA	0.276287
ENSMEUG00000000202	NA	4.362805765	NA	2.9371
ENSMEUG00000000203	NA	3.5878693975	NA	3.965184
ENSMEUG00000000204	NA	4.23025924	NA	4.978182
ENSMEUG00000000205	NA	3.009609888	NA	3.443381
ENSMEUG00000000206	NA	7.040346724	NA	4.585509
ENSMEUG00000000207	NA	1.7291416075	NA	6.712114
ENSMEUG00000000208	NA	4.7808545035	NA	7.154281
ENSMEUG00000000209	NA	2.5445982745	NA	0.161235
ENSMEUG00000000210	NA	7.4428425495	NA	5.73478
ENSMEUG00000000211	NA	2.5422607315	NA	5.498267
ENSMEUG00000000212	NA	0.5123751755	NA	7.085786
ENSMEUG00000000213	NA	3.930777437	NA	4.84237
ENSMEUG00000000214	NA	2.2720449425	NA	2.835742
