heart	kidney	liver	testis
ENSGGOG00000000113	4.0829345	6.921944	7.1225245	3.70050366666667
ENSGGOG00000000114	0.4080331	1.09317825	0.52289695	1.30789033333333
ENSGGOG00000000115	0.474602445	0.17680625	0.05881382	2.8420438
ENSGGOG00000000116	0.09050485	0.05770305	0	0.7031833
ENSGGOG00000000117	1.06210605	1.1830195	0.97730375	4.810328
ENSGGOG00000000118	0.8150157	2.33955	1.781431	3.05485033333333
ENSGGOG00000000119	0.01403758	0.64920465	0.114131975	1.56157166666667
ENSGGOG00000000120	1.5730805	1.752424	0.62765065	2.665243
ENSGGOG00000000122	3.602401	7.614272	5.038365	3.951101
ENSGGOG00000000123	0.028025025	0.47675575	0.015890475	3.193558
ENSGGOG00000000125	0.0723345	0.06843785	0	1.75297133333333
ENSGGOG00000000126	0	0	0.061791705	1.10760613333333
ENSGGOG00000000127	0.5804094	1.4903605	0.71226965	7.85866
ENSGGOG00000000128	0.07796026	1.47419145	0.08211178	1.25962986666667
ENSGGOG00000000129	4.8633125	6.5813005	5.524837	5.81400533333333
ENSGGOG00000000130	0.009789205	0.03488936	0	0.543105633333333
ENSGGOG00000000131	8.047191	10.0210435	10.025432	7.42431266666667
ENSGGOG00000000132	2.224465	3.628721	3.193046	1.5408365
ENSGGOG00000000133	0.14501129	2.5237865	0.408259	0.995811
ENSGGOG00000000135	0	0	0	0.542865766666667
ENSGGOG00000000136	3.587976	0.132085475	0	0.3103804
ENSGGOG00000000138	0.025819625	0.01026959	1.5037487	1.893643
ENSGGOG00000000139	0.8516371	1.8796315	0.7142311	2.43073833333333
ENSGGOG00000000140	0.07306561	0.03513661	0.30132915	3.522276
ENSGGOG00000000142	1.5190375	2.94324	2.4926355	4.89867233333333
ENSGGOG00000000143	1.6359065	3.393092	2.748709	4.22926066666667
ENSGGOG00000000144	0.32653615	1.8442105	0.77237195	2.480543
ENSGGOG00000000145	0.064525525	5.222898	0.494686	1.90624033333333
ENSGGOG00000000146	0.280940415	0	0.5525458	0.314399966666667
ENSGGOG00000000147	0.12562545	0.35041105	0.22381435	0.930018366666667
ENSGGOG00000000148	0.128026385	0.9233028	0.159582725	0.590649823333333
ENSGGOG00000000149	1.0688235	2.602443	2.3952615	2.87191433333333
ENSGGOG00000000150	3.527562	4.9225335	5.03443	6.15206833333333
ENSGGOG00000000152	0.112487175	0.3050667	0.41363685	1.78021766666667
ENSGGOG00000000153	1.146158	3.031508	2.303236	2.96379
ENSGGOG00000000154	0.5778521	3.2387355	1.6420225	1.69554693333333
ENSGGOG00000000157	4.2511465	5.5360915	6.2728095	2.96314233333333
ENSGGOG00000000159	0	0	0	0.1555086
ENSGGOG00000000160	0.6566386	2.6317715	1.732966	4.336946
ENSGGOG00000000162	0.4059003	1.4159595	1.4761955	2.513009
ENSGGOG00000000163	0.9417191	2.3701535	2.08838	2.571283
ENSGGOG00000000164	0.007656075	0.05608894	0	3.39869566666667
ENSGGOG00000000165	0.6454444	2.1602095	1.4862795	2.814694
ENSGGOG00000000166	4.6437995	6.839845	6.2406705	6.54471233333333
ENSGGOG00000000168	0	0.4435627	0	2.26219566666667
ENSGGOG00000000169	0	0.05577295	0.35715655	3.88183366666667
ENSGGOG00000000170	2.40023	5.969946	6.0797045	4.89900833333333
ENSGGOG00000000171	1.2616655	2.9432055	2.4800165	5.28483833333333
ENSGGOG00000000172	4.794265	7.0847295	7.0606025	8.07036933333333
ENSGGOG00000000173	2.01321	3.820817	3.3997395	3.98857866666667
ENSGGOG00000000174	0.2094711	0.0530018	0.05223954	0.3700949
ENSGGOG00000000176	0.63445615	2.8668315	0.64107995	4.26889466666667
ENSGGOG00000000177	4.1433545	5.241234	4.791952	3.36701566666667
ENSGGOG00000000178	2.65994	3.2088255	2.5963465	5.18624833333333
ENSGGOG00000000179	3.809545	5.6787775	4.2507205	1.92497553333333
ENSGGOG00000000181	3.348875	5.0140565	4.295325	3.92704463333333
ENSGGOG00000000182	0.33438365	0.4830207	0.2106795	0.9293774
ENSGGOG00000000184	0	0	0	0.3739387
ENSGGOG00000000185	0.02169038	0.07332219	0	6.000441
ENSGGOG00000000186	3.0376585	4.6298385	1.767121	4.40108033333333
ENSGGOG00000000187	2.111563	4.3460795	2.9456635	3.83170533333333
ENSGGOG00000000188	0	0.1820316	0	0
ENSGGOG00000000189	0.80371945	1.8293885	1.780192	2.732375
ENSGGOG00000000190	2.107326	4.223104	4.194883	3.629672
ENSGGOG00000000191	3.9120815	5.887425	5.5796935	6.920378
ENSGGOG00000000192	2.4703585	3.807112	2.899137	4.56363333333333
ENSGGOG00000000193	0.01138289	0.29693205	0.014567895	1.70674433333333
ENSGGOG00000000194	3.762415	4.3705545	4.034145	4.56511133333333
ENSGGOG00000000195	0	0	0	0.101842333333333
ENSGGOG00000000196	2.1809585	3.63685	3.8270525	3.87675133333333
ENSGGOG00000000197	4.976775	6.2802085	9.04997	1.53472506666667
ENSGGOG00000000198	0.0665673	0	0.0750686	3.23745333333333
ENSGGOG00000000199	0	1.6988595	0.32509275	6.245752
ENSGGOG00000000200	7.268177	9.046988	7.241719	7.88262733333333
ENSGGOG00000000201	0.16789867	0.045910995	0.013048315	0.762743166666667
ENSGGOG00000000202	1.0841579	1.6485635	1.3377545	3.27180366666667
ENSGGOG00000000203	2.387704	4.231572	3.0765195	2.88653833333333
ENSGGOG00000000204	3.736395	6.159565	6.4684735	3.92776333333333
ENSGGOG00000000205	1.0007914	3.0714955	0.22813895	1.2155128
ENSGGOG00000000206	1.14767	3.289977	2.2822825	1.5555173
ENSGGOG00000000207	0.75279515	1.739154	2.5095965	0.818431233333333
ENSGGOG00000000208	0	0.1980293	0	1.11003126666667
ENSGGOG00000000209	1.920858	3.550095	3.1989675	3.052444
ENSGGOG00000000210	3.155424	4.673304	3.7143075	4.386971
ENSGGOG00000000211	2.2704615	0.99514105	0.72169375	5.15942433333333
ENSGGOG00000000212	6.7919365	8.7930615	6.972993	9.978022
ENSGGOG00000000213	0.3723915	0.46546455	0.6815905	2.66804
ENSGGOG00000000214	2.1819215	4.618655	3.1948725	2.86458833333333
ENSGGOG00000000215	0.19043885	0.2860773	0.5331529	3.80344633333333
ENSGGOG00000000216	0.84824885	2.642928	3.6950675	3.655317
ENSGGOG00000000217	0.3833945	1.38162	0.96048165	0.93574
ENSGGOG00000000218	6.031094	5.9567205	5.060978	4.5847
ENSGGOG00000000219	4.0173005	5.389527	5.375909	6.64107266666667
ENSGGOG00000000220	1.608134	3.8121785	2.5575595	2.67638623333333
ENSGGOG00000000221	0.1191881	1.9892485	3.2881065	1.51814816666667
ENSGGOG00000000224	1.950606	2.1908515	1.5705095	1.68017533333333
ENSGGOG00000000225	0.03776853	0.5589665	0.045107425	0.38782133
ENSGGOG00000000226	0.4981635	3.203364	2.314353	2.687492
ENSGGOG00000000227	1.2706425	2.126927	1.5459135	1.83771073333333
ENSGGOG00000000228	1.4890169	0.5050045	0.10717554	1.9322584
ENSGGOG00000000229	0	0	0	0.282285533333333
ENSGGOG00000000230	1.08195685	4.531748	2.0019185	3.39103766666667
ENSGGOG00000000231	0	0.040308095	0.03418297	0.217636166666667
ENSGGOG00000000232	2.8783185	5.547589	5.4790125	4.125416
ENSGGOG00000000233	0	0	0.32694185	0.132156066666667
ENSGGOG00000000234	5.289231	0.76213115	0.13078072	5.93900533333333
ENSGGOG00000000235	1.662505	3.5475805	3.499344	4.77182766666667
ENSGGOG00000000236	2.242313	3.3684215	2.46379	4.85637666666667
ENSGGOG00000000237	0	1.38476725	3.2421065	0.176143216666667
ENSGGOG00000000239	0	0	0	3.81198266666667
ENSGGOG00000000241	4.96966	3.829611	9.019155	7.75532333333333
ENSGGOG00000000242	0.421371475	0.17702025	0.113383915	1.6029089
ENSGGOG00000000243	1.834437	4.7522405	4.2696865	3.13262426666667
ENSGGOG00000000244	1.1405438	2.075389	1.5977725	2.28315976666667
ENSGGOG00000000245	1.4516595	3.318538	3.059526	3.294248
ENSGGOG00000000246	1.7576705	2.8538495	2.406937	5.190606
ENSGGOG00000000247	0.03731019	0.0752337	0.08154455	0.768248
ENSGGOG00000000248	0.033311025	7.3270535	6.811714	3.17790966666667
ENSGGOG00000000250	1.641714	3.9586855	2.5836645	4.16258133333333
ENSGGOG00000000251	0	0.1759836	0.0765465	0.487578466666667
ENSGGOG00000000252	0	0	0	1.25066166666667
ENSGGOG00000000253	0.64527535	1.1679775	1.287101	1.16096546666667
ENSGGOG00000000254	0.009615105	0.222224295	6.3160825	1.16568526666667
ENSGGOG00000000255	0.2178229	0.23219105	0.2242315	6.171237
ENSGGOG00000000256	1.48312	2.4774995	1.21500365	4.01064233333333
ENSGGOG00000000257	0	0.14276205	0.23840635	0.3198686
ENSGGOG00000000258	2.1747265	2.80283	1.49675	3.560604
ENSGGOG00000000259	2.492526	3.376649	4.1187665	4.711206
ENSGGOG00000000261	0.1399626	0.4971479	0.5547661	3.49351
ENSGGOG00000000262	0.32402805	5.15591	5.0748985	1.12241563333333
ENSGGOG00000000264	4.1567015	5.1456255	4.2067215	6.57584733333333
ENSGGOG00000000265	4.938625	7.3351355	6.5248155	6.11413166666667
ENSGGOG00000000266	0.1227037	0.36282795	0.5154652	2.05278666666667
ENSGGOG00000000267	2.804519	3.6929235	3.327903	4.90768166666667
ENSGGOG00000000268	0.1149790614755	0.3111594	0.42559125	1.5164573
ENSGGOG00000000269	0	0	0	0.03176868
ENSGGOG00000000270	0.040857285	0.0814498	2.1344075	5.45530733333333
ENSGGOG00000000271	1.137263	3.2980185	2.0876955	4.85567166666667
ENSGGOG00000000272	0	0.05890433	0	0.01761524
ENSGGOG00000000273	1.4653475	1.7518805	1.805303	1.17758333333333
ENSGGOG00000000274	0.84797575	1.6746455	0.949082	2.52226466666667
ENSGGOG00000000276	1.15882025	3.949652	2.4636985	3.959454
ENSGGOG00000000277	0.33565285	0.6812249	0.60145745	3.345148
ENSGGOG00000000279	0.10360427	0.53007375	0.5072501	1.24594176666667
ENSGGOG00000000280	0.73139	0	0	3.900712
ENSGGOG00000000281	0.5825777	2.6325395	3.647325	1.6718257
ENSGGOG00000000282	0.12170475	0.37391455	0.1868373	0.6131015
ENSGGOG00000000283	1.0974204	2.0709915	2.0539395	2.19958633333333
ENSGGOG00000000284	0	0.6188198	0.721123	3.24582666666667
ENSGGOG00000000285	1.21401265	2.7639955	1.7432495	2.83377266666667
ENSGGOG00000000286	2.873357	2.6860755	1.14251285	3.00638433333333
ENSGGOG00000000287	0.03638841	5.5223615	0.124908385	1.01709793333333
ENSGGOG00000000288	4.1819305	5.9699715	5.4213215	6.54645533333333
ENSGGOG00000000290	0.248687915	0.4408359	0	6.26429066666667
ENSGGOG00000000291	0.666041	0.8357529	0.6517913	0.359257866666667
ENSGGOG00000000292	1.2115543	2.8742435	2.347073	6.62805933333333
ENSGGOG00000000293	0.037210465	2.33721835	0.141706795	1.354582
ENSGGOG00000000294	3.603941	6.3304955	5.968363	6.46943966666667
ENSGGOG00000000295	0.28057245	1.14416735	0.34535635	0.541961233333333
ENSGGOG00000000296	0	0.12494216	0.1399338	4.33074766666667
ENSGGOG00000000298	0.035493585	0.85147395	0.01186365	1.74204466666667
ENSGGOG00000000299	0.8315651	2.6384685	1.7389495	3.97336533333333
ENSGGOG00000000300	2.1251565	4.089158	2.620457	3.11721966666667
ENSGGOG00000000301	0.22799825	0	0	4.14893266666667
ENSGGOG00000000302	0.6094198	1.01918965	0.6928759	1.5846529
ENSGGOG00000000303	4.2408215	2.6340415	2.4303455	2.637658
ENSGGOG00000000304	4.405031	5.419997	4.467545	5.866091
ENSGGOG00000000305	2.802083	5.1480245	4.218065	3.63497966666667
ENSGGOG00000000306	1.44228285	3.037049	1.7994875	3.168396
ENSGGOG00000000307	2.8259415	4.768404	5.2701295	5.12227366666667
ENSGGOG00000000308	1.3382448	2.2531995	1.3340305	4.18121166666667
ENSGGOG00000000309	3.4864495	6.0658875	5.241896	4.75665133333333
ENSGGOG00000000311	2.5356895	0.12552995	0.05810425	0.26985529
ENSGGOG00000000312	0.01247427	0	0	2.87031666666667
ENSGGOG00000000313	0	0	0	0.0759877666666667
ENSGGOG00000000314	2.082209	3.8941675	2.5655645	4.57388866666667
ENSGGOG00000000316	0.23720995	1.46833	0.48805305	0.273490366666667
ENSGGOG00000000318	3.3942885	5.853585	4.250339	6.270801
ENSGGOG00000000319	3.4232385	3.7498195	3.2800035	2.51594316666667
ENSGGOG00000000320	2.2184605	4.6634575	3.625111	6.780822
ENSGGOG00000000321	0.062338945	0.24413945	0.4403893	1.1287545
ENSGGOG00000000322	0.022277145	0	0	3.23820933333333
ENSGGOG00000000323	0.29586185	2.4071245	1.2232355	1.84000116666667
ENSGGOG00000000324	0.4090196	1.02785055	0.77757275	3.3258
ENSGGOG00000000325	1.8379955	1.902557	1.07343415	2.12253933333333
ENSGGOG00000000326	1.8525495	4.276154	4.2782845	5.06942366666667
ENSGGOG00000000327	0.02152205	0.3161613	0.08487875	0.8812968
ENSGGOG00000000329	1.56197	1.491646	1.1308959	1.39441866666667
ENSGGOG00000000330	0.80904305	3.1955795	5.134964	3.181565
ENSGGOG00000000331	0.48153213	1.3467848	1.3775675	4.394564
ENSGGOG00000000332	2.4612675	3.728994	1.8903355	5.55707866666667
ENSGGOG00000000333	5.5543565	7.4483195	7.2287665	6.0211
ENSGGOG00000000335	2.122349	3.73507	3.3521935	4.552894
ENSGGOG00000000336	1.08697005	2.27023685	3.4832655	2.46988523333333
ENSGGOG00000000337	1.0678752	2.507539	1.8886445	2.52937233333333
ENSGGOG00000000338	3.409428	5.4766865	4.790282	5.504077
ENSGGOG00000000340	0	0	0	0.639781333333333
ENSGGOG00000000342	0.4511501	1.9184845	1.50044	3.44045966666667
ENSGGOG00000000343	0.35373655	1.490766	1.182263	1.40387366666667
ENSGGOG00000000344	0.5284685	0.9917954	0.66733665	1.26680613333333
ENSGGOG00000000345	0.72534635	2.1916235	1.192262	3.67581933333333
ENSGGOG00000000346	3.190394	5.327088	5.1423075	6.01266066666667
ENSGGOG00000000347	2.4705335	4.291591	2.883043	5.59879466666667
ENSGGOG00000000348	1.0266705	1.5648924	0.7329493	1.3097384
ENSGGOG00000000349	0.88853875	2.053875	0.32661395	2.14986966666667
ENSGGOG00000000350	0	0	0	0
ENSGGOG00000000351	0	0.022603125	0	2.15379866666667
ENSGGOG00000000352	0.10313136	2.2407665	0.39109915	1.31104826666667
ENSGGOG00000000353	4.737236	0.07727335	0.13525294	1.73868386666667
ENSGGOG00000000354	3.0827305	5.009885	4.6407635	3.199586
ENSGGOG00000000355	4.4564525	5.4462525	3.447105	7.48071466666667
ENSGGOG00000000356	0.4591247	2.0907695	1.530814	3.166474
ENSGGOG00000000358	0.032669945	0.9161456	0.2699595	0.4492061
ENSGGOG00000000359	2.219194	3.37295	2.3354135	1.4771681
ENSGGOG00000000360	0.62665375	2.60544	2.158748	3.46258133333333
ENSGGOG00000000361	0.05366488	0.6226584	0.44749445	1.3571632
ENSGGOG00000000362	0	0.24869865	0	1.84117793333333
ENSGGOG00000000363	0.0835222	0.43715815	0.03160477	4.260718
ENSGGOG00000000364	1.4490335	2.962443	2.8690215	3.22399466666667
ENSGGOG00000000365	1.45702	3.369329	2.392314	3.05871833333333
ENSGGOG00000000367	0.0732898	0	0.029789985	6.460227
ENSGGOG00000000368	0.9770371	2.7775175	2.6483505	3.11851376666667
ENSGGOG00000000369	0.13688385	4.204061	0.014770615	0.05844849
ENSGGOG00000000370	1.3991255	2.9465565	2.3201085	3.83200533333333
ENSGGOG00000000371	2.1159155	2.4581555	1.566257	1.72378233333333
ENSGGOG00000000372	2.814686	4.508626	3.5493245	3.92923466666667
ENSGGOG00000000373	0.88366475	0.7456521	0.6006757	2.900559
ENSGGOG00000000374	0.109908575	0.23160045	0.0471104	1.998272
ENSGGOG00000000376	1.8419005	4.1195445	3.443895	4.55476266666667
ENSGGOG00000000377	0.98218085	3.1332855	1.4106755	4.264982
ENSGGOG00000000378	0	0	0.015840725	2.87190966666667
ENSGGOG00000000379	0.13397055	0.4804687	0.071866305	1.22222616666667
ENSGGOG00000000380	1.6410145	2.233924	0.4476629	1.92159213333333
ENSGGOG00000000381	2.5419925	2.92701	4.690783	3.05838533333333
ENSGGOG00000000382	0.3059121	0.6362603	0.91662315	1.1284823
ENSGGOG00000000383	0.09808465	0.04565724	0.05714037	0.2524257
ENSGGOG00000000384	2.6987905	3.687497	2.970766	5.90142166666667
ENSGGOG00000000385	1.7053735	3.0051165	2.297428	4.00800566666667
ENSGGOG00000000387	1.3093055	1.741959	0.90873615	4.34222066666667
ENSGGOG00000000388	3.87552	5.648307	4.706184	6.719596
ENSGGOG00000000389	1.940205	3.076099	3.1681335	2.63440633333333
ENSGGOG00000000390	5.000501	4.6794125	3.9018005	5.65314033333333
ENSGGOG00000000391	5.3267255	6.4217655	5.5007975	4.95663366666667
ENSGGOG00000000392	3.1100485	5.022326	4.672056	6.77254433333333
ENSGGOG00000000393	1.670116	2.2460595	1.4025535	2.09454163333333
ENSGGOG00000000395	1.5091425	2.4137575	1.7708645	1.6844271
ENSGGOG00000000397	0.1091279	0.2978773	0.025301795	3.15275466666667
ENSGGOG00000000398	3.344355	6.666377	5.7454915	4.94649366666667
ENSGGOG00000000400	3.588883	2.5467085	1.5469855	3.36204066666667
ENSGGOG00000000401	1.4915945	1.7740275	1.845724	2.47014633333333
ENSGGOG00000000402	2.5510345	4.021037	3.8087505	5.27730533333333
ENSGGOG00000000403	0.81517145	4.452275	2.7319595	4.86713166666667
ENSGGOG00000000404	0.3012303	1.2793695	0.7684188	3.52345966666667
ENSGGOG00000000406	1.427561	2.6601305	1.6423475	1.59828366666667
ENSGGOG00000000407	0.040012745	3.004615	7.0221885	0.968919266666667
ENSGGOG00000000408	1.9824875	4.23924	2.5192775	2.119728
ENSGGOG00000000409	3.069248	4.763099	4.567418	6.22022233333333
ENSGGOG00000000410	0.7966675	1.4301955	0.56293	2.816057
ENSGGOG00000000411	0.73599965	2.551731	2.4207225	3.48351833333333
ENSGGOG00000000414	0.022910955	0	0.72295525	0.2391414
ENSGGOG00000000415	2.6772035	4.355787	4.029457	5.40748966666667
ENSGGOG00000000416	3.4514335	5.521276	4.541327	5.19998633333333
ENSGGOG00000000417	2.12263615	3.149634	2.8521525	3.44152926666667
ENSGGOG00000000418	2.7087225	4.535621	2.549173	3.50404766666667
ENSGGOG00000000419	1.487522	3.0612745	0.8817604	2.57018733333333
ENSGGOG00000000420	0.012884865	0.024922915	0.07792251	0.7751315
ENSGGOG00000000421	2.8416785	4.514224	3.616596	5.17108433333333
ENSGGOG00000000422	0.81180005	1.6213715	1.5606285	1.71604176666667
ENSGGOG00000000423	0.850049	3.0284145	0.6626237	5.69861166666667
ENSGGOG00000000424	0.20094245	0.56105415	0.1905257	2.55461066666667
ENSGGOG00000000425	0	0.77176515	0.18817075	0.353439866666667
ENSGGOG00000000426	1.09214435	3.7874115	2.3840585	4.78434833333333
ENSGGOG00000000428	2.015452	3.7266285	2.8121495	3.95725
ENSGGOG00000000429	3.2879245	4.381197	4.191577	5.48981266666667
ENSGGOG00000000430	0.38061225	1.474101	0.73069405	2.203868
ENSGGOG00000000431	0.296327	1.0961498	0.7670709	1.4217238
ENSGGOG00000000432	0.3264722	0.85382895	0	0.880288366666667
ENSGGOG00000000433	4.377347	2.766764	1.855527	2.3645476
ENSGGOG00000000434	0.88614675	1.8011745	1.234144	3.16872866666667
ENSGGOG00000000435	0.8927522	2.256605	1.932996	5.176643
ENSGGOG00000000436	0.23967907	0.3114207	0.08581915	1.977057
ENSGGOG00000000437	0	0	0	0.976104923333333
ENSGGOG00000000440	5.180099	4.890558	3.2215045	5.307446
ENSGGOG00000000441	0.6479302	3.1650575	2.4532275	4.07963066666667
ENSGGOG00000000442	0.11976511	0.39684945	0.179821605	1.34353646666667
ENSGGOG00000000443	0.05757034	1.976977	4.9398505	3.501109
