heart	kidney	liver	testis
ENSPPAG00000000305	2.9305265	3.634867351	2.867605	2.231331
ENSPPAG00000000306	2.3423095	3.600895568	3.10498	6.519138
ENSPPAG00000000307	0.50166035	0.1621448785	0.34278455	0
ENSPPAG00000000308	1.829622	2.338014283	2.3957345	2.619714
ENSPPAG00000000313	1.9382505	2.778389394	1.7321955	2.582366
ENSPPAG00000000314	0.01895479	0.104395762	0.0636443	7.722138
ENSPPAG00000000336	0.02987733	0.150182903	0.122711535	0
ENSPPAG00000000337	0	0	0	1.195045
ENSPPAG00000000349	1.29533405	0.6258931115	0.32381935	0
ENSPPAG00000000371	5.395039	2.1544603545	3.4549925	3.403633
ENSPPAG00000000372	0	0	0.1617496	0
ENSPPAG00000000403	1.1573545	4.521159854	7.653061	1.492504
ENSPPAG00000000405	0.1736951	0.358685274	0	0
ENSPPAG00000000426	1.5568985	1.9734484255	0.9303646	0.6380201
ENSPPAG00000000427	0.0553784	0.05841605	0	0.5131754
ENSPPAG00000000428	0	0	0.11811035	0.1202695
ENSPPAG00000000429	1.7096845	3.3201437875	2.7385505	5.775401
ENSPPAG00000000447	0	0	0	2.835215
ENSPPAG00000000450	0.5599335	0.722711538	0.8601841	0
ENSPPAG00000000451	3.341558	3.0288845895	1.4686465	2.774093
ENSPPAG00000000466	2.350646	1.9787578385	1.2377965	5.285339
ENSPPAG00000000467	0.00764059	0.0801042035	0.290923225	6.507912
ENSPPAG00000000477	0	1.294094062	0	0
ENSPPAG00000000478	0.2441372	0	0.37847875	0
ENSPPAG00000000479	0.0591712	0	0	0
ENSPPAG00000000480	3.9944485	4.3382897315	3.787133	5.601536
ENSPPAG00000000492	0	0	0	0
ENSPPAG00000000495	0	0	0	0.6180582
ENSPPAG00000000498	0.68068835	0.7871991315	0.5435485	0.1551987
ENSPPAG00000000502	1.1671192	0.640022921	0.03448767	0.5154057
ENSPPAG00000000507	0.331414	0.5179756125	0.3895333	1.647034
ENSPPAG00000000508	0.21196975	0.23474455	0.22958255	3.317104
ENSPPAG00000000516	0	4.563247095	7.0290725	2.55979
ENSPPAG00000000518	0	0	0	0.4624618
ENSPPAG00000000521	1.394853	1.596024382	1.871894	0.9612833
ENSPPAG00000000536	2.677745	2.6724792715	1.7128615	3.712123
ENSPPAG00000000574	1.554589	1.979893537	1.041869	3.554589
ENSPPAG00000000575	0.5618514	3.6661637035	1.106641005	0.4804761
ENSPPAG00000000576	0	0	0	3.306751
ENSPPAG00000000592	0	0	0	0
ENSPPAG00000000610	2.8719445	2.040396031	0	5.914187
ENSPPAG00000000613	0	0.1135889665	0.16727725	0.5335115
ENSPPAG00000000614	0.1397208	0.3433835355	0	1.137038
ENSPPAG00000000615	0.16111601	0.0880068065	0.459803285	0.8823332
ENSPPAG00000000618	3.2313875	2.8725042505	0.9388012	3.840393
ENSPPAG00000000620	2.0661435	1.488474257	1.4252635	1.738284
ENSPPAG00000000635	5.0908345	5.9541092525	6.427094	6.154057
ENSPPAG00000000636	0	0.4984861075	0	0
ENSPPAG00000000641	0	0	0	0
ENSPPAG00000000642	0	0	0	0
ENSPPAG00000000643	3.2096685	5.39392033	4.1558905	3.100281
ENSPPAG00000000651	0	0	0	0
ENSPPAG00000000657	0.6709615	0.795437518	0.9350265	0
ENSPPAG00000000666	0	0	0	0
ENSPPAG00000000667	0	0	0	0.8306009
ENSPPAG00000000668	1.5528575	2.1083856275	0.85082115	3.18441
ENSPPAG00000000669	0	3.226247275	0.5293695	0
ENSPPAG00000000670	0.60549745	0.650421412	1.2730473	1.145253
ENSPPAG00000000682	6.1699515	6.269218232	5.8718545	7.144281
ENSPPAG00000000684	0	0	0	1.16003
ENSPPAG00000000685	0	0	0.4669019	0
ENSPPAG00000000687	2.98545	4.1591139545	3.4441455	5.775535
ENSPPAG00000000689	0	0.1116501045	0.2322855	1.326314
ENSPPAG00000000690	0.05462025	0.05998795	0	0
ENSPPAG00000000692	3.979369	5.0007370825	4.860578	6.166637
ENSPPAG00000000714	1.391903	0.913925451	0.38107025	3.542914
ENSPPAG00000000723	1.2570771	1.98242533	1.610056	5.680063
ENSPPAG00000000724	0.3730213	0.8773188025	1.0986056	0.172024
ENSPPAG00000000728	0	0	0	0
ENSPPAG00000000731	0	0.128529409	5.1099885	0.6320034
ENSPPAG00000000741	0	0	0	2.090908
ENSPPAG00000000742	0	0	0	0
ENSPPAG00000000746	4.8547565	4.405672456	4.2722365	2.103872
ENSPPAG00000000752	0.85412825	1.3982245755	0.7378581	4.402354
ENSPPAG00000000755	3.0874725	3.285709984	2.5655685	6.723239
ENSPPAG00000000756	0	0	0	0
ENSPPAG00000000774	0.50924655	3.391087646	0.049391675	7.514233
ENSPPAG00000000778	5.000601	5.096133495	3.7886095	5.882932
ENSPPAG00000000781	0	0	0	0
ENSPPAG00000000786	0	0	0	4.049718
ENSPPAG00000000793	0.3534259	0.748050397	0.3631188	1.778314
ENSPPAG00000000803	0	0	0	0
ENSPPAG00000000804	3.9806785	3.946191605	2.5706155	3.397743
ENSPPAG00000000806	0	0.2247717075	0	0
ENSPPAG00000000808	0.32076005	0.137107568	0.19930435	6.698427
ENSPPAG00000000811	0	0	0	3.135054
ENSPPAG00000000812	3.718109	4.708561154	3.69223	5.858369
ENSPPAG00000000816	0.87309995	0.980745463	0.70231075	0.64739
ENSPPAG00000000817	1.5057165	2.4519193105	2.0348454	0.4291639
ENSPPAG00000000820	3.6751755	4.7307251285	5.0594055	0.6068951
ENSPPAG00000000821	1.019779875	0.014036871	0	0.560171
ENSPPAG00000000822	0.70551785	0.6121089195	0.5331672	2.305174
ENSPPAG00000000823	4.2688	4.7781997945	4.116892	3.719867
ENSPPAG00000000824	0	0	0	0.4326398
ENSPPAG00000000830	0.045502025	1.3906542525	0.02184368	0.2256982
ENSPPAG00000000837	3.6294135	6.292172675	6.040422	5.043489
ENSPPAG00000000841	2.489578	3.088720993	2.7691765	4.828977
ENSPPAG00000000845	5.611024	6.407002259	5.951707	7.616915
ENSPPAG00000000855	0.7169195	1.493965621	1.0191594	1.610591
ENSPPAG00000000858	4.6906415	5.655785942	5.080604	6.391716
ENSPPAG00000000861	5.0209215	4.4909453955	3.597888	5.229588
ENSPPAG00000000864	0	0	0	0
ENSPPAG00000000874	0	0	0	0
ENSPPAG00000000875	0.9044251	1.232065657	0.49977255	2.479223
ENSPPAG00000000878	3.476255	4.571816942	3.8759205	5.898541
ENSPPAG00000000879	4.3735095	4.352456497	4.2352445	2.82666
ENSPPAG00000000880	4.2903795	5.07358735	3.609656	4.960808
