kidney	liver
ENSMICG00000000232	6.535938	5.44418483333333
ENSMICG00000000234	6.876308	2.29310683333333
ENSMICG00000000235	2.538809	0.7660377
ENSMICG00000000238	0.4267392	0.00456307333333333
ENSMICG00000000239	0	0
ENSMICG00000000241	2.110524	1.67594061666667
ENSMICG00000000245	6.489618	0.260076068333333
ENSMICG00000000246	5.755705	5.68515116666667
ENSMICG00000000248	6.955117	5.90510283333333
ENSMICG00000000250	6.821238	3.89916
ENSMICG00000000251	6.767265	4.34576583333333
ENSMICG00000000252	5.591048	3.0580285
ENSMICG00000000253	1.566606	1.061531585
ENSMICG00000000254	4.431853	0.409994916666667
ENSMICG00000000255	6.240564	6.778298
ENSMICG00000000256	5.883257	0.784618333333333
ENSMICG00000000259	5.172015	3.71862516666667
ENSMICG00000000260	3.691188	0.532741933333333
ENSMICG00000000261	6.632175	4.8863905
ENSMICG00000000264	1.713887	0.998309413333333
ENSMICG00000000269	3.672199	1.78892195
ENSMICG00000000270	5.098294	2.752458
ENSMICG00000000271	4.52471	0.406418366666667
ENSMICG00000000273	5.520539	3.74959383333333
ENSMICG00000000275	6.01712	1.77011511666667
ENSMICG00000000276	5.687069	1.69882225
ENSMICG00000000277	3.938362	1.15027123333333
ENSMICG00000000288	3.539233	5.151992
ENSMICG00000000293	2.451899	1.60150966666667
ENSMICG00000000295	5.657991	1.7568175
ENSMICG00000000297	5.575026	0.699821833333333
ENSMICG00000000298	1.834974	0.380879118333333
ENSMICG00000000300	5.845747	4.70762566666667
ENSMICG00000000301	5.715258	5.12192166666667
ENSMICG00000000303	5.617085	0.28970285
ENSMICG00000000306	1.444752	0
ENSMICG00000000307	4.052268	2.21841483333333
ENSMICG00000000308	5.931652	3.780298
ENSMICG00000000315	0.3448887	0.11361473
ENSMICG00000000316	0.37127	0.253680811666667
ENSMICG00000000317	4.039305	3.14821233333333
ENSMICG00000000319	5.777493	3.97761316666667
ENSMICG00000000320	5.690258	2.11778605
ENSMICG00000000322	4.620554	3.10292583333333
ENSMICG00000000323	2.31554	1.4073322
ENSMICG00000000325	3.436972	3.063796
ENSMICG00000000327	0.6403942	0.287153298333333
ENSMICG00000000328	4.347099	7.29113633333333
ENSMICG00000000330	0.6556119	0.777697401666667
ENSMICG00000000331	1.479513	0.69505353
ENSMICG00000000332	10.53263	3.83580745
ENSMICG00000000335	2.390343	1.6701625
ENSMICG00000000336	0.5149686	0.0282785666666667
ENSMICG00000000339	4.626786	3.50895333333333
ENSMICG00000000340	2.937026	0.873485141666667
ENSMICG00000000342	6.105971	4.01632583333333
ENSMICG00000000343	3.492148	1.51939503333333
ENSMICG00000000345	0.7105351	0.292289383333333
ENSMICG00000000348	5.359693	4.55630466666667
ENSMICG00000000352	4.259016	0.0865778616666667
ENSMICG00000000353	4.35739	3.65411983333333
ENSMICG00000000354	6.093463	5.41904266666667
ENSMICG00000000358	6.179742	6.0356105
ENSMICG00000000360	3.262907	1.39602953333333
ENSMICG00000000361	3.801819	2.68968933333333
ENSMICG00000000365	4.470825	2.25797433333333
ENSMICG00000000366	4.701804	3.19156233333333
ENSMICG00000000369	4.792014	2.76136916666667
ENSMICG00000000372	3.886592	2.25793771666667
ENSMICG00000000375	0	0.01605869
ENSMICG00000000376	6.435432	3.51269466666667
ENSMICG00000000377	3.056126	1.30522945
ENSMICG00000000380	7.678084	7.77420716666667
ENSMICG00000000382	0	0
ENSMICG00000000385	6.035382	5.1107015
ENSMICG00000000386	4.362112	1.7825366
ENSMICG00000000388	4.885433	2.614456
ENSMICG00000000389	7.722098	6.175874
ENSMICG00000000391	0.5935938	0.0407957
ENSMICG00000000395	5.741847	2.95125516666667
ENSMICG00000000396	1.81572	0.56813235
ENSMICG00000000397	8.236957	7.64150133333333
ENSMICG00000000398	3.560116	1.53982015
