brain	kidney	liver	ovary	testis
ENSFDAG00000000165	0	0	0	0	0.030463285
ENSFDAG00000000168	7.650851	6.321578	5.50642675	6.9878735	7.5061705
ENSFDAG00000000170	0	0	0	0	0
ENSFDAG00000000173	5.011035	5.4453105	5.26005975	5.2127805	5.191014
ENSFDAG00000000174	1.266876	0.98625395	2.067326	1.4420435	0.528255
ENSFDAG00000000177	4.190465	7.0761135	2.164828	4.0878955	1.5664975
ENSFDAG00000000179	0	0	0	0	0
ENSFDAG00000000181	1.859274	1.7312825	0.987428075	0.77456085	3.766212
ENSFDAG00000000183	3.608005	2.11097025	1.98878075	2.993763	4.8183865
ENSFDAG00000000184	4.219014	4.62551075	3.98729025	4.8788805	5.4042645
ENSFDAG00000000187	0	0.106541775	0	0	0.27029105
ENSFDAG00000000188	3.846062	4.07176125	3.1249555	4.9417035	3.6898925
ENSFDAG00000000190	5.739241	3.11874375	1.49095875	4.049593	6.6668815
ENSFDAG00000000193	5.060441	5.14764425	4.2680245	5.433634	5.7147005
ENSFDAG00000000195	0.167873	0.2921262	0.077037525	0.29294685	0.4257721
ENSFDAG00000000197	5.983418	2.6253795	4.140697	3.606606	2.8215465
ENSFDAG00000000198	4.111554	4.266116	1.464730875	4.118777	3.522841
ENSFDAG00000000201	0.7964698	0.161145455	0.1405488375	0.40684491	0.4160186
ENSFDAG00000000202	7.412392	0.8439635	0.25977225	0	3.0066275
ENSFDAG00000000203	1.305124	3.94480025	2.754083	4.233916	3.1917745
ENSFDAG00000000204	1.870345	0.872920125	0.176196325	1.0807199	1.552614
ENSFDAG00000000205	0.5589797	0.12570812	0.670884725	0.194574465	1.8089335
ENSFDAG00000000207	1.529821	0.140601275	0.385781275	1.01682965	1.0030653
ENSFDAG00000000210	0.2454774	0.2544012075	0.0794828825	0.241627	0.2774167
ENSFDAG00000000217	0	0	0	0	2.197788
ENSFDAG00000000218	5.955292	6.45600875	5.87535175	6.684118	4.5893695
ENSFDAG00000000219	1.977104	0.353299275	5.24224425	0.7066115	2.216707
ENSFDAG00000000220	0	0	0	0	0.1192143
ENSFDAG00000000222	0.6163633	2.96458025	3.39178775	2.287891	1.09518195
ENSFDAG00000000223	0.08531111	0	0.0110493175	0.295279915	3.6304405
ENSFDAG00000000225	0	0	0	0	1.6802262
ENSFDAG00000000228	0	0	0	0.05219805	0.1194081
ENSFDAG00000000230	5.161895	1.116846025	1.94828525	3.081131	2.542294
ENSFDAG00000000233	1.809563	0.817684825	0.013899465	1.152397	2.78232
ENSFDAG00000000234	2.080494	2.97293225	2.6746725	3.3672	3.585122
ENSFDAG00000000235	3.41675	4.1835695	3.16416775	4.366931	4.239009
ENSFDAG00000000236	2.788769	3.32149275	3.185948	3.4444955	3.350026
ENSFDAG00000000237	3.032948	3.22161575	3.1284895	3.569958	3.7296445
ENSFDAG00000000239	3.438285	3.99666825	2.66013025	4.424403	3.80558
ENSFDAG00000000241	5.605405	3.61443875	2.08191525	4.2809435	5.364988
