brain	heart	ovary	testis
FBgn0000008	3.11342078181818	1.896477825	3.37293096551724	2.13709337142857
FBgn0000014	0.572062766909091	2.85708875	1.10633858672414	3.36021607142857
FBgn0000015	0.411557176	1.0413374	0.243710148448276	2.33401446619048
FBgn0000017	5.49328514545455	2.6014845	5.53441837931034	3.96873347619048
FBgn0000018	2.77017458181818	3.0083375	3.72596226724138	3.74305733333333
FBgn0000022	0.399974396363636	0.13961775	0.116807138965517	0.197161172619048
FBgn0000024	6.71636129090909	1.46670875	0.515252306551724	1.17606618809524
FBgn0000028	3.85072147272727	0.249722075	0.310398304189655	2.83476753571429
FBgn0000032	4.09757087272727	3.85730925	5.96754067241379	4.75987802380952
FBgn0000036	4.45381321818182	0.300043365	0.0238500304655172	1.42202313619048
FBgn0000037	5.31583703636364	0.42101305	0.0438281762068966	0.455931819761905
FBgn0000038	7.81022818181818	0.6526843	0.396901143103448	2.15496914619048
FBgn0000039	5.73827425454545	0.390282375	0.00923934479310345	0.166072184761905
FBgn0000042	10.4039179454545	9.67567775	10.4830191896552	9.21919457142857
FBgn0000043	6.33925487272727	6.54382525	7.74737722413793	8.63144190476191
FBgn0000044	4.91286592727273	10.73232	5.03239274137931	6.36061673809524
FBgn0000045	3.99270442618182	2.159798	0.201768880517241	1.64949665714286
FBgn0000046	2.97019473818182	6.957639	2.07576191896552	8.28983009523809
FBgn0000047	1.70252189090909	0.568015975	0.260942392586207	0.598154780238095
FBgn0000052	3.5394442	7.12870875	5.14582367241379	3.26788297619048
FBgn0000053	4.05352523636364	6.094379	5.91860515517241	2.82623788095238
FBgn0000055	9.39987818181818	13.23772	8.73252972413793	5.46723619047619
FBgn0000056	4.38036865781818	7.0328325	2.57233816896552	0.80461609452381
FBgn0000057	4.15141447272727	4.0666555	4.06426082241379	5.13466766666667
FBgn0000061	0.310096582727273	0.50343925	0.0222920036206897	0.0232255464285714
FBgn0000063	2.47269304363636	1.079638175	3.94299801724138	3.73134561904762
FBgn0000064	8.83465852727273	9.8020105	6.98330337931035	8.41083126190476
FBgn0000071	2.84767362181818	0.3580840225	0.0779218231034483	0.993573076190476
FBgn0000075	1.02975381636364	0.487119	2.93727431793103	1.53071090238095
FBgn0000077	3.95627690909091	3.99396225	4.10320281034483	1.59319186666667
FBgn0000078	2.50099877545455	5.28341875	0.422097237310345	3.53560171190476
FBgn0000079	2.27386807454545	5.44489625	0.752672386551724	4.86295603333333
FBgn0000083	7.49961427272727	8.51772875	6.89219003448276	6.09786152380952
FBgn0000084	6.79385056363636	6.4123855	5.42924277586207	5.03188192619048
FBgn0000092	1.29462117272727	1.14834925	0.422872840689655	0.255051263095238
FBgn0000094	0.806712187272727	5.5628735	0.278883424137931	6.22144080952381
FBgn0000097	4.30261474545455	3.261471	4.51926536206897	2.61310635714286
FBgn0000100	9.44343963636364	10.54181	10.2773830344828	7.88422541190476
FBgn0000108	8.22228234545454	0.846282225	0.879890318965517	0.988163119047619
FBgn0000109	4.11766098181818	4.53649225	4.75973765517241	2.89740314285714
FBgn0000114	4.95785429090909	3.7799395	8.67905886206897	8.19983954761905
FBgn0000115	5.6704944	5.5013175	5.79219386206897	5.30635311904762
FBgn0000116	10.2695550727273	9.584814	6.77859315517241	7.73344571428571
FBgn0000117	7.77116789090909	5.60337075	6.93518881034483	5.3826335952381
FBgn0000119	3.79192254545455	2.16931825	2.57138412413793	3.03377078571429
FBgn0000120	6.44244996090909	2.97800525	0.283815827758621	4.42903491190476
FBgn0000121	7.06314413272727	4.04859625	0.15304282362069	0.246687542142857
FBgn0000137	1.44675187563636	0.2920769	0.121848017068966	0.0951798754761905
FBgn0000139	5.00918483636364	4.9309425	4.46461947931035	4.08919266190476
FBgn0000140	1.07157698072727	0.342771755	5.19465183275862	4.35225909523809
FBgn0000146	1.16088796909091	2.089114	5.26343963793103	3.94507171904762
FBgn0000147	2.36101516545455	1.175097675	5.20177822413793	5.75287816666667
FBgn0000150	9.5814478	10.638875	10.7956600517241	8.37854807142857
FBgn0000152	2.57457342909091	3.12972625	3.50419418448276	1.77343020714286
FBgn0000153	5.33447667636364	1.73728125	0.598466726206897	0.809755107142857
FBgn0000157	4.00445243636364	0.588595175	0.147396308965517	0.658648145238095
FBgn0000158	0.409307561454545	0.318397995	4.22934732758621	2.38521543095238
FBgn0000163	2.96987424181818	3.37764925	3.8424059137931	3.15427911904762
FBgn0000166	0.834258857090909	0.451187045	4.75059017241379	0.801512126190476
FBgn0000173	7.72693987272727	6.14217825	7.40776570689655	5.78710659523809
FBgn0000179	4.15945847272727	0.188445105	0.181440538758621	0.584388969047619
FBgn0000180	3.06806165818182	0.4823971	1.30090695	1.2848964
FBgn0000181	8.93375358181818	9.09487675	9.86737943103448	8.73259202380952
FBgn0000182	0.255590842490909	0.659086475	7.12594994827586	6.08282839761905
FBgn0000183	5.23573761818182	5.4806935	5.93119005172414	4.22185702380952
FBgn0000206	2.55742539709091	0.5144226	0.0142342664137931	1.41202992642857
FBgn0000212	5.01019767272727	2.74485075	4.41856917241379	2.47244405714286
FBgn0000216	1.50729992363636	0.26151505	0.315896103448276	0.0299235619047619
FBgn0000221	2.86918309090909	2.147224	3.43197425862069	2.91825376190476
FBgn0000227	0.0233382616363636	0.348099675	0.00796381844827586	0.26086725452381
FBgn0000228	4.76599994545455	3.06129525	4.75398005172414	2.48169021428571
FBgn0000229	7.97556963636364	5.1867155	4.09722377586207	5.01770276190476
FBgn0000233	1.11905832727273	0.11367202	0.0554940716034483	0.536022295952381
FBgn0000239	5.70016927272727	5.50122225	6.2272525	6.02799464285714
FBgn0000241	1.37076640909091	0.596029025	0.815281359827586	1.6220784547619
FBgn0000244	4.37027396363636	5.44549275	3.09401758275862	2.67466043309524
FBgn0000246	2.70849138181818	1.44749675	4.82999584482759	2.90798250952381
FBgn0000247	4.03069678181818	2.730923	3.75764794827586	3.5536839047619
FBgn0000250	5.95690881818182	6.2614965	6.9017400862069	4.93668209523809
FBgn0000251	0.834091822363636	1.08753985	5.760417	4.2639144
FBgn0000253	10.8257212181818	8.6021505	9.24130865517241	9.29749766666667
FBgn0000256	4.54883472727273	4.31524025	3.53162860344828	6.89202721428571
FBgn0000257	4.08160821818182	3.54235975	3.88456344827586	2.77982876190476
FBgn0000259	7.35667563636364	5.46244525	7.59851070689655	6.29815304761905
FBgn0000261	6.24733210909091	10.0293515	5.42220173103448	7.04211148333333
FBgn0000273	7.56413843636364	4.263546	5.24323318965517	3.89413516666667
FBgn0000274	0.0679034407272727	1.050493075	1.6834417637931	6.4018599047619
FBgn0000276	1.62146816545455	8.65084775	1.70452427241379	4.40402280952381
FBgn0000277	1.36226676181818	7.957645	0.50787705	1.26696221190476
