brain	heart	liver
ENSMGAG00000000848	5.1887591688	4.4738646412	5.03926064907143
ENSMGAG00000000849	0.057554892	0	0
ENSMGAG00000000850	1.5268440352	1.3574957045	2.81623985907143
ENSMGAG00000000851	2.8884095663	2.3515908748	2.24739985157143
ENSMGAG00000000852	0.980599367	4.6719412198	0.151189375571429
ENSMGAG00000000853	6.4153344648	4.0996746276	3.74645275164286
ENSMGAG00000000854	2.672299885	2.9820429782	1.08142069564286
ENSMGAG00000000855	5.9733739279	2.5774678643	2.11378650264286
ENSMGAG00000000857	1.8557454644	2.0480892004	0.871722460785714
ENSMGAG00000000858	4.9525676576	6.3567288406	1.859938001
ENSMGAG00000000859	3.1940536626	3.308596899	2.1762098235
ENSMGAG00000000860	7.3623055362	6.0814853599	4.13291981985714
ENSMGAG00000000861	1.5834855455	0.0929778218	0.161626775857143
ENSMGAG00000000862	5.6814020631	1.0495937241	0.308207227357143
ENSMGAG00000000863	4.8034274763	3.7204835571	4.4959150285
ENSMGAG00000000864	0.5388737293	0.2204078372	1.27239318807143
ENSMGAG00000000865	0.047604774	0.0173745325	7.341833479
ENSMGAG00000000866	1.0391500815	1.7974556511	0.667283712214286
ENSMGAG00000000867	0.025159428	0.0552867732	5.353061963
ENSMGAG00000000868	4.193931706	2.1821777706	2.61086692064286
ENSMGAG00000000869	0.3982574953	4.93369485	2.53356510007143
ENSMGAG00000000870	4.6775443627	2.7825386212	2.58002291057143
ENSMGAG00000000871	6.2753942208	4.3115015375	4.50755580892857
ENSMGAG00000000872	5.8599051877	4.7620992662	5.45644233714286
ENSMGAG00000000873	1.3079441802	1.8262736301	0.891152681
ENSMGAG00000000875	4.6016556545	3.026190393	2.61514718792857
ENSMGAG00000000877	5.4482243759	4.0618049317	4.12365350814286
ENSMGAG00000000878	4.7393848554	4.3034932381	4.58420323021429
ENSMGAG00000000879	1.6444354089	1.0902959981	1.24056807914286
ENSMGAG00000000880	7.7285303542	9.0215360657	7.45157672121429
ENSMGAG00000000881	2.1549289478	0.9364928888	0.148210918714286
ENSMGAG00000000882	1.4620239107	0.6610325833	0.312522517928571
ENSMGAG00000000883	3.3347863325	3.1007723106	2.36818871707143
ENSMGAG00000000884	6.0861299259	5.7556118857	5.19461040614286
ENSMGAG00000000885	0.6732051279	0.1887863688	0.0637492768571429
ENSMGAG00000000886	0.243737549	0.1287276792	0.0690972715
ENSMGAG00000000887	3.5053670162	1.8639594517	2.72564680714286
ENSMGAG00000000888	7.2374327692	6.0643239295	6.31739831657143
ENSMGAG00000000889	4.2868540817	1.6675563531	0.643897732
ENSMGAG00000000890	3.7441620206	0.3288644968	0.146723906071429
ENSMGAG00000000891	1.5836129693	2.2149682566	1.72481524164286
ENSMGAG00000000893	5.9615311493	5.3951762076	5.95194464542857
ENSMGAG00000000894	5.2199688129	4.325445796	5.55747803885714
ENSMGAG00000000895	0.1464884011	0.6637389796	0.00601001792857143
ENSMGAG00000000896	0.073548523	0.01198733	0.00926427885714286
ENSMGAG00000000897	4.0021387652	1.7972504803	2.63883973942857
ENSMGAG00000000898	5.5688608843	3.2883826841	0.792562267428571
ENSMGAG00000000901	6.6345362506	5.3267512733	4.92006498835714
ENSMGAG00000000902	3.6952060046	2.8773445983	1.55327486657143
ENSMGAG00000000903	0.3614899529	0.7118244821	2.45811702364286
ENSMGAG00000000904	3.7482303181	0	0.0083550135
ENSMGAG00000000905	4.1496505339	3.0672193523	2.36013471207143
ENSMGAG00000000906	2.2657810786	1.7833288874	2.48192713114286
ENSMGAG00000000907	4.0552589865	2.4738286645	3.46623912842857
ENSMGAG00000000909	1.0961938707	1.6115752893	2.49299311542857
ENSMGAG00000000910	0.345273172	0	0.0229789182142857
ENSMGAG00000000911	8.7458981997	7.4323144195	7.56267947942857
ENSMGAG00000000912	0.7922154087	0.1157944688	0.522887476571429
ENSMGAG00000000914	0.9504940773	6.1472694365	0.323068860285714
ENSMGAG00000000915	0.7495308399	1.2043012536	0.569450713
ENSMGAG00000000916	5.8766829854	5.1930915015	4.58836699814286
ENSMGAG00000000917	0.6522960568	1.0388431712	0.757646648214286
ENSMGAG00000000918	4.7803329857	2.9287786963	2.68778306592857
ENSMGAG00000000919	1.7462687807	0.6723902276	0.91783268
ENSMGAG00000000920	1.333310048	0.5497765607	0.635808091857143
ENSMGAG00000000922	2.8372504779	0.7439225867	1.57494649857143
ENSMGAG00000000923	4.0744996441	1.6397764479	1.79027311185714
ENSMGAG00000000924	4.0601738521	2.774820695	3.07791840692857
ENSMGAG00000000925	6.3210259224	0.6030887492	0.374643404071429
ENSMGAG00000000926	0.2992726198	0.0324499774	0.0048416805
ENSMGAG00000000927	0	0	0.0220784274285714
ENSMGAG00000000928	6.7327846387	6.3193420155	7.172185909
ENSMGAG00000000929	4.5361237574	4.1920641097	2.70275943242857
ENSMGAG00000000930	5.3812005687	3.5854717457	3.69722673714286
ENSMGAG00000000931	4.1200061887	2.5630043969	5.37657341171429
ENSMGAG00000000932	0.609215178	0.5386560882	0.692890280428571
ENSMGAG00000000933	3.3423090521	2.3320093739	10.4754908584286
ENSMGAG00000000934	3.6399578491	3.6409660561	3.597853925
ENSMGAG00000000935	5.0467012774	2.8977759924	2.95245385878571
ENSMGAG00000000936	1.709950447	3.8239229069	2.06925226385714
ENSMGAG00000000937	1.5370638405	3.1076296625	5.52777935442857
ENSMGAG00000000938	2.3446940138	1.560104598	3.0342976875
ENSMGAG00000000939	0.8734956154	0.0241719395	0.0517856126428571
ENSMGAG00000000940	2.6707646835	2.3681359466	2.08846695378571
ENSMGAG00000000941	7.34906316	4.556921463	0.276151403928571
ENSMGAG00000000942	4.5921771425	4.3611223666	5.19398405557143
ENSMGAG00000000943	4.7823440741	4.0196800586	3.66252223692857
ENSMGAG00000000944	8.3373284864	7.3485147432	7.88373812214286
ENSMGAG00000000945	3.7136381588	9.9827252611	4.63427609735714
ENSMGAG00000000947	10.6884274409	6.3442400906	10.2512560745714
ENSMGAG00000000948	1.0680941444	0.0731814718	2.31405076042857
ENSMGAG00000000949	0.6988718864	0.7139130198	0.743594263785714
ENSMGAG00000000950	3.2281357508	1.4980049883	2.01866780971429
ENSMGAG00000000951	6.8495166241	6.7324412164	6.29201112342857
ENSMGAG00000000952	2.9153870314	0.8419035856	1.62697787028571
ENSMGAG00000000953	3.1670072225	2.2755560084	2.61333835428571
ENSMGAG00000000954	2.6945220721	2.6044063556	2.00153034464286
ENSMGAG00000000955	7.0894159262	5.750231233	4.023984645
ENSMGAG00000000956	4.0875749453	8.3452788833	3.5376789815
ENSMGAG00000000957	2.9241715946	4.3970825117	3.72534665421429
ENSMGAG00000000958	2.0447501659	3.0088900721	2.67482551885714
ENSMGAG00000000959	7.1100177463	6.312477347	6.35514071392857
ENSMGAG00000000960	3.6402112127	2.6837486555	2.51882291042857
ENSMGAG00000000961	7.9806573805	7.7111646614	7.06728204207143
ENSMGAG00000000962	5.5962391007	4.0855269843	5.49087417885714
ENSMGAG00000000963	3.1392701332	0.8204654254	2.022996216
ENSMGAG00000000964	1.28135695	2.3479022701	2.64739922935714
ENSMGAG00000000966	5.7715014571	5.5803625843	5.57124099464286
ENSMGAG00000000967	1.3707818915	2.9277944654	1.93377850914286
ENSMGAG00000000968	4.0544334728	0.1561015649	0.322719993
ENSMGAG00000000969	4.925042644	3.7461013288	2.79154026121429
ENSMGAG00000000971	3.9275087625	1.5207764735	1.79046350207143
ENSMGAG00000000972	4.5647051108	3.1248761401	1.70085055764286
ENSMGAG00000000973	2.219308374	2.3335052931	1.82240264592857
ENSMGAG00000000974	0	0	0
ENSMGAG00000000975	6.8534710072	6.4957299808	5.82556709385714
ENSMGAG00000000976	1.0106937801	2.7963763795	1.5621698425
ENSMGAG00000000977	1.7555137796	1.1881289588	0.127992096214286
ENSMGAG00000000978	3.0597397578	2.8995733219	3.04161680871429
ENSMGAG00000000979	0.021313697	0	0.0268004928571429
ENSMGAG00000000980	5.8633166024	3.7285776319	4.51393658042857
ENSMGAG00000000981	4.2431295826	0.0464020523	0.0116541241428571
ENSMGAG00000000982	5.4578168618	3.3362938925	3.73847957085714
ENSMGAG00000000983	1.0411065988	1.4228792569	1.92611677621429
ENSMGAG00000000984	6.5400987041	4.680407919	5.95493488278571
ENSMGAG00000000985	1.2186669821	1.0433029985	1.44785060628571
ENSMGAG00000000986	5.4470401302	4.1154721221	1.32006130385714
ENSMGAG00000000987	0.028495588	0	0.278365766571429
ENSMGAG00000000988	1.2199197856	2.409986141	2.22447690021429
ENSMGAG00000000989	5.1478062551	4.0750943778	4.58166304721429
ENSMGAG00000000991	5.0665257586	4.2822711034	4.41725270907143
ENSMGAG00000000992	7.459457909	6.6623797184	5.92347232435714
ENSMGAG00000000993	7.7524663504	5.6858240947	5.69732382092857
ENSMGAG00000000994	0.2786226947	0.0195792986	0.0902267367142857
ENSMGAG00000000995	7.9415808907	6.6912554069	7.90335561935714
ENSMGAG00000000998	4.9330235561	0.2705411069	0.00782752278571429
ENSMGAG00000000999	4.533128014	2.1131295879	2.61722300007143
ENSMGAG00000001000	6.5407563488	5.1843637556	4.6371176865
ENSMGAG00000001001	1.7969077292	1.2966125989	0.898383445357143
ENSMGAG00000001002	3.8145373796	3.1881783018	3.45175752914286
ENSMGAG00000001003	3.319067961	0.3911256456	0.0930682965714286
ENSMGAG00000001004	4.2361865639	2.5423120064	2.8705662745
ENSMGAG00000001005	4.3881993537	0.1893519267	0.349861857857143
ENSMGAG00000001006	2.2139645285	1.7919604608	8.68405274864286
ENSMGAG00000001007	0	0	0.630214588357143
ENSMGAG00000001008	2.7080525561	2.6856294894	3.42747255228571
ENSMGAG00000001009	3.0396332885	3.2838618458	4.28325420514286
ENSMGAG00000001010	0.031376942	0.0092301765	0.206319506785714
ENSMGAG00000001011	6.2601569515	6.7568747028	5.54231382628571
ENSMGAG00000001012	2.4126668577	0	2.00076669628571
ENSMGAG00000001013	3.8044608052	2.7088949825	2.85301739557143
ENSMGAG00000001014	2.9914782595	0.0864450474	0.00318664592857143
ENSMGAG00000001015	5.3045673869	5.3082227543	4.98692867278571
ENSMGAG00000001016	4.5889572467	2.4820679371	2.60573898542857
ENSMGAG00000001017	5.4601939318	1.299547899	0.359633461071429
ENSMGAG00000001018	3.8331050451	2.952353463	2.44508874614286
ENSMGAG00000001019	3.8800932886	0.8817734908	0.240431661428571
ENSMGAG00000001020	6.7018235628	5.5707818309	4.83856247535714
ENSMGAG00000001021	5.1037930264	2.8026914347	0.177137832071429
ENSMGAG00000001022	5.0456972673	0.3539883226	0.153460707142857
ENSMGAG00000001025	1.9818741311	0.2308900495	0.0591152522142857
ENSMGAG00000001026	0.076226218	0	0.675901578428571
ENSMGAG00000001028	5.1631843792	2.2527310617	4.15294620142857
ENSMGAG00000001030	0.4075364445	0.1002775006	0.120171374071429
ENSMGAG00000001031	8.1259290629	0.0497359504	0.308687052785714
ENSMGAG00000001032	0.3351586991	0	0.0115944481428571
ENSMGAG00000001033	1.9329762843	2.6928810862	3.74710382642857
ENSMGAG00000001034	3.3479880431	2.406058401	0.865920186285714
ENSMGAG00000001038	0.229508356	0	0.0607780297857143
ENSMGAG00000001039	0.0156115688	0.0207962114	0.0103718016428571
ENSMGAG00000001040	4.374233628	2.8647892995	2.5309978265
ENSMGAG00000001041	3.8523396651	2.6808907525	3.83658565835714
ENSMGAG00000001043	2.4474360619	3.1080659187	2.57766316157143
ENSMGAG00000001045	5.0801421034	3.3910652388	3.52066134428571
ENSMGAG00000001046	6.2272239879	5.3980836959	5.72064678271429
ENSMGAG00000001047	2.6657125749	0.1635242685	8.14737845914286
ENSMGAG00000001048	1.2570644981	0.4430598713	0.9078723745
ENSMGAG00000001049	1.8083963584	0.0263675061	0
ENSMGAG00000001050	3.8563630255	0	1.6086657675
ENSMGAG00000001051	1.687686493	0.8421113621	1.56720958835714
ENSMGAG00000001052	6.7342192548	6.3998447328	5.11384861728571
ENSMGAG00000001054	1.5738005123	0.0933746075	0.0329013051428571
ENSMGAG00000001055	9.5024244529	9.1353556957	8.69737877735714
ENSMGAG00000001056	9.1383285835	6.5309178939	6.06140728842857
ENSMGAG00000001057	6.4335084213	6.4644204906	7.67077439828571
ENSMGAG00000001059	6.1127108073	0.0343914564	0.0352131606428571
ENSMGAG00000001060	7.1197567557	6.926745328	6.71984343635714
ENSMGAG00000001061	7.6138872804	5.263964629	4.74387635121429
ENSMGAG00000001062	1.7906402049	1.4096554378	1.50201527585714
ENSMGAG00000001063	6.8866362011	4.8389125969	4.10723969878571
ENSMGAG00000001064	6.4189707085	5.4015737667	5.09024830178571
ENSMGAG00000001065	4.8020847888	4.3538987688	4.12400061735714
ENSMGAG00000001066	0.6489603802	0.6967751539	1.1527218375
ENSMGAG00000001067	3.7552255213	3.5128135331	3.96822670607143
ENSMGAG00000001068	0	0.004056606	0.0182946964285714
ENSMGAG00000001069	5.8674033064	0.9871581428	0.432838843785714
ENSMGAG00000001070	6.2756924059	5.179079318	0.545410949785714
ENSMGAG00000001071	1.0909954684	0.9025013669	0.9333517505
ENSMGAG00000001072	0.49211089	0	0.191912109857143
ENSMGAG00000001073	0.6206402983	0.9339918308	2.84937043285714
ENSMGAG00000001074	0.4530820098	0.1077824948	0.0473968647857143
ENSMGAG00000001075	0.1100515199	4.7015065884	0.117880324928571
ENSMGAG00000001076	0.0713523581	2.8242299999	2.010032297
ENSMGAG00000001078	3.9355851403	0.9731018363	1.07874015757143
ENSMGAG00000001079	4.4112992296	3.5354137912	3.83894609578571
ENSMGAG00000001080	6.2105307084	3.8248498728	4.47358903792857
ENSMGAG00000001081	7.7278145197	5.7744216469	4.78387939985714
ENSMGAG00000001082	1.4655161402	1.6864225091	2.47103396171429
ENSMGAG00000001083	2.4334513951	2.1765058163	3.61039050392857
ENSMGAG00000001084	0.6185595699	0	0.0374981692857143
ENSMGAG00000001085	4.3859351686	3.4122182936	4.2241977205
ENSMGAG00000001086	3.1921506629	0.7832148818	0.170970324785714
ENSMGAG00000001087	0.018772595	0.359062589	1.5709875585
ENSMGAG00000001088	4.2584005503	3.3359183082	6.72333272021429
ENSMGAG00000001091	0.9091255717	2.3477905211	1.56826353514286
ENSMGAG00000001094	2.3475172615	2.5002068112	3.77639001635714
ENSMGAG00000001095	4.9892465308	3.7978554506	3.94409516492857
ENSMGAG00000001096	3.6594977168	1.8027974069	2.15980606921429
ENSMGAG00000001097	0	0	0
ENSMGAG00000001098	4.6120884819	1.4517593149	0.789509826285714
ENSMGAG00000001100	5.0172814461	1.0861199769	0.237988369428571
ENSMGAG00000001101	5.4105233015	3.3943408506	3.12683473685714
ENSMGAG00000001102	3.238812017	0.8671423819	1.1223296685
ENSMGAG00000001103	8.2953684449	5.722211915	5.05712042085714
ENSMGAG00000001104	3.7639293688	2.9237873787	3.34031009878571
ENSMGAG00000001105	0	0	0
ENSMGAG00000001107	3.7659195701	2.3041135372	2.19846326028571
