brain	kidney	liver
ENSEEUG00000000120	4.6683965	4.6908885	3.2789185
ENSEEUG00000000121	0	0	0
ENSEEUG00000000122	3.151746	3.0827385	4.1187305
ENSEEUG00000000123	4.6801205	4.002915	3.3683575
ENSEEUG00000000124	0.0555704	0.13459025	0.105506765
ENSEEUG00000000125	3.636025	3.6871655	7.954169
ENSEEUG00000000126	5.91618	6.469602	4.804091
ENSEEUG00000000127	0.517305	0.5076025	0.37364545
ENSEEUG00000000128	9.746827	7.9774145	6.544079
ENSEEUG00000000129	3.066128	4.69736	4.8133495
ENSEEUG00000000130	12.05181	11.18844	10.29726
ENSEEUG00000000131	5.0853405	6.914472	3.9070705
ENSEEUG00000000132	3.833344	3.7834515	2.12878
ENSEEUG00000000133	4.1864405	4.408486	4.2873675
ENSEEUG00000000134	5.929687	3.9278615	1.9131305
ENSEEUG00000000135	0	0	0
ENSEEUG00000000136	3.333556	4.9209115	0.9348745
ENSEEUG00000000137	3.141038	3.1603185	2.2409775
ENSEEUG00000000138	2.169583	1.0529559	0.2118762
ENSEEUG00000000139	0.35468765	2.7404335	0.52041585
ENSEEUG00000000140	11.78302	8.91692	7.600887
ENSEEUG00000000141	2.7171435	1.920125	0.52530445
ENSEEUG00000000142	2.8181855	2.471503	1.5094955
ENSEEUG00000000143	0.22345865	1.2491905	0.51662775
ENSEEUG00000000144	0.31708845	0.14338205	0
ENSEEUG00000000145	5.7841455	5.942162	4.735409
ENSEEUG00000000146	5.9850405	5.509255	4.715628
ENSEEUG00000000147	4.820421	5.977109	4.9471935
ENSEEUG00000000148	5.8499155	5.7450365	5.028802
ENSEEUG00000000149	2.5946905	2.2915445	1.09090815
ENSEEUG00000000150	0.2796088	1.8293155	2.889383
ENSEEUG00000000151	0.7345402	2.6871425	3.702505
ENSEEUG00000000152	7.937409	7.1211065	5.5205585
ENSEEUG00000000153	4.598377	5.3091055	2.637479
ENSEEUG00000000154	4.2925605	3.891042	2.995858
ENSEEUG00000000155	1.03597545	0.093260915	0
ENSEEUG00000000156	2.246725	3.5323685	0.06079185
ENSEEUG00000000157	5.470862	1.0870707	1.14331
ENSEEUG00000000158	3.8140365	0.0861791	0
ENSEEUG00000000159	1.26113	8.02802	0.98555645
ENSEEUG00000000160	2.4170085	4.3656575	2.985508
ENSEEUG00000000161	5.3034	0.06289345	0
ENSEEUG00000000162	4.3431955	4.556595	3.510273
ENSEEUG00000000163	4.5772785	3.6143105	2.428487
ENSEEUG00000000164	5.63207	3.630721	4.173807
ENSEEUG00000000165	4.2736025	5.026756	3.5061125
ENSEEUG00000000166	5.8979935	6.5266795	5.7770335
ENSEEUG00000000167	1.830419	2.455084	1.077959
ENSEEUG00000000168	4.3072625	4.4318205	2.7572625
ENSEEUG00000000169	3.8484785	6.2892235	3.959306
ENSEEUG00000000170	0.80117035	0.77677895	0.20389195
ENSEEUG00000000171	7.1290495	6.2260675	4.460714
ENSEEUG00000000172	0.33238065	0.6410835	0.0766666
ENSEEUG00000000173	0.44673315	0.41133365	0
ENSEEUG00000000174	0	0.1764578	0.38493915
ENSEEUG00000000175	5.296297	5.8411735	4.5107785
ENSEEUG00000000176	1.84244655	2.7449995	2.578862
ENSEEUG00000000177	0.32783495	0.10248475	0.46018015
ENSEEUG00000000178	0	0	0
ENSEEUG00000000179	1.8885395	2.7862215	2.455644
ENSEEUG00000000180	5.3483785	4.7240825	3.3350385
ENSEEUG00000000181	4.508352	4.3615845	2.74237
ENSEEUG00000000182	0	0	0
ENSEEUG00000000183	0	0	0
ENSEEUG00000000184	3.5407555	3.432589	3.070837
ENSEEUG00000000185	5.008609	0	0
ENSEEUG00000000186	5.7042755	4.8760125	3.4727655
ENSEEUG00000000187	0.5735135	0.31026695	0
ENSEEUG00000000188	2.640486	0.9718445	9.4051045
ENSEEUG00000000189	6.717653	6.77426	5.0058415
ENSEEUG00000000190	4.3013985	4.2277265	2.434615
ENSEEUG00000000191	0.22322275	0.24992335	0
ENSEEUG00000000192	0	2.2373125	0.94802075
ENSEEUG00000000193	3.5719675	4.8627565	3.783602
ENSEEUG00000000194	5.702677	5.9486885	5.4278025
ENSEEUG00000000195	3.3792325	6.1698085	2.7736855
ENSEEUG00000000196	7.358132	1.313607	2.5681645
ENSEEUG00000000197	4.3874215	4.5025835	2.244666
ENSEEUG00000000198	0	0.1827018	0.13958805
ENSEEUG00000000199	5.4228535	5.775893	4.5056705
ENSEEUG00000000200	2.450738	3.4905125	3.1259785
ENSEEUG00000000201	1.664434	0.5836922	0
ENSEEUG00000000202	5.5407355	4.8994465	3.4103185
ENSEEUG00000000203	9.400643	9.615613	9.011511
ENSEEUG00000000204	0	0	0
ENSEEUG00000000205	1.6252665	1.596973	0.50545625
ENSEEUG00000000206	0	0	0.3405715
ENSEEUG00000000207	6.320569	5.922689	4.8892835
ENSEEUG00000000208	0	0	0
ENSEEUG00000000209	1.9413005	0	0
ENSEEUG00000000210	5.0541695	2.2752365	1.835188
ENSEEUG00000000211	4.677054	3.8562505	2.019998
ENSEEUG00000000212	4.240385	3.579347	2.634358
ENSEEUG00000000213	0.5535025	0	0
ENSEEUG00000000214	3.3983115	2.8237825	1.2345905
ENSEEUG00000000215	0	0	0
ENSEEUG00000000216	0.29455495	0.038641395	0.12136642
ENSEEUG00000000217	4.4785375	3.640077	2.190657
ENSEEUG00000000218	6.2921465	4.7384565	3.011563
ENSEEUG00000000219	3.4631865	2.646203	0.8768432
ENSEEUG00000000220	7.4743455	0.6918791	0.07460755
ENSEEUG00000000221	9.14962	8.3152835	7.1423535
ENSEEUG00000000222	3.037511	4.2436915	4.4135585
ENSEEUG00000000223	6.1925095	2.718367	6.791835
ENSEEUG00000000224	6.401387	6.853238	5.6720195
ENSEEUG00000000225	4.1279865	4.079611	2.6612515
ENSEEUG00000000226	0.1442797	0.32724105	0.3116151
ENSEEUG00000000227	5.085657	5.41295	3.0097435
ENSEEUG00000000228	7.2956295	7.4058	4.4756095
ENSEEUG00000000229	3.2555525	3.598082	2.2582105
ENSEEUG00000000230	8.131494	4.9090395	2.7148575
ENSEEUG00000000231	0	0.035300385	0
ENSEEUG00000000232	4.5340885	4.110069	2.701983
ENSEEUG00000000233	10.84596	10.898045	9.4488365
ENSEEUG00000000234	0	0	0
ENSEEUG00000000235	0.88930685	0	0.41780885
