brain	heart	kidney	liver	testis
ENSMFAG00000000107	3.6984105	4.4781335	4.2521862	3.690745	4.43581
ENSMFAG00000000108	5.1864905	5.101304	5.9952266	5.2360256	5.615502
ENSMFAG00000000109	2.345094	4.5539555	4.9567264	4.6549674	3.368884
ENSMFAG00000000110	1.608564	2.78298	6.0486174	3.0455228	3.0915
ENSMFAG00000000111	6.282802	3.2147625	3.2199824	0.5848265	2.636082
ENSMFAG00000000112	0.13170895	0	0.09091984	0.06769356	0
ENSMFAG00000000113	4.398068	3.892865	5.2968378	4.4814338	5.859179
ENSMFAG00000000114	1.495388	2.3341905	2.951875	3.2854224	4.243512
ENSMFAG00000000115	0.140152765	0.17331075	3.9374926	0.18912688	5.265377
ENSMFAG00000000116	0.38274275	0.6750705	1.9609398	0.57444096	0
ENSMFAG00000000117	0.069927185	0.11563013	0.080845006	0.069740694	0.2462524
ENSMFAG00000000118	4.366443	3.0090395	4.173894	3.4564906	2.992701
ENSMFAG00000000119	1.18942655	0.7380335	1.06989176	0.2363233	1.778238
ENSMFAG00000000120	5.1375715	5.080118	4.4065936	3.1295286	5.679291
ENSMFAG00000000121	2.340708	0.172711395	1.8285342	0.04800632	0.4956921
ENSMFAG00000000122	3.3801475	3.887078	3.7981574	1.458512	4.231924
ENSMFAG00000000123	0	0	0	0	9.391218
ENSMFAG00000000124	6.4266205	0.272768125	1.48088816	0.32462374	4.390888
ENSMFAG00000000125	5.3855425	5.6060325	6.0430052	4.8941462	5.796227
ENSMFAG00000000126	0.6172727	0.5747003	0.1686212	0.0791069	0.5009937
ENSMFAG00000000127	0.17709811	0.48555065	5.0995742	4.79036724	0.8591848
ENSMFAG00000000128	6.105381	4.176224	5.091269	3.443014	4.838542
ENSMFAG00000000129	2.685813	2.5151565	2.55802958	2.392081	0.8059115
ENSMFAG00000000130	4.1430285	5.2675085	5.3188936	4.096836	5.689928
ENSMFAG00000000131	2.583571	2.8167765	3.1985294	2.561537	6.442226
ENSMFAG00000000132	8.0730255	7.313859	7.662541	5.6065942	6.287964
ENSMFAG00000000133	5.0539805	4.233823	3.0864466	2.365012	5.165539
ENSMFAG00000000134	2.6468485	0.0504159	0.21028566	0	1.687759
ENSMFAG00000000135	0.0174457	0.014018055	0.21519126	0.42816738	1.118592
ENSMFAG00000000136	0	0.04944206	0.06548256	0.006665936	3.434736
ENSMFAG00000000137	0	0	0	0.0996042	0.6110335
ENSMFAG00000000138	3.675061	2.840996	3.3815644	2.6564444	3.464469
ENSMFAG00000000139	4.9056985	5.7501805	5.2479908	4.2545062	6.565158
ENSMFAG00000000140	2.850429	0.07279361	0.59832134	0.0018690762	0.7078838
ENSMFAG00000000141	2.8425195	0.938618515	1.3803388	0.0308373696	2.470295
ENSMFAG00000000142	3.582394	1.938745	4.3088682	2.4120958	2.479831
ENSMFAG00000000143	3.0667825	5.598996	6.943594	5.5766624	5.019128
ENSMFAG00000000144	1.8731635	3.7732835	3.982687	3.0544564	3.983133
ENSMFAG00000000145	7.908091	10.38744	8.5145416	7.1517954	7.809687
ENSMFAG00000000146	5.5318505	5.3628675	5.2245274	4.1677066	8.50838
ENSMFAG00000000147	1.8684985	3.4148595	2.6049468	2.3270916	1.581783
ENSMFAG00000000148	0.93056135	1.8960265	3.7532086	0.5627546	2.845366
ENSMFAG00000000149	0.1806522	0.54728265	0.63763966	1.4039283	1.003811
ENSMFAG00000000150	6.7454275	7.77186	7.4141652	7.7132382	6.490697
ENSMFAG00000000151	2.242458	5.3432145	9.078634	4.4669814	6.506756
ENSMFAG00000000152	0.0696496	2.3596145	1.35063576	0.256860142	2.531446
ENSMFAG00000000153	0.0589467	0.1393048	0.35999288	0.22911114	0.1459591
ENSMFAG00000000154	5.8288385	2.8235735	3.8951394	1.668771	5.993332
ENSMFAG00000000155	3.030583	4.3466265	4.122659	2.6812988	3.300608
ENSMFAG00000000156	0.75828845	2.9253705	2.23670904	1.2760689	0.819727
ENSMFAG00000000157	1.61737315	0.15301675	0.24672844	0	0.2030683
ENSMFAG00000000158	0.2956542	0.34004215	2.1490592	0.8865717	6.0442
ENSMFAG00000000159	0.68775425	0.59930855	0.6894644	1.12757018	0.6590157
ENSMFAG00000000160	0.33958315	0.14162735	0.3903196	0.37127046	4.774761
ENSMFAG00000000161	4.717106	2.9151675	4.3110426	3.0969288	5.654885
ENSMFAG00000000162	5.174522	3.858402	3.0206952	2.954185	2.416243
ENSMFAG00000000163	2.0901705	12.80849	0.83025306	0.011739078	4.657119
ENSMFAG00000000164	0	0	0.09303964	0	6.843167
ENSMFAG00000000165	2.8331955	4.6231115	4.912395	3.946631	4.615181
ENSMFAG00000000166	0.59087585	0	2.32070872	0.70331552	0.6530453
ENSMFAG00000000167	4.612384	3.0700955	2.4573984	0.203833624	2.221862
ENSMFAG00000000168	2.433536	2.0860235	4.5588018	5.6539484	3.298649
ENSMFAG00000000169	0.36599605	3.968408	5.0387152	3.8319432	6.898329
ENSMFAG00000000170	0.154651335	2.3473935	1.37908556	0.85600462	2.153625
ENSMFAG00000000171	2.44731	3.4981185	4.3864102	5.035023	5.336753
ENSMFAG00000000172	0.08429665	2.228744	1.935523134	1.16635024	1.142168
ENSMFAG00000000173	2.4315305	2.907627	3.4164892	2.617657	4.238336
ENSMFAG00000000174	3.3893705	5.743729	5.3036058	3.8166924	4.190838
ENSMFAG00000000175	0	0.71925995	1.01048476	0.2136515	0.3306743
ENSMFAG00000000176	6.973381	5.2216605	5.5976252	4.5107046	5.318221
ENSMFAG00000000177	0	0.177510325	0.05419266	0.042924394	0.9143158
ENSMFAG00000000178	3.9398965	4.953243	4.3398692	3.1676204	4.710272
ENSMFAG00000000179	4.687788	3.3664955	4.1189906	2.2786554	5.235413
ENSMFAG00000000180	1.6747665	2.912884	3.7233554	1.27102394	2.089861
ENSMFAG00000000181	0.10290705	2.5373425	0.58986194	0.09215292	0.3695257
ENSMFAG00000000182	0	0	0.13705846	0.06578498	0
ENSMFAG00000000183	0.6981235	1.618581	1.9016832	0.66878416	4.203042
ENSMFAG00000000184	1.07926125	0.53769785	6.7047094	0.645042046	1.742859
ENSMFAG00000000185	2.1055495	3.7504135	3.1686086	1.84640958	1.953548
