brain	heart	kidney	liver	ovary
ENSSBOG00000021910	2.455062562	2.814007	2.501897	2.12375359	2.29548471
ENSSBOG00000021911	0	0	0.1881857	0	0.17929957
ENSSBOG00000021912	4.947656807	3.91511	5.087386	3.929024007	5.37124171
ENSSBOG00000021913	0	0	0	1.527120393	0
ENSSBOG00000021914	0	0	0.3725354	0	0.61978766
ENSSBOG00000021915	6.147757837	2.316637	4.098505	2.365028588	4.46962163
ENSSBOG00000021916	5.35714377	1.045709	2.133366	0.358759703	4.25184783
ENSSBOG00000021917	3.590787437	2.157739	3.500954	2.085603466	3.98740555
ENSSBOG00000021918	5.160185185	2.282363	4.019922	2.222829595	4.85976982
ENSSBOG00000021919	5.497593845	4.327728	5.394949	4.186223291	5.82634611
ENSSBOG00000021920	7.016256727	6.139412	6.100366	4.398644517	6.18023739
ENSSBOG00000021921	6.696786743	1.038759	0.5372762	0.186342081	1.39383901
ENSSBOG00000021922	2.10524896	2.528794	4.242519	3.328938403	4.43091414
ENSSBOG00000021923	0.131687329	0.1092887	0.1025281	0	0.15241319
ENSSBOG00000021924	0	0	0	0	0
ENSSBOG00000021925	0	1.575951	0	0	0
ENSSBOG00000021926	2.788955016	0.9869446	3.006357	1.089748974	2.54929459
ENSSBOG00000021927	3.359733399	3.731987	2.988092	1.353645109	3.38072252
ENSSBOG00000021928	5.561283362	3.637713	4.221854	4.546982716	4.81913167
ENSSBOG00000021929	1.825376568	1.635987	5.523781	1.50432801	7.45598783
ENSSBOG00000021930	0	0.1480633	1.85614	4.935814249	0.19057441
ENSSBOG00000021931	5.586660155	3.205299	5.123063	2.235837325	5.54250601
ENSSBOG00000021932	0	0.2363302	0.6701002	0.905623006	2.53996302
ENSSBOG00000021933	3.416327683	2.417154	3.725896	2.551603623	3.91199159
ENSSBOG00000021934	0.714139112	0.8241927	0	0	0
ENSSBOG00000021935	4.512359644	3.144567	4.587659	4.604545816	5.71718836
ENSSBOG00000021936	3.790945901	2.480614	4.043768	2.308278736	4.86356534
ENSSBOG00000021937	4.508096972	2.661166	4.320152	4.632117946	4.43797806
ENSSBOG00000021938	5.189388918	2.709552	4.182164	2.982764915	5.07873834
ENSSBOG00000021939	3.838941685	2.888147	4.664062	1.272668225	5.32974074
ENSSBOG00000021940	8.141473665	7.531132	7.707849	6.785785925	7.11127132
ENSSBOG00000021941	4.319047043	3.420837	3.627852	3.035384614	4.24490989
ENSSBOG00000021942	0	0	0	0	0
ENSSBOG00000021943	5.486994262	4.240032	5.359757	4.912764816	5.39412653
ENSSBOG00000021944	2.268203807	2.445055	2.000545	1.273629272	3.05597997
ENSSBOG00000021945	5.632373214	3.946966	4.849062	3.910754341	5.008408
ENSSBOG00000021946	1.220843785	0.3084646	0.8959563	0.926451898	1.76737937
ENSSBOG00000021947	6.488204881	5.199511	5.594883	5.683435398	6.27189064
ENSSBOG00000021948	3.54334245	2.809585	3.660982	3.331886187	4.03878733
ENSSBOG00000021949	0.850712227	0	1.209534	0	1.83979032
ENSSBOG00000021950	0	0	0	0	0
ENSSBOG00000021951	1.653234323	0.9915746	1.182174	0.901472058	1.77043666
ENSSBOG00000021952	6.620329811	0.2991227	0.5820839	0.419584194	0.89081787
ENSSBOG00000021953	0	0.2363628	0	0	0
ENSSBOG00000021954	0.90589768	0.7214199	1.546255	1.296022698	2.51667833
ENSSBOG00000021955	0	0	0	0	0
ENSSBOG00000021956	2.644726161	2.617353	4.150308	3.409194037	4.63119743
ENSSBOG00000021957	0	0	0	0.431549152	0
ENSSBOG00000021958	0	0	0	0	0
ENSSBOG00000021959	4.863738778	4.148684	5.06772	3.638139887	5.72097994
ENSSBOG00000021960	5.718869441	3.946662	5.520429	4.523296351	6.34037916
ENSSBOG00000021961	2.649631553	1.009677	3.00396	2.537979353	3.1090847
ENSSBOG00000021962	7.425364467	6.09653	7.528109	7.685130016	7.5576184
ENSSBOG00000021963	1.147143857	0.02780361	0.2251157	0.108703758	0.5752339
ENSSBOG00000021964	6.345316531	0	0	0	0.10121626
ENSSBOG00000021965	2.836614948	0	1.872482	0	0
ENSSBOG00000021966	0.242258596	0.1194113	0	0	0
ENSSBOG00000021967	0	0	2.626689	0.256172525	4.596148
ENSSBOG00000021968	0	0	0	0	0
ENSSBOG00000021969	0	0	0	0	0
ENSSBOG00000021970	0	0	0	0.195734365	0.21838565
ENSSBOG00000021971	2.475085921	3.19894	4.623229	2.319126548	5.63933434
ENSSBOG00000021972	0.163028492	0	0	0	0
ENSSBOG00000021973	4.411710282	3.087214	3.209153	2.826937346	3.50500524
ENSSBOG00000021974	1.124831005	0	2.928207	0	1.1125667
ENSSBOG00000021975	0	0	0	0	0
ENSSBOG00000021976	3.726473441	4.869522	5.789072	3.240887172	7.78020503
ENSSBOG00000021977	5.153447536	0.3939961	0.9761253	0.246396667	1.29169196
ENSSBOG00000021978	3.124230518	0.8234665	1.4018	0.584829767	2.31827634
ENSSBOG00000021979	4.416615485	1.848776	3.600222	2.75538755	4.15247225
ENSSBOG00000021980	0	1.32269	1.55612	0	0
ENSSBOG00000021981	4.230676455	0.6271259	5.133798	6.460582037	2.36768082
ENSSBOG00000021982	5.069085247	2.744222	3.247645	2.566930877	3.74766176
ENSSBOG00000021983	4.757743347	3.713322	4.524709	3.573447241	5.26165643
ENSSBOG00000021984	5.733759676	0.7877801	0.2559587	0.206640724	5.70686121
ENSSBOG00000021985	3.330407813	2.10925	2.697387	1.826855552	3.08047276
ENSSBOG00000021986	4.631317352	3.934316	3.927028	3.400863046	4.53407406
ENSSBOG00000021987	3.797975837	7.021823	5.97203	6.475518761	5.16555022
ENSSBOG00000021988	8.308211594	8.073445	8.068047	7.394196854	8.36299581
ENSSBOG00000021989	3.353302116	5.857184	3.9823	2.072568898	3.66755711
ENSSBOG00000021990	4.091429087	3.439733	4.511266	2.885086226	4.74088386
ENSSBOG00000021991	1.900802676	0.9016396	1.453998	0.808553098	1.3650329
ENSSBOG00000021992	0	9.819114	0	0.468288232	0.49801185
ENSSBOG00000021993	0.429717719	0	0.1790282	0.294320196	0
ENSSBOG00000021994	3.426193625	1.62106	2.089918	0.692243278	4.1838398
ENSSBOG00000021995	5.507775616	4.32791	4.786277	6.195048318	5.01421244
ENSSBOG00000021996	6.045347732	3.875021	4.823051	3.470934153	5.2717704
ENSSBOG00000021997	3.048823818	6.691869	7.718396	5.004335091	5.88221507
ENSSBOG00000021998	0	0	0	0	0
ENSSBOG00000021999	1.925612117	2.344851	2.659573	1.988186587	3.67449455
ENSSBOG00000022000	0	0	0	0	0
ENSSBOG00000022001	0	0.5762619	0	0	0
ENSSBOG00000022002	6.613203061	5.43071	6.992474	6.130813523	8.44070724
ENSSBOG00000022003	0.471977565	0.4744848	1.596267	1.803304336	2.22033243
ENSSBOG00000022004	4.87843746	5.442496	6.063116	5.730977904	6.49903424
ENSSBOG00000022005	5.781816058	5.705953	6.53845	6.006959968	6.10534829
ENSSBOG00000022006	3.057101904	2.916996	2.834434	2.969750417	2.88311246
ENSSBOG00000022007	4.582939507	2.170069	3.574674	2.39328192	4.72923951
ENSSBOG00000022008	0.239027696	0	1.06653	0.293456419	3.72670045
ENSSBOG00000022009	2.585719717	1.308798	2.685997	2.256186417	2.46871364
ENSSBOG00000022010	4.266486729	2.341132	3.483597	2.482905061	4.11115654
ENSSBOG00000022011	1.634384167	1.716407	4.23018	8.995614536	1.11795431
ENSSBOG00000022012	4.216757497	0.4237255	5.317839	4.922302526	3.2578253
ENSSBOG00000022013	3.414119292	1.127627	3.030695	1.664305337	3.63740158
ENSSBOG00000022014	0	0	0	0	0
ENSSBOG00000022015	4.220825216	0.05509526	1.732959	0	0.45153978
ENSSBOG00000022016	1.761390812	1.161877	0.9547011	0.828536536	1.79331078
ENSSBOG00000022017	0.101307042	0.3667704	3.613141	0.524946279	3.18704543
ENSSBOG00000022018	0	0	0	0	0
ENSSBOG00000022019	4.125145541	3.060404	4.462222	3.172921091	4.96445316
ENSSBOG00000022020	1.063026567	0.4604102	0.5673946	0.694348916	1.94042613
ENSSBOG00000022021	0	1.304342	1.536521	0	3.00682042
ENSSBOG00000022022	0	0	0	7.134559802	0
ENSSBOG00000022023	3.273233888	0.6834522	4.006383	0.138887847	3.48803677
ENSSBOG00000022024	2.881415992	2.871045	6.346992	6.751396769	6.17537889
ENSSBOG00000022025	3.643359817	3.359886	3.264482	3.217426165	3.82507418
ENSSBOG00000022026	4.422031117	5.837991	6.35888	9.737433267	6.9162736
ENSSBOG00000022027	0	0	0	0	0
ENSSBOG00000022028	0.502327546	0	2.192775	1.313124509	2.28917345
ENSSBOG00000022029	0.736171028	0	0.872568	1.90799816	1.37651766
ENSSBOG00000022030	0.745880108	0.2646589	0.5743558	0.511732163	1.26373755
ENSSBOG00000022031	4.119571984	3.757418	4.056375	4.196079785	4.25128736
ENSSBOG00000022032	0	0	0.2384983	0.290624928	1.7533692
ENSSBOG00000022033	1.071659714	1.402935	2.452511	0.683322797	3.00347721
ENSSBOG00000022034	4.81933097	2.409519	3.313166	4.179582706	3.73124842
ENSSBOG00000022035	4.731791479	1.31867	4.048524	2.791647396	4.67514974
ENSSBOG00000022036	0.700015281	0	0.5673946	0	0
ENSSBOG00000022037	2.230836283	0.4247308	0	0.154725774	1.09148997
ENSSBOG00000022038	1.793804346	0.5978124	2.089291	2.264473377	3.52418908
ENSSBOG00000022039	2.366364183	2.099713	2.573696	1.823084916	3.16243129
ENSSBOG00000022040	0	0	1.215573	0	0
ENSSBOG00000022041	2.141001095	0.28183	1.839561	2.038681995	1.12857056
ENSSBOG00000022042	2.629967377	0.8560495	2.506912	1.827619878	3.52724553
ENSSBOG00000022043	8.153952232	0	6.590593	3.444516005	5.84836004
ENSSBOG00000022044	3.455886105	1.813233	3.432077	2.774061709	3.3047432
ENSSBOG00000022045	3.943030499	3.936025	4.043633	3.275856318	4.34950682
ENSSBOG00000022046	0.455241199	0	0.536603	0.545965405	0.98391259
ENSSBOG00000022047	5.7588046	4.494414	5.212346	4.803412689	4.77052711
ENSSBOG00000022048	2.05079073	0.5315307	3.980802	2.030445557	3.8536464
ENSSBOG00000022049	3.467181645	0.3054546	3.800348	0.307515959	2.93712025
ENSSBOG00000022050	3.312792943	1.929193	3.926208	2.940285169	4.03686374
ENSSBOG00000022051	5.533033765	2.741014	4.201046	3.387424582	4.91709754
ENSSBOG00000022052	6.422841846	0.4550676	0.6110184	0.310691444	1.45744195
ENSSBOG00000022053	0.972263273	0.6581585	0	0	0
ENSSBOG00000022054	4.59068884	3.67533	5.021756	5.496925661	4.79396198
ENSSBOG00000022055	5.589708067	4.580979	5.377651	3.434556175	5.75839619
ENSSBOG00000022056	5.665127813	2.978214	4.130896	2.184102526	5.1491313
ENSSBOG00000022057	0.857772436	0.8979831	0	0	0
ENSSBOG00000022058	0	0	0	0	0
ENSSBOG00000022059	0.802786306	0.3887626	0.878967	0.255956281	0.89937442
ENSSBOG00000022060	0	0	0	0	0
ENSSBOG00000022061	2.166715445	0.08697285	0.4023544	0	1.04368046
ENSSBOG00000022062	0	0	4.118999	0	2.33802443
ENSSBOG00000022063	2.817613026	1.73888	2.466575	2.170667958	3.30624766
ENSSBOG00000022064	4.165423992	0.8858992	0.637306	1.108913806	1.75572082
ENSSBOG00000022065	2.976350804	2.16365	3.335475	2.343916585	3.35828935
ENSSBOG00000022066	6.706832846	5.013773	6.078078	5.984281435	6.51257614
ENSSBOG00000022067	2.582187455	1.829253	2.986458	2.649206158	3.58912827
ENSSBOG00000022068	3.983823598	1.850503	3.321497	2.917154838	3.69676171
ENSSBOG00000022069	0	0	0	0	0
ENSSBOG00000022070	2.122222117	3.35089	5.696781	1.815866398	7.49611876
ENSSBOG00000022071	6.790863246	6.347774	6.213322	4.233423342	5.7089928
ENSSBOG00000022072	2.076722578	0.7087796	2.144882	1.336467927	2.86824603
ENSSBOG00000022073	0	0.3873195	0.4690014	0.949764252	1.86863936
ENSSBOG00000022074	1.418778242	0.07873128	2.448719	0.130239924	0.45489601
ENSSBOG00000022075	3.754974061	0	7.042978	7.348869585	3.9293229
ENSSBOG00000022076	2.356946649	2.721845	2.616089	2.216565682	3.53529031
ENSSBOG00000022077	0.55754243	0.1262705	0.8515176	1.749087982	3.45830325
ENSSBOG00000022078	2.556539775	1.513678	3.138357	0	5.460926
ENSSBOG00000022079	3.13241233	2.384528	4.92967	5.14310766	4.92313016
ENSSBOG00000022080	6.247373108	0.6822056	0.07097783	0.055552743	1.12167193
ENSSBOG00000022081	0	0	0	0	0
ENSSBOG00000022082	4.018402726	1.017259	2.245438	0.41622579	3.38755831
ENSSBOG00000022083	3.907621376	2.292676	2.435693	1.546566074	3.01157078
ENSSBOG00000022084	1.513677703	0.9878942	1.612645	1.127745522	1.02762119
ENSSBOG00000022085	1.546202541	0.7569678	0.4253519	0.41183947	0.80210551
ENSSBOG00000022086	2.201732024	0.7392622	1.666642	0.875172195	1.85823369
ENSSBOG00000022087	5.841593532	2.677764	3.589741	1.897467753	4.12643604
ENSSBOG00000022088	1.079176692	3.825044	1.251519	2.43056629	2.6045814
ENSSBOG00000022089	3.741671915	2.106181	3.07432	1.203796282	4.03654536
ENSSBOG00000022090	7.725852721	0.7697666	2.161493	0	0.23411144
ENSSBOG00000022091	1.820746736	1.258537	2.819433	2.782117061	2.97933213
ENSSBOG00000022092	0.274406117	4.527978	5.212538	5.790343022	5.52148109
ENSSBOG00000022093	0	0	4.720519	2.261675228	5.15363107
ENSSBOG00000022094	6.982476649	0	1.137826	0.173946242	0.14332811
ENSSBOG00000022095	3.972171536	3.265998	3.652886	2.327750588	4.13287374
ENSSBOG00000022096	1.771264431	0.857899	3.073418	1.635508311	4.72613367
ENSSBOG00000022097	0.890299594	0.1057667	0.354556	0.290486923	2.84715709
ENSSBOG00000022098	7.962098515	0.8483231	3.979435	0.439344411	3.48631407
ENSSBOG00000022099	3.89964936	4.752031	4.130816	3.301921213	4.35198161
ENSSBOG00000022100	1.665712605	0.3403847	1.080446	0.358759478	1.91488326
ENSSBOG00000022101	0	0.8275524	0	0	0
ENSSBOG00000022102	3.765298274	2.395838	3.20809	2.395049086	3.92797987
ENSSBOG00000022103	10.613172481	9.090674	10.91196	9.456927272	11.91093499
ENSSBOG00000022104	0	0	0	0.352401479	0.06756562
ENSSBOG00000022105	7.041372008	5.686019	5.235542	4.59583607	5.61218852
ENSSBOG00000022106	10.739746862	9.834585	10.65089	9.795141905	11.95965292
ENSSBOG00000022107	2.390389794	1.877672	2.574924	1.968931234	3.46062463
ENSSBOG00000022108	0.940833526	0	0.2377668	0	2.00793676
ENSSBOG00000022109	3.304867291	1.216933	1.573099	0.048144793	3.36500798
ENSSBOG00000022110	5.152999958	0.8401289	4.044937	2.185365478	5.02849003
ENSSBOG00000022111	5.406248894	3.641692	4.275244	1.837656692	5.03686669
ENSSBOG00000022112	0	0	3.388866	1.111158211	0.174772
ENSSBOG00000022113	4.28990232	4.818015	4.965894	3.358569392	5.14047872
ENSSBOG00000022114	0.847750024	0	0.204977	0	0.07303157
ENSSBOG00000022115	2.977697558	3.029803	4.902267	2.852290544	4.76735818
ENSSBOG00000022116	3.25495981	1.927786	3.490917	2.781047008	3.93001818
ENSSBOG00000022117	0.674937882	0.3009976	0.99033	0.244360186	0.69874478
ENSSBOG00000022118	3.232570816	0.759132	2.257308	1.397611867	3.35645373
ENSSBOG00000022119	3.319486433	1.807132	3.46301	2.249393761	4.24171055
ENSSBOG00000022120	1.973662701	0.1323456	0.7536499	0.925108469	3.078714
ENSSBOG00000022121	4.382054358	4.341209	3.967456	5.476801602	3.67175713
ENSSBOG00000022122	2.686729099	1.549068	3.385408	2.242907322	3.46343936
ENSSBOG00000022123	0	0	0	0	0
ENSSBOG00000022124	4.709274091	3.560984	4.62286	4.613463288	5.09045121
ENSSBOG00000022125	4.533665026	4.677951	3.872592	3.237393	4.12842292
ENSSBOG00000022126	4.849400347	3.748322	5.25508	4.058053219	5.86658905
ENSSBOG00000022127	3.271981371	1.849919	3.55341	3.121809494	4.4223743
ENSSBOG00000022128	0	0	0	0	0
ENSSBOG00000022129	0.914049347	1.134458	0.8394646	1.350027588	0.64994833
ENSSBOG00000022130	1.22125843	0	2.591332	0	1.50686594
ENSSBOG00000022131	2.998193698	0	1.577828	0.835219932	2.81246742
ENSSBOG00000022132	4.47872012	2.884091	3.731653	2.667938209	4.59237451
ENSSBOG00000022133	4.407978101	2.954565	4.853781	3.404514883	3.69434535
ENSSBOG00000022134	2.320499119	0.2389849	0.08375582	0.166013527	0.2157432
ENSSBOG00000022135	5.451619955	3.279599	3.998058	2.300554272	4.83506153
ENSSBOG00000022136	0.023250242	0	0.009122157	0.453088724	0
ENSSBOG00000022137	4.875200117	4.901451	4.592774	3.607567044	3.95583354
ENSSBOG00000022138	5.465670879	3.745442	5.816833	5.311982578	5.34959882
ENSSBOG00000022139	2.524735707	3.783111	2.019755	1.757770011	3.25819176
ENSSBOG00000022140	6.307976718	4.24094	5.937104	1.506642561	2.90943327
ENSSBOG00000022141	6.421960451	4.095519	4.841998	5.271959715	5.47410619
ENSSBOG00000022142	0.664181891	0.5506113	0.8041045	1.032191988	1.24056059
ENSSBOG00000022143	6.526511759	5.26111	6.583361	9.18852629	6.64527799
ENSSBOG00000022144	4.954354533	3.236825	5.070527	5.858769287	4.47572046
ENSSBOG00000022145	4.587160935	2.930098	0	0	4.02550725
ENSSBOG00000022146	3.366541837	3.408572	4.136864	3.68230361	5.1861083
ENSSBOG00000022147	3.434193185	1.947662	3.471178	2.369706843	4.0190409
ENSSBOG00000022148	3.06785642	4.009752	4.8872	2.819813656	4.78919871
ENSSBOG00000022149	4.77335815	2.978216	6.599965	6.69133874	4.18252546
ENSSBOG00000022150	3.448915484	2.263885	2.637327	2.913804708	2.75260089
ENSSBOG00000022151	3.841270615	1.967602	3.80123	2.494515712	4.52110292
ENSSBOG00000022152	8.17633539	7.688194	9.052378	8.055680093	10.86926096
ENSSBOG00000022153	1.036024994	1.125281	1.549235	0.765550871	2.30293022
ENSSBOG00000022154	3.64878754	0.6245033	0.6205883	0.290931558	0.94012088
ENSSBOG00000022155	2.310851954	1.301833	1.682465	1.614705133	5.38684129
ENSSBOG00000022156	0	1.097746	0	0	2.12793697
ENSSBOG00000022157	3.080790672	1.653275	3.166171	2.933293136	3.50878358
ENSSBOG00000022158	8.291577314	4.945238	5.529003	3.051523498	7.39461017
ENSSBOG00000022159	2.147042886	0.0474503	0.7812976	0.561974195	1.69701314
ENSSBOG00000022160	1.588890896	1.567531	1.31317	0.55838618	4.09448877
ENSSBOG00000022161	4.522984763	4.852156	4.321673	3.796749013	3.91472237
ENSSBOG00000022162	4.30243531	3.590988	5.811638	6.494651133	5.77464555
ENSSBOG00000022163	3.847425727	0.8023885	0.4347483	0.247864337	4.86844478
ENSSBOG00000022164	4.131787833	2.621247	3.574517	2.591324922	4.7036002
ENSSBOG00000022165	1.82650171	1.555325	2.661839	1.870506763	0
ENSSBOG00000022166	2.726506465	0	0.063018	0	0.23544891
ENSSBOG00000022167	0	0	0	0	0
ENSSBOG00000022168	0	0	0	0	0
ENSSBOG00000022169	1.135344424	0.8174685	1.5309	0.556082097	2.52512925
ENSSBOG00000022170	4.940009784	3.310164	3.859857	3.635278444	3.94997094
ENSSBOG00000022171	10.94511312	10.04627	10.1706	8.847504027	9.7975902
ENSSBOG00000022172	5.601381561	4.740037	4.294929	4.480872581	5.1832205
ENSSBOG00000022173	0	0.6859231	0.8426514	5.552496963	1.72480741
ENSSBOG00000022174	0	0.7430875	1.508312	1.211086975	1.84323498
ENSSBOG00000022175	2.517305933	0.6353523	3.253053	1.599731973	3.4722928
ENSSBOG00000022176	5.465014525	1.43313	2.809067	0.896791862	3.26046382
ENSSBOG00000022177	6.018932331	5.399298	7.146217	5.350854341	7.73128508
ENSSBOG00000022178	4.666381102	2.940364	4.722353	2.624002605	4.99824285
ENSSBOG00000022179	3.314043903	3.360919	3.494889	3.239694372	3.85295765
ENSSBOG00000022180	0.843161394	0	0	1.601685583	0.91481477
ENSSBOG00000022181	1.13493718	2.014869	3.734623	2.406272705	4.5728048
ENSSBOG00000022182	5.15679704	2.372788	3.392464	2.216892496	4.3762487
ENSSBOG00000022183	5.472201804	3.843431	7.016273	4.250393173	6.60819271
ENSSBOG00000022184	3.860674826	3.360359	4.130774	2.279827839	2.59489485
ENSSBOG00000022185	2.081690713	0.8595426	2.103989	0.586141182	3.46526665
ENSSBOG00000022186	5.000317133	3.680615	4.17755	0.181510965	4.59090163
ENSSBOG00000022187	3.175318601	0.5004635	2.001258	0.359252397	2.93402011
ENSSBOG00000022188	4.38286089	5.082068	5.082673	4.453030233	4.04458647
ENSSBOG00000022189	2.361527797	0.9311724	2.381365	2.099757062	2.75952914
ENSSBOG00000022190	0	0.03431955	0.1375757	0.039539906	1.05780375
ENSSBOG00000022191	2.225565229	0.9202453	1.452746	0.701942002	2.25922337
ENSSBOG00000022192	6.429701318	5.405921	7.287888	5.595103785	7.98110143
ENSSBOG00000022193	4.130061368	4.546869	5.035715	0.686191629	3.20439664
ENSSBOG00000022194	3.819371849	2.670757	5.447216	5.849188641	6.1097074
ENSSBOG00000022195	1.939285262	0.9084417	2.190441	1.394393409	4.55726119
ENSSBOG00000022196	1.755250802	1.313519	3.493622	2.310613509	4.80428077
ENSSBOG00000022197	0	0	0	0	1.1709057
ENSSBOG00000022198	2.490937175	3.513134	4.162796	1.790942983	4.42615269
ENSSBOG00000022199	4.013408124	1.828617	2.923248	1.368997374	3.42706171
ENSSBOG00000022200	0.085101135	0	0	0	0
ENSSBOG00000022201	0.331513762	0.2594762	4.466467	6.774692985	0.12394941
ENSSBOG00000022202	3.226846044	1.780822	7.337122	1.994836744	3.77817882
ENSSBOG00000022203	5.438322797	3.747583	5.146636	4.228069834	5.5141191
ENSSBOG00000022204	6.147451205	2.787549	3.674382	2.722240859	3.97623531
ENSSBOG00000022205	0	0	0	0	0
ENSSBOG00000022206	5.603105842	2.96086	4.677187	3.035862111	3.89767123
ENSSBOG00000022207	0	0	0	0.367522037	0.64164498
ENSSBOG00000022208	3.399332448	3.704097	3.639464	3.45447072	3.84470702
ENSSBOG00000022209	4.276585994	2.790999	3.488849	3.563414424	4.01510501
ENSSBOG00000022210	0.529961837	0.4583621	5.524537	1.010092336	0.15409838
ENSSBOG00000022211	2.859933778	0.3321729	1.577644	0.593485288	1.82394089
ENSSBOG00000022212	4.106384504	2.499212	2.957924	2.196501663	3.96558326
ENSSBOG00000022213	3.266717033	1.369288	8.778886	1.624559564	3.37196489
ENSSBOG00000022214	2.413342239	1.09082	2.866694	1.147788602	4.28526682
ENSSBOG00000022215	3.199744576	2.004342	6.576814	6.51590795	5.42710496
ENSSBOG00000022216	5.554232738	4.326312	6.580669	6.450864823	8.30399013
ENSSBOG00000022217	5.830947396	6.078317	5.352469	3.740495874	5.97737839
ENSSBOG00000022218	3.1551631	1.022375	2.958438	0.647698563	3.28986102
ENSSBOG00000022219	3.029636634	2.247675	2.99789	2.292868308	3.74954714
ENSSBOG00000022220	1.766069717	2.142236	5.061942	3.593021447	6.60950086
ENSSBOG00000022221	0	0	0	0	0
ENSSBOG00000022222	0.519080591	0.4991065	2.608951	2.879915491	2.86994245
ENSSBOG00000022223	2.49037502	1.326259	2.388889	1.566007506	2.60455293
ENSSBOG00000022224	4.392213682	0.2037161	0.8763397	0.154215364	0.62328817
ENSSBOG00000022225	3.232278545	1.272698	2.004109	1.468234004	2.76027631
ENSSBOG00000022226	0	0	0	0	0
ENSSBOG00000022227	4.724717931	5.603576	3.137854	2.679136402	4.73828362
ENSSBOG00000022228	3.081985491	4.482874	8.853743	9.495135498	8.94181645
ENSSBOG00000022229	0	0	0	0	0
ENSSBOG00000022230	3.948217698	2.757004	4.37408	3.181355438	4.19463868
ENSSBOG00000022231	11.939942817	11.31376	12.29031	11.499940979	13.32538983
ENSSBOG00000022232	2.634623469	3.513933	4.357802	2.42928039	4.40567657
ENSSBOG00000022233	4.156059204	1.89779	2.690922	1.525101682	3.39326105
ENSSBOG00000022234	0	0	0.8908809	0.77142418	0
ENSSBOG00000022235	4.906720829	0	1.653467	0.626562491	0.32230315
ENSSBOG00000022236	0	0	0	0	0
ENSSBOG00000022237	0.524914194	0.8600753	0.8727649	0.665376761	0.15673961
ENSSBOG00000022238	5.975646978	4.324054	5.12357	3.416755366	5.25624443
ENSSBOG00000022239	4.093779876	2.344633	3.305191	2.422865387	3.85718481
ENSSBOG00000022240	3.873681323	2.742955	3.552163	2.471726452	4.00880328
ENSSBOG00000022241	5.217670477	4.088376	4.667992	3.417785289	5.54753867
ENSSBOG00000022242	0.381087308	0.2435155	0.3374839	0.298477674	0.98335374
ENSSBOG00000022243	1.71469392	1.801124	1.67004	0.723549824	1.57281208
ENSSBOG00000022244	3.187267815	2.442888	5.051195	3.292856826	6.68202825
ENSSBOG00000022245	6.360480165	4.96745	6.338679	4.582489768	6.79732432
ENSSBOG00000022246	4.10740039	3.094407	3.566601	2.006404278	4.05093052
ENSSBOG00000022247	4.82335338	0.414194	1.270706	2.749315433	4.287255
ENSSBOG00000022248	6.727348707	5.18401	6.506321	5.711175496	6.18264463
ENSSBOG00000022249	2.978786867	1.276568	2.391373	1.394988743	3.47107428
ENSSBOG00000022250	0	0	0	0	0
ENSSBOG00000022251	2.969025205	1.665607	0.9179121	0.292390696	3.36409753
ENSSBOG00000022252	5.169748661	4.719819	4.352201	4.46280489	4.40330181
ENSSBOG00000022253	2.856301915	1.350463	4.355632	2.446224464	3.77578487
ENSSBOG00000022254	4.322898702	5.9446	6.515846	3.594341088	8.72311142
ENSSBOG00000022255	2.973859203	1.971592	3.986575	1.707219964	4.7011067
ENSSBOG00000022256	4.69055119	0.04553957	0.5761728	0.055555242	0.47123741
ENSSBOG00000022257	0	0	1.136782	0	0.6114132
ENSSBOG00000022258	0.150356905	0	0	0	0
ENSSBOG00000022259	6.167744685	5.302111	7.445715	6.545988749	6.50274411
ENSSBOG00000022260	0.356710633	0	0	0	0.28112373
ENSSBOG00000022261	7.350594033	3.825084	5.477514	2.016644647	6.57834677
ENSSBOG00000022262	0	3.91269	3.521849	0.425293902	0.33328865
ENSSBOG00000022263	6.622082577	4.352162	6.83651	5.769211581	7.26052065
ENSSBOG00000022264	4.196489018	3.393435	3.09723	2.665824787	3.36260314
ENSSBOG00000022265	6.189265159	4.66438	5.614539	3.817408372	6.02521709
ENSSBOG00000022266	7.535819687	4.708005	3.697852	4.021755092	1.93367461
ENSSBOG00000022267	1.607264969	0.832344	2.08604	1.486242235	2.58834646
ENSSBOG00000022268	3.567508942	3.722761	4.346248	4.834883099	4.2907097
ENSSBOG00000022269	0.024750154	0.02814364	0	0.016542816	0.361217
ENSSBOG00000022270	0.388132214	0	0	0.25454688	0.92807313
ENSSBOG00000022271	4.270274766	0	0.6267251	0	3.08085717
ENSSBOG00000022272	3.022058821	1.038422	4.633408	7.325656247	5.17749927
ENSSBOG00000022273	4.253841057	3.018183	3.946752	1.525561776	4.20515851
ENSSBOG00000022274	3.602848786	1.736795	2.662985	1.774843976	2.90889743
ENSSBOG00000022275	3.34547728	2.188929	3.598961	0.944713794	3.05843773
ENSSBOG00000022276	1.865317071	0.9478771	0.5554549	0.325175694	1.30660639
ENSSBOG00000022277	3.935921713	1.425508	3.029578	3.062460236	3.87352778
ENSSBOG00000022278	0.068367864	0.0856993	0.1305593	0	0.23148156
ENSSBOG00000022279	5.641491118	4.958309	5.827359	4.530876039	4.49305804
ENSSBOG00000022280	2.291789187	1.724812	1.929718	1.741372062	2.64334758
ENSSBOG00000022281	2.600176965	0.9887501	2.696897	1.421539445	4.25308919
ENSSBOG00000022282	4.047935477	5.21217	4.900548	2.907207473	4.3679546
