brain	heart	kidney	liver	ovary
ENSSBOG00000000440	3.178461291	3.908611	5.395719	4.034853094	6.99895504
ENSSBOG00000000463	4.96818063	4.280942	5.315805	5.106676624	5.72234853
ENSSBOG00000000477	2.287247688	1.673117	2.066847	1.769627886	2.81501443
ENSSBOG00000000487	4.651532796	1.930886	6.331734	3.354168615	3.54298045
ENSSBOG00000000498	6.034226722	3.87796	3.672142	3.1062344	5.52615021
ENSSBOG00000000499	3.59794825	4.939678	5.630164	8.200167879	7.36113669
ENSSBOG00000000510	1.921009705	0.3034348	1.452421	3.551368357	1.14617294
ENSSBOG00000000521	2.778584974	2.639077	2.606994	0.125756093	1.60151587
ENSSBOG00000000522	0.721957931	1.852838	0	0.099737406	0.87700917
ENSSBOG00000000539	6.01565813	4.372651	6.76041	6.485005872	6.68440359
ENSSBOG00000000540	2.028703515	0.3880837	0	0	1.46963596
ENSSBOG00000000558	2.951302435	2.140667	2.956865	2.952301879	3.07874815
ENSSBOG00000000559	1.747941597	0.741328	1.406988	0.873847051	1.81641949
ENSSBOG00000000575	3.865554434	0.5418716	2.406109	1.219421948	2.83473346
ENSSBOG00000000586	1.24619524	0.02479851	1.893683	0.549932306	3.74365176
ENSSBOG00000000591	5.235356001	5.676216	5.195799	3.747442185	5.40776911
ENSSBOG00000000592	0.485482473	0	0	0	0.13527073
ENSSBOG00000000613	3.340325836	1.3308	2.391152	0.616082872	3.39195327
ENSSBOG00000000614	7.139061879	4.77955	6.395837	5.104764372	6.50746326
ENSSBOG00000000625	4.202708426	0	0.1726494	0.145600509	0.11634694
ENSSBOG00000000634	4.511538882	0.9280011	3.545066	1.515093748	4.73853061
ENSSBOG00000000649	5.73992909	3.689243	1.931131	0	1.16396882
ENSSBOG00000000666	1.056003048	0.5437493	2.657943	0.489105239	4.57474942
ENSSBOG00000000667	5.705748489	4.22367	5.037883	3.821475528	5.51247027
ENSSBOG00000000678	4.273008545	1.53555	1.092011	0.395636472	2.28093553
ENSSBOG00000000679	4.317773801	1.129304	2.651247	2.869028212	3.31670477
ENSSBOG00000000680	1.870951227	1.555905	1.804506	0.344403578	2.63791855
ENSSBOG00000000690	4.383780313	1.137359	0.207713	0.020804559	0.35692581
ENSSBOG00000000725	0	0	0	0	1.11763521
ENSSBOG00000000731	3.203685106	1.581072	2.697436	1.818858739	2.93969298
