brain	heart	kidney	liver	testis
MGP_CAROLIEiJ_G0000097	0	0	0	0	0
MGP_CAROLIEiJ_G0000098	0	0	0	0	0
MGP_CAROLIEiJ_G0000099	0	0	0.606073	0.0932333	0
MGP_CAROLIEiJ_G0000100	0	0	0	0	0
MGP_CAROLIEiJ_G0000101	0	0	0	0	0
MGP_CAROLIEiJ_G0000102	0	0	0.9201693	0	0
MGP_CAROLIEiJ_G0000103	0	0	0	0	0
MGP_CAROLIEiJ_G0000104	0	0	0	0	0
MGP_CAROLIEiJ_G0000105	0	0	0	0	0
MGP_CAROLIEiJ_G0000106	0	0	0	0	0
MGP_CAROLIEiJ_G0000107	0	0	0	0	0
MGP_CAROLIEiJ_G0000108	0	0	0	0	0
MGP_CAROLIEiJ_G0000109	0.503605	0.188163	2.916677	0.0391644666666667	0
MGP_CAROLIEiJ_G0000110	0.3097516	1.25958155	3.1364235	0.117142083333333	0
MGP_CAROLIEiJ_G0000111	0	0	3.01885	0	0
MGP_CAROLIEiJ_G0000112	0	0	0	0.137255833333333	0
MGP_CAROLIEiJ_G0000113	0	0	0	0	0
MGP_CAROLIEiJ_G0000114	0	0	0	0	0
MGP_CAROLIEiJ_G0000115	0	0	0	0	0
MGP_CAROLIEiJ_G0000116	0	0.92315785	1.5914915	0.0788436	0
MGP_CAROLIEiJ_G0000117	0	0	0	0	0
MGP_CAROLIEiJ_G0000118	0	0	0	0	0
MGP_CAROLIEiJ_G0000119	0	0.343598	1.6398695	0.174312533333333	0
MGP_CAROLIEiJ_G0000120	0	0	0	0	0
MGP_CAROLIEiJ_G0000121	0	0	0	0	0
MGP_CAROLIEiJ_G0000122	0.7543155	0	2.521541	0.342535466666667	0
MGP_CAROLIEiJ_G0000123	0.5164205	0.42219805	0	0	0
MGP_CAROLIEiJ_G0002118	0.13194025	0.37994895	0	0.1020794	0
MGP_CAROLIEiJ_G0002119	0.0782048	0.25285935	0.089202365	0.13977634	0.06756823
MGP_CAROLIEiJ_G0002120	1.0952535	3.597258	3.435483	1.7002578	1.815513
MGP_CAROLIEiJ_G0002121	5.389658	5.058843	4.498209	2.27340266666667	1.931407
MGP_CAROLIEiJ_G0002122	0	0	0	0	0
MGP_CAROLIEiJ_G0002123	0	0	0	0	0
MGP_CAROLIEiJ_G0002124	0	0	0	0	0
MGP_CAROLIEiJ_G0002125	0	0	0	0	0
MGP_CAROLIEiJ_G0002126	0	0	1.649958	0	0
MGP_CAROLIEiJ_G0002127	0	0	0	0	0
MGP_CAROLIEiJ_G0002128	0	0	0	0	0
MGP_CAROLIEiJ_G0002129	0	0	0	0	0
MGP_CAROLIEiJ_G0002130	1.3423845	0	0	0	0
MGP_CAROLIEiJ_G0002131	0	0	0	0	0
MGP_CAROLIEiJ_G0002132	0	0	0	0	0
MGP_CAROLIEiJ_G0002133	0	0	0	0	0
MGP_CAROLIEiJ_G0002134	0	0	2.015808	0	0
MGP_CAROLIEiJ_G0002135	0	1.7436915	0	0.340747	0
