Anolis carolinensis
Tetragonopterus rarus
Bos taurus
Callithrix jacchus
Canis lupus
Chinchilla lanigera
Danio rerio
Gadus morhua
Gallus gallus
Homo sapiens
Macaca mulatta
Monodelphis domestica
Mus musculus
Oreochromis tanganicae
Ornithorhynchus anatinus
Oryctolagus cuniculus
Oryzias latipes
Ovis aries
Rattus norvegicus
Sus scrofa
Xenopus tropicalis
Saccharomyces cerevisiae
